crate_name,version
ktls,2.0.0
es_balk,0.1.0
ktra_ui,0.1.0
http-authentication,0.2.0
bitssset,0.1.0
dwarf-term,0.2.0
stm32l151-hal,0.5.0
debug_tree,0.4.0
ns-env-config,0.1.0
boltserver,0.11.11
rustc-hex-viewer,1.0.0
linkspace-pkt,0.1.1
jamdocs,0.0.1
clapme,0.1.16
up-cli,0.1.2
groundhog-nrf52,0.5.0
caffe2op-stump,0.1.5-alpha.0
cfile,0.5.1
zeromq,0.3.3
wukong,0.1.0
future-waker,0.0.0
uncleftish,0.1.0
test-curve25519-dalek,4.0.0-rc.1
arf-strings,0.7.1
btrfs-usage-monitor,0.1.2
canadensis_header,0.1.0
bevy_follow_path,0.3.0
radiation-macros,0.3.0
codifyle,0.0.1
grpc-build-core,0.2.0
cargo-docker,0.2.0
smda,0.2.5
tract-ffi,0.20.4
goe-ios,0.0.0
fil_actor_paych_v9,2.0.0
ripemd256,0.2.0
r2d2_odbc_api,0.2.0
debugid,0.8.0
decnumber-sys,0.1.5
stm32h7-sdmmc,0.2.0
grav1synth,0.1.0-beta.6
pop-trait,0.2.1
li-stephens,0.1.0
embassy-riscv,0.0.0
rustdoc-iframe,0.1.0
sexpr,0.1.0
boldline,0.1.1
mimers,0.1.1
cpalg,0.0.0
cratesio,0.1.0
reqores-universal-cf-worker,0.1.4
scoped_cell,0.1.0
tnef,0.1.1
fsevent-stream,0.2.3
witas,0.9.0
overwritten,0.1.0
higher_order_functions,0.2.0
ctre,0.6.1
gsfw,0.1.2
gst-plugin-onvif,0.10.0
lv2rs-morph,0.0.1
libusb-next,0.0.0
spdcp,0.4.4
scoutfs-sys,0.1.0
freebsd-embedded-hal,0.1.2
quad-snd,0.2.7
socket-priority,0.1.5
reb,0.1.1
cmus-rpc-rs,0.2.0
derive_type_level_lib,0.1.0
garage_admin,0.7.0
arcana,0.0.0
encrypt-me,1.1.0
bevy_mikktspace,0.10.1
bdrck_log,0.3.1
tilper,0.0.3
wasmer-engine-universal-artifact,2.3.0
awto,0.1.2
namewise,2.6.8
rapid-cli,0.4.4
fnmutant,0.1.0
winpty-sys,0.5.0
crosstermion,0.10.1
hyperoperator,1.0.1
multipart-boundary,0.1.0
tracing-forest,0.1.5
mcquery,1.1.0
google-civicinfo2,1.0.0+20160823
webaves,0.1.0
inspect,0.1.2
rm_rf,0.6.2
bufro,0.2.10
ma_proper,1.0.0
panic-serial,0.1.2
p7m-userauth,0.11.0
transaction-notifier,0.0.0
google-dfareporting2d3,1.0.6+20160803
harmony-rs,0.1.4
wasmer-engine-universal-near,2.4.0
ldap-parser,0.3.0
dav-server,0.5.5
csgo-gsi-payload,0.1.1
shentong,0.5.8
ferrous-serialport,4.0.2
needs_env_var,1.0.0
nstd_image,0.5.0
github-status,1.1.0
simperby-settlement,0.1.1
req,0.6.1
drop-abort,0.1.0
iso-8601,0.4.1
flagset,0.4.3
byte_conv,0.1.1
chatgpt_wd,0.1.7
iterstream,0.1.2
xmlwriter,0.1.0
cbe-program-runtime,1.15.0
exrng,0.1.2
git-clone-canonical,0.1.3
bdasm,0.5.0
getopt-long,0.3.0
modbus-proxy-rs,1.0.0
address-literal,1.2.3
hyper-fahrenheit,0.1.1
cntr-fuse-sys,0.4.1
umm-malloc-sys,0.3.2
aura-core,0.1.1
hexchat,0.6.3
autorand-derive,0.2.2
bear-lib-terminal-sys,1.3.0
rextc,2.0.1
nydus-blobfs,0.2.0
myfunc,0.1.0
mpi,0.6.0
alpha-database,0.0.0
fix32,1.1.2
bitcoinleveldb-merger,0.1.16-alpha.0
openpgp-card-ssh-agent,0.1.6
leonidas,0.0.0
bitbuffer_derive,0.10.0
msg-store-plugin-leveldb,0.5.1
rsipfix,0.1.4
cvrdt-exposition,0.1.6
horoscope,0.0.1
ralik,0.0.1-alpha.0
http-api-isahc-client,0.2.2
forktree,2.1.2
default-port,2.1.0
fade,0.5.1
rtps-rs,0.1.2
websteer,0.1.0
garnish_lang_compiler,0.0.1-alpha
bank,0.4.0
fbvideo,0.4.1
gazebo_derive,0.8.0
egobox-ego,0.8.2
bin_chicken,0.1.0
rust-fil-nse-gpu,0.2.2
bootimage,0.10.3
simulate-lcd,0.1.2
blobs,0.0.0
tezos-smart-rollup-mock,0.1.0
spaserver,0.2.0
text_io,0.1.12
safecoin-program-runtime,1.14.17
geotrans,0.2.2
ref-portals,1.0.0-beta.2
waffles-solana-watchtower,1.16.0-alpha.10
wild-doc-client-lib,0.1.0
libjwt,0.1.0
tokio-http2,0.1.9
cursive_table_view,0.14.0
lox-scanner,0.1.0
chord-output,0.1.21
bevy_controller,0.0.1
yummy,0.0.8
n2k,0.1.1-alpha.1
lyric_finder,0.1.3
reown,0.0.0
encase_derive_impl,0.5.0
opendp-ffi,0.4.0
bevy_hot_reload,0.0.1
vifi-prompt,0.2.8
mtproxy,0.0.2
oneline-template,0.1.0
google-content2,5.0.2+20220303
bevy_qoi,0.1.0
solvent,0.8.3
eqlog-runtime,0.1.2
mnist,0.5.0
vmap,0.5.1
indicate,0.1.0
half,2.2.1
mycobot,0.4.0
nvtt_sys,0.5.2
thunderborg_driver,0.2.0
cadmium,0.1.0
git-db,0.1.0
libdevmapper-sys,0.1.0
play-billing,0.2.3
metric_daemon,0.2.0
ghex,0.0.1
daggy,0.8.0
stb_image,0.2.5
metriki-macros,1.0.0
zebra-state,0.0.0-placeholder.0
rustflake,0.1.1
stomp-rs,0.0.8
inputparser,0.1.72
ctv,0.3.3
rls-data,0.19.1
float-ord,0.3.2
cea708-types,0.1.0
containers-api,0.8.0
background-jobs-core,0.15.0
pem-parser,0.1.1
smarty_pants,1.0.1
rusoto_forecastquery,0.48.0
js-intern-proc-macro,0.3.1
oni_simulator,0.1.2
functools,0.0.0
mycrates1,0.1.0
solana-cli,1.14.17
chunk_store,0.4.1
etherscan,0.1.0
math-concept,0.0.3
viewimg,0.8.1
file-path,0.0.0
cmark-gfm,0.1.1
xinput,0.1.1
ccclog,0.4.0
fast-srgb8,1.0.0
tcp-loop,0.1.1
pikav-web,0.15.2
sndio-sys,0.0.1
ligen-core,0.1.16
multiboot2-host,0.2.1
split-first-char,0.0.0
vmaf-sys,0.0.10
quarry-registry-ntoken,5.0.3
epee-serde,0.1.2
prototty_unix,0.27.0
fg-notation,0.1.0
secret-toolkit-serialization,0.7.0
constrained_int,0.2.3
netgauze-flow-pkt,0.1.0
bluster,0.2.0
reckless-ci,0.1.0
google-identitytoolkit3-cli,3.1.0+20180723
crc8-rs,1.1.1
awssnapio,0.1.0
sendinginblue,0.0.1
factor,0.4.0
iso,0.0.8
tttr-toolbox,0.4.3
edic,0.1.0
septa-api,0.3.0
json-request,0.2.0
joatmon,0.0.20
binary_sv2,0.1.5
syncazoom,0.1.0
ambient_ui,0.2.0
raw-socket,0.0.2
fluent-handlebars-runtime,0.2.0
rosal,0.1.0
cloudwatch_metrics_agent,0.1.6
num-derive,0.3.3
daa,0.5.0
vmread,0.1.5
pwnage,0.0.1
Phoebe,0.0.1
trust-dns-util,0.22.0
pasture-algorithms,0.3.0
kinetic-protobuf,0.1.2
ledger_bitcoin_client,0.1.3
apify-client,0.2.0
li-async-h1,2.3.3
yozuk-model,0.22.11
clc-core,0.1.0
hocus-pocus,0.0.0
utf8mb3,0.1.2
rusoto_kinesisanalytics,0.48.0
dgraph-rs-http,0.1.1
tracing-test-macro,0.2.4
yggdrasil-keys,0.3.0
lnpbp_bech32,0.9.0
semververfork,0.1.64
intervals-rs,0.0.5
frustum_query,0.1.2
percy-state,0.1.2
pkcs7,0.4.0
container-image-ref,0.1.0
mcf-config-demo-lib,0.1.0
logru,0.2.0
dcap-ql-sys,0.2.1
wokwi-server,0.2.0
coap_rs,0.1.1
murmel,0.2.1
otpauth-uri,1.0.2
mkml,0.2.1
tor-persist,0.7.0
action-glob,0.0.3
aws-sdk-costandusagereport,0.27.0
id_collections,1.0.1
cargo-wsinit,0.1.4
datastore_grpc,0.5.2
fiat-lux,0.3.7
lambda-rs-platform,2023.1.30
mrusta,0.0.1
frugalos,1.2.0
toboggan,0.1.3
rocket-grants-proc-macro,0.5.0-rc.2
monqyclouds_guessing_game,0.1.0
tplr,0.0.1
libawr,0.1.3
apollo-hyper-libretro-bindings,0.1.1
helper_fn,0.1.0
gpkg,0.1.0
slyce,0.3.1
riker-patterns,0.4.2
perf_monitor,0.2.0
icns,0.3.1
default-target,0.1.0
refview,0.1.0
jitsi-xmpp-parsers,0.1.4
exact-cover,0.1.1
cxx-async-macro,0.1.1
manganese,0.0.0
unravel,0.0.0
slidedeck,0.0.1
mustsubst,0.1.0
brdiff,0.2.0
testend,0.1.0
winrt-system-sys,0.23.0
coswid,0.1.3
intelli-shell,0.1.3
cyclone-msm,0.1.0-pre
google-bigquerydatatransfer1,5.0.2+20230115
park-miller-carta-prng,0.1.3
fawkes-crypto-keccak256,0.1.1
manifest-server,0.1.2
fastrand,1.9.0
reservoir-nft,0.1.92
tmp-zan-001,0.1.0
toql_query_parser,0.4.0
frost-core,0.2.0
issue-47048-fix,0.1.3
soundview,0.1.7
azure_mgmt_logic,0.11.0
lpr,0.1.5
discord-rpc,0.1.0
nvml-sys,0.0.6
mime-types,0.0.0
bevy-embasset,0.5.0
mashanz,0.1.0
elrond-wasm-module-dns,0.25.0
linux-procfs,0.3.15
sp-storage,12.0.0
mongo-lock,0.2.2
azure_mgmt_mysql,0.11.0
numeric-loops,0.1.1
xias,0.3.0
fork,0.1.21
rabbiteer,1.4.1
atone,0.3.5
snowchains,0.7.0
markdown-preview,0.2.0
emailmessage,0.2.2
test-cdylib,1.1.0
zflags,0.1.2
keywords,0.1.0
wait-for-me,0.2.0
runtime-struct-field-names-as-array,0.1.0
glopy,0.3.0
world-count,0.1.4
cargolifter-backend-github,0.2.0
ilattice,0.3.0
tokio-anon-pipe,0.1.1
reproto-compile,0.3.36
sweeprs,0.2.0
phylodm,2.2.1
eva-client,0.2.1
mac_utun,0.6.0
ikura,0.0.1
ramen,0.0.2
ghoti,0.0.0
organism,0.1.1
rustcms-axum-xml,0.3.0
border-py-gym-env,0.0.5
pup,0.2.1
rgb_rpc,0.9.1
lever,0.1.4
google-plus1-cli,3.1.0+20190616
hardlight,0.1.0
ironiquer,0.1.1
trend,0.1.0
struct,0.0.0
aggregate,0.3.3
goods-proc,0.2.0
ps1,0.1.0
pea-transaction,0.8.6
activityrust,0.1.0
quick-js,0.4.1
s2rs,0.5.15
corollary,0.3.0
fomu-rt,0.0.6
the_lang,0.0.1
solana-storage-proto,1.13.7
polaris-specification,0.1.1
postgres-types,0.2.5
pclass-parser,0.1.0
cargo-foobar,1.0.2
uu_numfmt,0.0.18
gitarena,0.0.0
google-iap1_beta1,5.0.2+20230118
steel-lang,0.1.0
json_rpc_v2_macro,0.1.0
japanese,0.1.2
goe-core,0.0.0
etcommon-hexutil,0.2.4
inigo-rs,0.25.2
rusoto_transcribe,0.48.0
retrochoir,0.0.1
lzma-rs-perf-exp,0.2.1
mprocs,0.6.4
pipesns,0.1.5
duration-macro,0.1.0
telio,0.1.0
pio-parser,0.2.2
utility,0.0.0
lopdf_bugfix_19072017,0.9.0
quick-replace,0.1.1
config_parser2,0.1.4
wasm4,0.1.2
structdoc,0.1.4
odbc-safe,0.6.0
wololo,0.2.0
sqa-bounded-spsc-queue,0.2.1
seven_segment,0.1.1
bevy_quickmenu,0.1.5
zookeeper-client,0.3.0
safecoin-exchange-program,1.6.16
arpa,0.0.0
google-youtubeanalytics1-cli,1.0.8+20181010
drumatech,0.1.9
gradient_tui_fork,0.19.0
xss-probe,0.2.0
winfsp-sys,0.2.1+winfsp-2.0
jsonformat,2.0.0
polako,0.1.2
hippotat,1.1.7
lifering,0.4.0
safe-bytes-derive,0.1.1
fs-hdfs,0.1.11
erp,0.0.0
bw,0.0.2
optimization_engine,0.7.7
pamsm,0.5.2
darwinia-sync,2.1.0
miden-crypto,0.4.0
borsh-schema-derive-internal,0.10.3
tinysearch-shared,0.7.0
zigbee2mqtt_types_vendor_ynoa,0.0.1
cargo-api,0.0.0
bbt,0.2.0
tori,0.1.2
cli_core,0.1.0
fastq-count,0.1.0
extindex,0.5.0
simply,0.2.0
fitnesstrax,0.1.0
levenshtein-diff,0.2.4
mithroxide,0.1.0
pointcloud,0.5.5
easy_ffi,0.1.0
ramp,0.7.0
chipmunk-backend,1.0.0
dotfiles,0.1.0
scrubcsv,1.0.0
binvis,0.1.0
uabs,3.0.0
near-rust-allocator-proxy,0.2.7
esri_ascii_grid,0.1.2
stateright,0.29.0
template_yaml,0.1.1
llvm-sys-featured,0.1.1
mdmregistration-sys,0.0.1
pdcm-linkify,0.1.0
vulkaneum,0.1.2
renum,0.1.1
measurement,0.3.0
fluo-rt,0.0.0
can-bit-timings,1.1.0
perry,0.1.0
caffe2-transform,0.1.5-alpha.0
deltastruct_proc,0.1.8
rusoto_kinesis_video_signaling,0.48.0
win32-ui-sys,0.1.0
tors,0.1.0
lixquid,0.0.0
