bug_id,crate,version,location,representative_test_case,notes,emailed,acknowledged,novel,issue,pull_request,commit,follow_up
bad64_1,bad64,0.6.0,Foreign,testcases,Access out of bounds due to improperly decoded instruction,Yes,Yes,Yes,,,https://github.com/yrp604/bad64-sys/commit/6dbd961380968c83fae3ba8f7be036292addd692,
bchlib_1,bchlib,0.2.1,Mixed,tests::test_decode,Missing call to C destructor,No,No,Yes,https://github.com/yuvadm/bchlib/issues/1,,,
bzip2_1,bzip2,0.4.4,Mixed,bufread::tests::bug_61,Cyclic structure created for Decompress and Compress structs. Fixed by Box::into_raw(),No,No,Yes,https://github.com/alexcrichton/bzip2-rs/issues/94,https://github.com/alexcrichton/bzip2-rs/pull/95/files,,
clickhouse-driver-lz4_1,clickhouse-driver-lz4,0.1.0,Mixed,,Uninitialized read due to partial initialization of buffer,Yes,No,Yes,,,,Follow-up!
crypto_pimitives_1,crypto_pimitives,0.1.1,Mixed,aesni_test::aesni_192_key_expansion_test,"Access out of bounds, rust allocation isn't large enough",No,No,Yes,https://github.com/elalfer/rust-crypto-pimitives/issues/1,,,
dec_1,dec,0.4.8,Mixed,decnum_round_to_place,pointer passed in as immutable and immutable in numerous bindings,No,Yes,Yes,https://github.com/MaterializeInc/rust-dec/issues/74,https://github.com/wisbery/dec-number-sys/pull/2,,
dec_2,dec,0.4.8,Mixed,test_decnum_try_from_f32,decNumber struct is not fully initialized across FFI,No,Yes,Yes,https://github.com/MaterializeInc/rust-dec/issues/76,https://github.com/MaterializeInc/rust-dec/pull/77,https://github.com/icmccorm/rust-dec/commit/3545623bc3515eebb6b4313c3c43477c657f3f39,
dec_3,dec,0.4.8,Mixed,test_decimal128_set_exponent,buffer of chars in not fully initialized across the FFI,No,Yes,Yes,https://github.com/MaterializeInc/rust-dec/issues/76,https://github.com/MaterializeInc/rust-dec/pull/77,https://github.com/icmccorm/rust-dec/commit/3545623bc3515eebb6b4313c3c43477c657f3f39,
dec_4,dec,0.4.8,Foreign,test_overloading,Access out of bounds,,,,https://github.com/MaterializeInc/rust-dec/issues/76,https://gcc.gnu.org/pipermail/gcc-patches/2024-February/644840.html,,
dec-number-sys_1,dec-number-sys,0.0.25,Mixed,test_dec_quad_get_coefficient,Mutation through read-only pointer,No,Yes,Yes,https://github.com/wisbery/dec-number-sys/issues/1,https://github.com/wisbery/dec-number-sys/pull/2,,
dec-number-sys_2,dec-number-sys,0.0.25,Bindings,test_dec_quad_zero,Missing return type (unused),No,Yes,Yes,,https://github.com/wisbery/dec-number-sys/pull/2,https://github.com/wisbery/dec-number-sys/pull/2/commits/321c57e5d9efe03b6dca7b840e3cac6edea24a65,
dec-number-sys_3,dec-number-sys,0.0.25,Foreign,test_dec_quad_divide_fma,Access out of bounds,No,Noe,No,https://github.com/MaterializeInc/rust-dec/issues/76,https://gcc.gnu.org/pipermail/gcc-patches/2024-February/644910.html,,
emd_1,emd,0.1.1,Rust,tests::test_distance,Missing Box::from_raw,No,No,Yes,,https://github.com/gchers/rust-emd/pull/3,,
everrs_1,everrs,0.2.1,Binding,x25519::tests::diffie_hellman_test,Incorrect FFI return type (u32 vs u8),No,No,Yes,https://github.com/rot256/everrs/issues/1,,,
flate2_1,flate2,1.0.28,Mixed,deflate::tests::drop_writes,Cyclic structure created for Decompress and Compress structs.,No,No,Yes,https://github.com/rust-lang/flate2-rs/issues/392,https://github.com/rust-lang/flate2-rs/pull/394,,
flate2_1,twmap,0.10.0,Mixed,custom_test_teeworlds07,,No,No,Yes,,,,
fluidlite_1,fluidlite,0.2.1,Rust,settings::test::settings_ref,Memory leak due to exposing a raw pointer and not re-wrapping it.,No,No,Yes,https://github.com/katyo/fluidlite-rs/issues/15,,,
foreign-types_1,foreign-types,0.5.0,Rust,,"Should actually use UnsafeCell, instead of Phantom<UnsafeCell<>>",Yes,Yes,Yes,https://github.com/sfackler/foreign-types/issues/24,,,
foreign-types_1,mozjpeg,0.10.1,Rust,compress::convert_colorspace,,,,,,,,
jh-rs_1,jh-rs,0.1.0,Rust,tests::large,"Transmuting a pointer into [u64, 4] without ensuring alignment. Fixed by slice::align_to",No,No,Yes,https://github.com/DaanA32/jh-rs/issues/1,,,
klu-rs_1,klu-rs,0.4.0,Mixed,test::smoke_test,Passed a read-only pointer to an FFI function that mutated it. ,Yes,Yes,Yes,,https://github.com/pascalkuthe/klu-rs/pull/1,,
