crate_name,abi,discriminant,reason,err_id,err_text,category,ignored,file,start_line,start_col,end_line,end_col,type_name
cult,C,5,16,0,AudioStream,foreign_functions,FALSE,src/lib.rs,69,34,69,52,Adt
GSL-sys,C,5,11,14,auto::gsl_block_char_struct,foreign_functions,TRUE,src/auto.rs,4840,12,4840,32,Adt
GSL-sys,C,5,11,6,auto::gsl_block_complex_float_struct,foreign_functions,TRUE,src/auto.rs,7872,10,7872,46,Adt
GSL-sys,C,5,11,2,auto::gsl_block_complex_long_double_struct,foreign_functions,TRUE,src/auto.rs,723,12,723,46,Adt
GSL-sys,C,5,11,4,auto::gsl_block_complex_struct,foreign_functions,TRUE,src/auto.rs,15645,15,15645,38,Adt
GSL-sys,C,5,11,5,auto::gsl_block_float_struct,foreign_functions,TRUE,src/auto.rs,9363,12,9363,35,Adt
GSL-sys,C,5,11,10,auto::gsl_block_int_struct,foreign_functions,TRUE,src/auto.rs,3548,12,3548,33,Adt
GSL-sys,C,5,11,0,auto::gsl_block_long_double_struct,foreign_functions,TRUE,src/auto.rs,285,12,285,38,Adt
GSL-sys,C,5,11,8,auto::gsl_block_long_struct,foreign_functions,TRUE,src/auto.rs,2842,35,2842,57,Adt
GSL-sys,C,5,11,12,auto::gsl_block_short_struct,foreign_functions,TRUE,src/auto.rs,12136,12,12136,33,Adt
GSL-sys,C,5,11,3,auto::gsl_block_struct,foreign_functions,TRUE,src/auto.rs,20586,14,20586,31,Adt
GSL-sys,C,5,11,13,auto::gsl_block_uchar_struct,foreign_functions,TRUE,src/auto.rs,4620,12,4620,35,Adt
GSL-sys,C,5,11,9,auto::gsl_block_uint_struct,foreign_functions,TRUE,src/auto.rs,10899,12,10899,32,Adt
GSL-sys,C,5,11,7,auto::gsl_block_ulong_struct,foreign_functions,TRUE,src/auto.rs,2502,36,2502,59,Adt
GSL-sys,C,5,11,11,auto::gsl_block_ushort_struct,foreign_functions,TRUE,src/auto.rs,11847,12,11847,34,Adt
GSL-sys,C,5,11,15,auto::gsl_bspline_workspace,foreign_functions,TRUE,src/auto.rs,14332,12,14332,38,Adt
GSL-sys,C,5,11,16,auto::gsl_cheb_series_struct,foreign_functions,TRUE,src/auto.rs,14851,30,14851,52,Adt
GSL-sys,C,5,11,21,auto::gsl_eigen_francis_workspace,foreign_functions,TRUE,src/auto.rs,15384,12,15384,44,Adt
