crate_name,version
altv_internal_sdk,15.0.0-dev.20
geoip-sys,0.0.14
ffmpeg-wasi,0.1.12
head-empty,0.1.0
gurobi-sys,0.3.0
hc_iz_profile,0.2.0
consistenttime,0.2.0
bing-rs,0.0.4
emacs_module_bindings,0.7.0
flu,0.0.2
cpp_regexp,0.6.1
GSL-sys,3.0.0
icu_capi,1.2.2
cursed,0.0.1
hc_zome_file_storage_integrity,0.1.0
flite-sys,0.1.2
freefare-sys,0.2.0
glpk-sys,0.2.0
fmod,0.10.2
caldera-bindings,0.1.0
batrachia,0.1.1
drm-rs,0.1.3
guile-sys,0.1.1
duckdb-extension-framework,0.7.0
clhash-sys,0.1.0
compiler_builtins,0.1.91
cult,0.0.3
h264bsd-sys,0.1.0
hdk_crud,0.11.0
chip,0.0.6
axe_fx_midi,0.1.0
fluidsynth,0.0.1
hc_cz_profile,0.2.0
hdi,0.3.0
ark-api-ffi,0.17.0-pre.20
eosio_cdt_sys,0.3.0
blis-sys,0.3.0
cl-sys,0.4.2
gaborator-sys,0.1.1
euphrates_x64,0.1.0
fuchsia_backtrace,0.1.0
encoding_c_mem,0.2.6
companion-service,0.1.0
duku,0.2.1
grb-sys2,9.5.0
confium,0.1.2
dittolive-ditto-sys,4.1.0
agora-rtm,0.1.3
hc_zome_file_storage_coordinator,0.1.0
cosmic-macros,0.3.6
applevisor-sys,0.1.1
hdk,0.3.0-beta-dev.0
cosmic-space,0.3.6
externc-libm,0.1.0
cuda-oxide,0.4.0
croaring-sys-mw,0.4.5
clockkit,0.2.1
edge-transformers,0.1.2
dittolive-ditto,4.1.0
hc_zome_peer_status_coordinator,0.1.0
ecdh,0.0.12
abi_stable,0.11.1
hactool-sys,0.4.4
gary-plugin-docker,0.0.2
cognitive-services-speech-sdk-rs,0.2.2
cxx-demo,0.0.7
coco-sys,0.4.0
cloudabi,0.1.0
hc_zome_profiles_integrity,0.1.0
gnulightning-sys,2.3.0
clips-sys,0.4.0
gridvid,0.3.0
cosmic-hyperspace,0.3.6
hc_zome_profiles_coordinator,0.1.2
flac-sys,0.1.0
czmq-sys,0.1.0
hacl-star-sys,0.1.0
agora-rtm-sdk,0.1.1
hc_iz_membrane_manager,0.2.0
detour,0.8.1
clutter,1.20.0
blosc-src,0.2.1
fil-blst,0.1.2
android_looper-sys,0.3.0
hai_js_runtime,0.1.0
ctti,0.2.0
dbsdk-rs,0.1.11
hassle-rs,0.10.0
generator,0.7.4
filemagic,0.12.3
backtrace-on-stack-overflow,0.3.0
byteplug,0.0.1
erupt-bootstrap,0.3.0
android_log-sys,0.3.0
bcc,0.0.33
facsimile,0.0.3
fvm-std,1.0.0
accesskit_windows,0.14.0
hyperdex,1.1.0
chd-capi,0.1.5
hypr,0.0.1
angrylion-rdp-plus,0.1.0
cashweb-secp256k1-sys,0.3.1
android_ffi,0.1.0
cocoa-colors,0.1.2
bitbadges-cosmwasm,0.0.2
distrs,0.2.1
accrete,0.2.0
flips-sys,0.2.1
embree,0.3.8
abi-cafe,0.0.0
ein-ffi,0.6.0
alloc-madvise,0.3.0
glu-sys,0.1.4
cat_solver,0.1.0
hnsw_rs,0.1.19
fil-ocl-core,0.11.4
aux-context,0.1.0
ctrlc,3.2.5
blake2b-rs,0.2.0
bankman,0.3.1
edgedb-tokio,0.3.0
chan-signal,0.3.3
hlua-badtouch,0.4.2
basis-universal-sys,0.2.0
btrfsutil-sys,1.2.1
evil-janet,1.27.0
esplugin-ffi,2.1.2
cmsis-cffi,0.6.2
enclave-runner,0.5.1
flipperzero-rt,0.8.0
gpl-session,0.2.0
deucalion,0.9.3
corosensei,0.1.3
cronos-scheduler,0.2.0
atri_plugin,0.9.0
doomgeneric,0.3.0-beta.2
dahl-randompartition,0.1.0
clockwork-crank,1.0.6
amfnwasm,0.3.8
hello-wasm,0.1.1
common-crypto,0.3.0
fann-sys,0.1.7
bootloader-x86_64-bios-stage-3,0.11.3
core-foundation-sys,0.8.4
discord-cassandra-cpp,0.16.6
exa,0.10.1
cavalier_contours_ffi,0.2.0
cudnn-sys,0.0.3
allegro_acodec-sys,0.0.44
cirilica,0.10.0
hypervisor,0.0.8
ast-grep-napi,0.4.1
grin_secp256k1zkp,0.7.11
datafusion-rustyline,2.0.0-alpha-20180628
driftdb-worker,0.1.4
gain,0.5.0
error-code,2.3.1
bulletproof,0.2.0
da14531-hal,0.2.2
assemblylift-iomod-http-guest,0.3.1
elliptic-sys,0.3.0
allegro_image-sys,0.0.44
frounding,0.0.4
http-muncher,0.3.2
c-gull,0.8.13
bc4py_hash,0.1.3
ifaces,0.1.0
cie,0.0.0
fluidlite-sys,0.2.1
hexavalent,0.2.1
ggml-sys,0.1.0-rc1
csfml-graphics-sys,0.6.0
gmt_m2-ctrl_asm_pid-damping,0.1.3
catboost2-sys,0.1.1+catboost.1.0.5
errno-no-std,0.1.5
freertos-sys2,0.2.0
hakoniwa,0.4.6
ax25,0.2.0
civet,0.12.0-alpha.5
epicinium_lib,1.1.0
dygpi,0.1.5
bbhash-sys,0.1.0
catboost-sys,0.1.6
class_group,0.6.1
ao_rs,0.1.5
dylink,0.3.0
arrow2,0.17.0
fiftyonedegrees,0.2.20
elikar,0.1.9
dnssd,0.1.0
egl,0.2.7
eframework,0.1.0
hatto,0.1.0
dvcompute_cons,1.3.5
cmsis-rtos2,0.1.1
devnet-token-faucet,0.1.0
ciphercore-adapters,0.1.1
grass-audio-sys,0.2.0
deno-libffi-sys,0.0.7
assemblylift-iomod-s3-guest,0.1.1
frenetic,0.1.0
hexchat-unsafe-plugin,2.3.0
gdbm_compat,0.1.1
exacl,0.10.0
clockwork-network-program,2.0.17
asynchronix,0.1.0
curl,0.4.44
deno_webstorage,0.98.0
devp2p-secp256k1,0.5.6
acl-sys,1.2.2
cardinal-paid-claim-approver,4.4.0
cursormatrix,0.4.0
cuda_std,0.2.2
aflak_imgui-sys,0.18.1
authenticode-parser-sys,0.3.1
dl-openvdb-query-sys,0.1.3
firewood-libaio,0.0.2
deelevate,0.2.0
fastly-sys,0.9.2
iceyee_random,1.0.3
hsa,0.1.0
dbus-rs,0.0.5
embedded-threads,0.1.0
gpl-math,0.1.0
godot_egui,0.1.8
cadical,0.1.14
blosc-sys,1.14.4
cffi-impl,0.1.6
dobby-sys,0.1.0
audir-sles,0.1.0
honestintervals,0.2.0
clear_screen,0.1.0
dont_panic,0.1.0
hagane-simd,0.1.0
commoncrypto-sys,0.2.0
applesauce-core,0.1.1
bindgen,0.65.1
cart-tmp-wgc,0.1.0
freenectrs,0.1.0
beetle-collatz,0.4.22
fswatch-sys,0.1.10
evmc-vm,9.0.0
actions-toolkit-sys,0.3.1
https-everywhere-lib-wasm,0.1.2
aries-askar,0.2.7
async_ui_web,0.1.0
autd3-link-soem,9.0.1
channelz_brotli,0.6.11
exprtk_rs,0.1.0
exocore-apps-sdk,0.1.24
assetmanager,0.1.0
chmlib-sys,1.0.0
cosmian_ffi,1.0.1
gmt_mount-ctrl_sampling8000-damping002_ze30,0.1.0
aegis,0.4.1
embassy-boot,0.1.1
gecko_atom,1.0.0
electron-sys,0.4.0
hcap,0.0.2
cyber-std,0.2.2
arcrs,0.1.1-alpha.7
gsm-sys,0.0.2
cardinal-transfer-authority,4.4.0
flutter_engine_context,0.1.0
dodo-open,0.0.1
assemblylift-iomod-lambda-guest,0.1.1
cardinal-reward-distributor,2.2.1
ecos-rs,0.1.0
extern_executor,0.1.2
hodor-program,0.1.0
alloc_system,0.1.2
concordium-std,6.1.1
