crate_name,version
detour,0.8.1
simple-voter,0.5.8
olivec-sys,0.1.1
konnoohmachi,1.0.0
clutter,1.20.0
signal,0.7.0
syslog-ng-common,0.7.0
webrtc-sys,0.1.3
nativeshell_core,0.1.3
tree-sitter-palm,0.1.0
ndisapi-rs,0.4.6
blosc-src,0.2.1
fil-blst,0.1.2
proxy-wasm,0.2.1
robotchallenge,0.0.3
libpg_query-sys,0.3.1
solarti-name-service,0.2.1
treelite,0.1.3
slvs,0.6.0
wit-bindgen,0.9.0
vimba-sys,0.2.0
android_looper-sys,0.3.0
ring-alloc,0.2.0
ws-sdk,0.1.17
ctti,0.2.0
pulsar-sys,2.7.0
dbsdk-rs,0.1.12
tree-sitter-bash,0.19.0
generator,0.7.5
filemagic,0.12.3
tree-sitter-dot,0.1.6
opencc-sys,0.1.8+1.1.6
sep-sys,1.2.0
backtrace-on-stack-overflow,0.3.0
libdevinfo-sys,1.0.0
saxx,0.1.2
nj-sys,3.0.0
byteplug,0.0.1
erupt-bootstrap,0.3.0
android_log-sys,0.3.0
bcc,0.0.33
psm,0.1.21
facsimile,0.0.3
xdrk,1.0.0
fvm-std,1.0.0
noct,0.1.0
zcfg,0.2.0
sidefuzz,0.1.2
wilton_rusty,0.3.1
hyperdex,1.1.0
tikv-jemalloc-sys,0.5.3+5.3.0-patched
chd-capi,0.1.5
intel-seapi-sys,0.2.0
altv_internal_sdk,15.0.0-rc.1
libsamplerate,0.1.0
mun_memory,0.4.0
megadrive-sys,0.1.0
rsworld-sys,0.1.0
tree-sitter-kdl,1.1.0
ioctl-rs,0.2.0
btor2tools-sys,1.0.0
liburing-sys,0.1.2
rusty_v8,0.32.1
hypr,0.0.1
rocketsim_rs,0.17.0
mercurial-amm,0.4.9
libtls-sys,1.2.0
angrylion-rdp-plus,0.1.0
breezyshim,0.1.19
jieba,0.1.3
osrandom,0.1.0
thin_cstr,0.1.1
rcublas-sys,0.5.0
qoqo,1.6.0-alpha.1
resolve,0.2.0
iop-keyvault-wasm,0.0.16
cashweb-secp256k1-sys,0.3.1
android_ffi,0.1.0
wasmer-wasi-fl,0.17.1
microsoft-directx,0.0.0-alpha.3
tree-sitter-c2rust,0.20.10
tun-tap-new,0.1.0
cocoa-colors,0.1.2
simetry,0.2.0
yaslapi-sys,0.2.0
rslint_core,0.3.0
cpp_std,0.1.1
md6,2.0.3
bitbadges-cosmwasm,0.0.2
wasix,0.12.21
distrs,0.2.1
syscalls,0.6.13
xous-kernel,0.9.37
jsonnet-sys,0.17.0
plumber-rs,0.1.2
substrate-wasmtime-jit,0.16.0-threadsafe.4
wasmer-engine-jit-near,1.0.1
libdivsufsort-rs,0.1.2
tree-sitter-ocaml,0.20.4
swift-rs,1.0.5
static_init,1.0.3
accrete,0.2.0
xcb,1.2.2
ld_preload,0.1.2
indy-vdr,0.3.4
mssh,0.0.0
polyline-ffi,0.6.1
flips-sys,0.2.1
embree,0.3.8
web_worker,0.3.0
abi-cafe,0.0.0
rusfuse,0.0.9
libscripthookv-sys,0.1.0
solder,0.1.6
ein-ffi,0.6.0
kcp-rust-native,0.1.0
robust-predicates,0.1.4
tree-sitter-cue,0.0.1
spl-associated-token-account,2.0.0
alloc-madvise,0.3.0
glu-sys,0.1.4
sem,0.1.0
melib,0.7.2
shuttle,0.6.1
cat_solver,0.1.0
geoip-sys,0.0.14
hpl-currency-manager,0.0.34
fil-ocl-core,0.11.4
posix-ipc,0.0.3
pkgcraft,0.0.10
kg-js,0.8.4
phoenix-seat-manager,0.1.1
wasm-rust-utils,0.2.1
tree-sitter-svelte,0.10.2
aux-context,0.1.0
mseed,0.3.0
symcode-webapp,0.1.0
klo-routines,0.1.0
sealed_box,0.2.7
silkenweb,0.5.0
io-synesthesist,0.1.1
ctrlc,3.4.0
libsoundio-sys,0.3.0
pmdk-sys,0.9.4
bankman,0.3.1
redis-simd-json,1.2.1
persistent-buff,0.2.6
veneer,0.1.1
chan-signal,0.3.3
lmdb-master-sys,0.1.0
hlua-badtouch,0.4.2
pyo3,0.19.1
sunvox-sys,0.1.0
unsquashfs-wrapper,0.1.1
basis-universal-sys,0.3.0
btrfsutil-sys,1.2.1
evil-janet,1.29.1
libutp-sys,0.1.4
esplugin-ffi,2.1.2
pzip-bwt,0.1.0
enclave-runner,0.5.1
pqcrypto-sphincsplus,0.6.4
rot26-rs,0.1.2
gpl-session,1.0.0
ffmpeg-wasi,0.1.12
odbc-sys,0.21.4
renegades_sqlite,0.1.3
corosensei,0.1.3
cronos-scheduler,0.2.0
libzmq-sys,0.1.8+4.3.2
porcupine-sys,0.0.4
sgx_align_struct_attribute,1.1.1
iocuddle,0.1.1
intercept,0.1.0
librollenspielsache,0.1.2
rora-javascript-adapter,0.0.2
lonlat_bng,0.3.8
nix,0.26.2
libflac-sys,0.3.0
nlzss11-zlib,1.0.0
solders-system-program,0.18.1
mpl-bubblegum,0.9.2
openfx-sys,0.1.0
atri_plugin,0.9.0
doomgeneric,0.3.0-beta.2
