crate_name,category,abi,count
zmq-0.10.0,rust_functions,C,1
tin-0.3.0,rust_functions,C,4
libtls-sys-1.2.0,foreign_functions,C,90
tree-sitter-onotone-0.1.1,foreign_functions,C,1
common_messages_sv2-0.1.4,rust_functions,C,4
source-map-mappings-wasm-api-0.5.0,foreign_functions,C,1
source-map-mappings-wasm-api-0.5.0,rust_functions,C,10
rmp3-0.3.1,foreign_functions,C,2
aclint-0.0.0,rust_functions,C,7
portunusd-0.3.0,foreign_functions,C,5
portunusd-0.3.0,rust_functions,C,1
iceyee_datetime-1.0.6,foreign_functions,C,2
iceyee_datetime-1.0.6,rust_functions,C,1
iceyee_datetime-1.0.6,static_items,C,1
tinysearch-engine-0.2.2,rust_functions,C,1
shared_library-0.1.9,foreign_functions,C,4
olin-0.3.0,rust_functions,C,1
luajit-bindings-0.2.0,foreign_functions,C,33
luajit-bindings-0.2.0,rust_functions,C,1
decrunch-0.1.2,foreign_functions,C,5
rsworld-sys-0.1.0,foreign_functions,C,18
sn_ffi_utils-0.18.10,rust_functions,C,5
sapp-jsutils-0.1.5,foreign_functions,C,13
sapp-jsutils-0.1.5,rust_functions,C,1
da14531-hal-0.2.2,rust_functions,C,1
pqcrypto-internals-0.2.4,rust_functions,C,1
k4a-sys-0.2.0,foreign_functions,C,65
k4a-sys-0.2.0,static_items,C,1
human_name-2.0.1,rust_functions,C,19
zarchive-0.1.1,foreign_functions,C,14
oculussdk-sys-0.1.0,foreign_functions,C,90
oculussdk-sys-0.1.0,static_items,C,1
sol-did-3.1.4,rust_functions,C,1
pqcrypto-mqdss-0.3.0,foreign_functions,C,10
cuda-driver-sys-0.3.0,foreign_functions,C,279
nix-user-chroot-1.2.2,foreign_functions,C,1
nvptx-builtins-0.1.0,foreign_functions,platform-intrinsic,13
ra_ap_hir_ty-0.0.144,rust_functions,C,1
rusfuse-0.0.9,foreign_functions,C,28
cortex-m-0.7.6,foreign_functions,C,27
yacurses-0.2.4,foreign_functions,C,41
yacurses-0.2.4,static_items,C,4
yatima-rustyline-0.2.0,rust_functions,C,1
qdk_sim_experimental-0.24.216270-beta,rust_functions,C,14
iredismodule-0.3.0,foreign_functions,C,1
iredismodule-0.3.0,rust_functions,C,1
iredismodule-0.3.0,static_items,C,229
rliron-0.0.6,foreign_functions,C,13
exmod-0.3.3,foreign_functions,C,25
file-lock-2.1.6,foreign_functions,C,2
lookit-0.1.1,foreign_functions,C,4
phoenix-tls-0.1.0,rust_functions,C,1
linxal-0.6.0,foreign_functions,C,8
os_clock-0.3.1,foreign_functions,C,1
fetch-data-0.1.6,rust_functions,C,1
gbm-sys-0.2.1,foreign_functions,C,38
screeps-game-api-0.9.1,foreign_functions,C,439
lang-3bc-sys-0.1.3,foreign_functions,C,63
flu-0.0.2,foreign_functions,C,93
wasmcloud-httpclient-0.2.4,rust_functions,C,1
faster_path-0.0.2,rust_functions,C,4
bing-rs-0.0.4,rust_functions,C,13
asn1_der-0.7.5,rust_functions,C,3
russimp-sys-static-1.0.1,foreign_functions,C,111
confium-0.1.1,rust_functions,C,31
ctre-sys-5.4.0,foreign_functions,C,195
eosio-chaintester-0.2.3,foreign_functions,Rust,2
uname-rs-0.1.1,foreign_functions,C,1
sidevm-env-0.1.7,foreign_functions,Rust,1
sidevm-env-0.1.7,foreign_functions,C,2
sidevm-env-0.1.7,rust_functions,C,1
ul-1.1.4,rust_functions,C,5
megenginelite-rs-1.8.2,rust_functions,C,1
tree-sitter-typescript-0.20.1,foreign_functions,C,2
blst-0.3.10,foreign_functions,C,209
blst-0.3.10,static_items,C,4
sc-tracing-7.0.0,rust_functions,C,1
windows-webview2-0.1.0,rust_functions,system,36
flips-sys-0.2.1,foreign_functions,C,11
flips-sys-0.2.1,rust_functions,C,1
fucker-0.5.1,rust_functions,C,3
clockwork-health-1.0.3,rust_functions,C,1
skein-ffi-0.5.0,foreign_functions,C,1
clockwork-scheduler-1.0.3,rust_functions,C,1
game-music-emu-0.2.0,foreign_functions,C,11
eunomia-rs-0.1.0,foreign_functions,C,4
wasm-bindgen-rayon-1.0.3,rust_functions,C,5
ispc-tex-0.1.0,foreign_functions,C,7
xi-trace-0.2.0,foreign_functions,C,1
tskit-0.12.0-alpha.1,foreign_functions,C,426
weechat-0.4.0,rust_functions,C,16
tracefp-0.0.1,foreign_functions,C,1
parviocula-0.0.3,rust_functions,C,5
rust-diagnostics-0.1.6,foreign_functions,C,1
oasis-game-core-0.9.0,foreign_functions,C,1
comet-rs-0.1.0,rust_functions,C,1
encoding_c_mem-0.2.6,rust_functions,C,30
tiny_tiff-0.5.2,foreign_functions,C,21
interfaces2-0.0.5,foreign_functions,C,3
xxhash-c-sys-0.8.3,foreign_functions,C,49
compiler_builtins-0.1.85,foreign_functions,C,1
compiler_builtins-0.1.85,rust_functions,C,216
wasmer_inkwell-0.2.0-alpha.2,rust_functions,C,1
rsa-solver-0.1.0,rust_functions,rust-call,2
cardinal-time-invalidator-2.1.0,rust_functions,C,1
localnative_core-0.3.7,rust_functions,C,2
gnulightning-sys-2.3.0,foreign_functions,C,451
gnulightning-sys-2.3.0,static_items,C,8
pink-sidevm-env-0.1.7,foreign_functions,Rust,1
pink-sidevm-env-0.1.7,foreign_functions,C,2
pink-sidevm-env-0.1.7,rust_functions,C,1
ufbx-0.3.0,foreign_functions,C,126
ufbx-0.3.0,rust_functions,C,17
ufbx-0.3.0,static_items,C,12
simd-alt-0.2.0,foreign_functions,platform-intrinsic,55
nahpack-0.2.0,rust_functions,C,8
unqlite-sys-1.1.0,foreign_functions,C,115
snapshots-0.2.8,rust_functions,C,1
libmarpa-sys-0.2.0,foreign_functions,C,454
libmarpa-sys-0.2.0,static_items,C,9
nuttx-embedded-hal-1.0.10,foreign_functions,C,9
nc-renderer-0.1.3,foreign_functions,system,246
dvdcss-0.1.2,foreign_functions,C,6
libpulse-binding-2.26.0,rust_functions,C,33
lapce-plugin-0.1.0,foreign_functions,C,1
scp_username_module-0.1.0,rust_functions,C,2
libstrophe-0.17.0,rust_functions,C,8
spiro-sys-0.1.1,foreign_functions,C,21
luau-src-0.3.0,foreign_functions,C,153
tinyspline-sys-0.2.0,foreign_functions,C,151
olivec-sys-0.1.1,foreign_functions,C,18
olivec-sys-0.1.1,static_items,C,2
coreutils_core-0.1.1,foreign_functions,C,1
kplayer-rust-wrap-1.5.7,foreign_functions,C,16
kplayer-rust-wrap-1.5.7,rust_functions,C,14
clickhouse-rs-cityhash-sys-0.1.2,foreign_functions,C,1
rlimit-0.8.3,foreign_functions,C,1
xiapi-sys-0.1.1,foreign_functions,C,126
vulkan-sys-0.1.1,foreign_functions,system,324
input-sys-1.16.1,foreign_functions,C,260
clipper-sys-0.7.2,foreign_functions,C,8
cblas-sys-0.1.4,foreign_functions,C,145
tree-sitter-jack-0.1.1,foreign_functions,C,1
ovr_overlay_sys-0.0.0,foreign_functions,C,1081
safe-associated-token-account-1.1.1,rust_functions,C,1
solana_bank-0.1.0,rust_functions,C,1
monotone-crescendo-1.0.4,rust_functions,C,3
