crate_name,version
detour,0.8.1
clutter,1.20.0
syslog-ng-common,0.7.0
hyperdex,1.1.0
hypr,0.0.1
solder,0.1.6
posix-ipc,0.0.3
deucalion,0.9.3
bootloader-x86_64-bios-stage-3,0.11.3
m68000,0.1.1
lsio,0.1.18
inkview-sys,0.1.2
win-variant,0.3.0
psx,0.1.6
libaio,0.0.1
mediacodec,0.1.2
datafusion-rustyline,2.0.0-alpha-20180628
pathrs,0.0.2
spacetimedb,0.4.0
bc4py_hash,0.1.3
wasmer-runtime-core,0.17.1
erc20-substreams,0.1.1
intro-rs,0.1.0
ao_rs,0.1.5
elikar,0.1.9
wasmer-runtime-core-l1x,0.18.0
frenetic,0.1.0
kqueue-sys,1.0.3
willhook,0.6.1
yew_svg,0.2.1
deelevate,0.2.0
hsa,0.1.0
pact_matching,1.0.8
dbus-rs,0.0.5
trans2quik,0.0.1
embedded-threads,0.1.0
llvmint,0.0.3
hagane-simd,0.1.0
fswatch-sys,0.1.10
tls,0.0.3
libnetfilter_queue,0.0.3
ontio-std,0.5.0
jalali,0.1.0
loop-forever,1.0.2
monkeys,0.1.0
nt_version,0.1.3
alloc_system,0.1.2
jay-config,0.1.0
r3_core,0.1.4
julia-sys,0.2.0
wasmer-runtime-core-asml-fork,0.1.1
ucontext,0.0.5
bootloader-x86_64-bios-stage-2,0.11.3
tsm-sys,0.1.0
avr-libcore,0.1.0
blurmac,0.0.1
metal-sys,0.0.0
psp2-sys,0.2.2
druid-win-shell,0.1.1
wcolor,0.1.5
bokken-runtime,0.1.0
wasm-utils,0.2.0
wasm-glue,0.1.0
wayland,0.0.2
cursock,1.1.1
objrs_runtime,0.0.2
vmulti-client,0.3.4
mtly-reward-center,0.2.6
perspective,2.0.1
parenchyma,0.0.33
nnv-rs,0.6.1
ivyrust,0.1.1
domino_program,0.1.2
libvmm,0.1.0
libnfqueue,0.1.0
ez_audio,0.1.6
jack-client,0.1.2
native-windows-gui,1.0.13
nix-test,0.0.1
optimal-transport,0.2.0
postgres_alloc,0.0.1
taos-optin,0.8.1
z3_ref,0.1.4
gdhcocos-rs,1.0.0
drone-test,0.1.2
memexec,0.2.0
usbw,0.0.2
libtxc,0.2.6
event_rust,0.1.1
twain,0.1.0
termios-sys,0.0.6
gnupg,0.1.0
arti-rpcserver,0.1.0
freetype-gen-rs,0.213.1
rbothal,0.0.2
mach2,0.4.1
akinator-py,0.2.1
wasmcloud-httpserver,0.12.3
amethyst_rendy,0.15.3
iron-oxide,0.1.1
fsevents,0.1.0
vertigo-browserdriver,0.1.0-beta.3
groove,0.0.1
lincoln_wasm,0.1.1
text-transliterate,2.0.0
bfes,0.1.0
optee-utee-sys,0.0.1
netfilter_queue,0.2.1
nft_collection,0.1.1
spl-name-service,0.2.0
witas,0.9.0
xladd,0.1.2
nano_time,0.1.0
win32api-rs-sys,0.1.0
uefi-ffi,0.1.1
mermaid-wasmbind,0.1.0
lib_composite,0.7.0
bootloader-x86_64-bios-stage-4,0.11.3
unid,1.0.0
nanoset-py,0.1.4
usermode,0.1.0
feaders,0.2.0
aleo-wasm,0.4.1
boehm_gc,0.0.1
allocator_stub,0.1.0
win7-notifications,0.3.1
xtensa-lx6-rt,0.4.0
ao,0.6.1
divert,0.4.0
hpl-asset-assembler,0.0.1
winutils-rs,0.2.2
hanblas,0.0.1
gmssl,0.1.0
luis_sys,0.4.5
localforage-stdweb,0.2.1
pest-ide,0.1.4
