crate_name,abi,discriminant,reason,err_id,err_text
wascc-s3,C,14,4,0,"dyn codec::capabilities::CapabilityProvider"
altv_internal_sdk,C,7,3,0,"str"
minimap2-sys,C,3,6,0,"u128"
noosphere,C,5,16,0,"safer_ffi::tuple::void::CVoid"
noosphere,C,5,10,1,"std::option::Option<safer_ffi::boxed::slice_boxed<u8>>"
yaslapi-sys,C,3,6,0,"u128"
xcb,C,13,1,0,"fn(*mut libc::c_void)"
kcp-rust-native,C,3,6,0,"u128"
geoip-sys,C,8,20,0,"[u8; 16]"
libfuzzer-sys,C,9,5,0,"[u8]"
ffmpeg-wasi,C,3,6,0,"u128"
lonlat_bng,C,19,2,0,"(ffi::Array, ffi::Array)"
head-empty,C,5,16,0,"Registration"
inexor-rgf-plugin-file,C,5,16,1,"std::vec::Vec<inexor_rgf_core_plugins::PluginDependency>"
inexor-rgf-plugin-file,C,14,4,0,"dyn inexor_rgf_core_plugins::PluginRegistrar"
wascc-httpsrv,C,14,4,0,"dyn codec::capabilities::CapabilityProvider"
nnsdk,C,5,16,3,"alloc::boxed::Box<[u16]>"
nnsdk,C,3,6,1,"u128"
nnsdk,C,5,16,0,"nn::os::MessageQueueType"
nnsdk,C,5,10,2,"nn::ssl::Context::CertificateFormat"
gurobi-sys,C,5,11,1,"GRBmodel"
gurobi-sys,C,5,11,0,"GRBenv"
usb,C,5,11,2,"libusb::libusb_device_handle"
usb,C,5,11,0,"libusb::libusb_context"
usb,C,5,11,1,"libusb::libusb_device"
libtar-sys,C,1,7,0,"char"
vsmtp-common,C,5,10,0,"std::result::Result<std::sync::Arc<dyn transport::AbstractTransport>, transport::DeserializerError>"
hc_iz_profile,C,3,6,0,"u128"
sundials-sys,C,3,6,0,"u128"
mongors,C,3,6,0,"u128"
consistenttime,C,9,5,3,"[u64]"
consistenttime,C,9,5,1,"[u16]"
consistenttime,C,9,5,0,"[u8]"
consistenttime,C,9,5,2,"[u32]"
consistenttime,C,9,5,4,"[usize]"
nvml-rs,C,5,10,0,"std::result::Result<u64, std::string::String>"
nature_demo_executor,C,5,10,0,"nature_common::ConverterReturned"
nature_demo_executor,C,5,10,1,"std::result::Result<std::vec::Vec<nature_common::Instance>, nature_common::NatureError>"
nature_demo_executor,C,5,10,2,"std::result::Result<nature_common::Instance, nature_common::NatureError>"
zsh-sys,C,3,6,0,"u128"
onnxruntime-sys,C,3,6,0,"u128"
varnish-sys,C,3,6,0,"u128"
