crate_name,err_id,category,ignored,file,start_line,start_col,end_line,end_col
geoip-sys,0,foreign_functions,false,"src/lib.rs",39,16,39,23
geoip-sys,0,foreign_functions,false,"src/lib.rs",43,58,43,65
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1296,24,1296,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1296,33,1296,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1305,25,1305,29
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1305,34,1305,38
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1314,24,1314,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1314,33,1314,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1323,25,1323,29
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1323,34,1323,38
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1332,24,1332,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1332,33,1332,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1341,25,1341,29
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1341,37,1341,41
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1341,46,1341,50
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1350,25,1350,29
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1350,34,1350,38
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1359,24,1359,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1359,33,1359,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1368,24,1368,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1368,33,1368,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1377,28,1377,32
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1377,40,1377,44
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1377,49,1377,53
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1386,23,1386,27
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1386,32,1386,36
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1395,24,1395,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1395,33,1395,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1404,23,1404,27
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1404,32,1404,36
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1413,24,1413,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1413,33,1413,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1422,23,1422,27
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1422,32,1422,36
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1431,24,1431,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1431,33,1431,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1440,25,1440,29
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1440,34,1440,38
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1449,24,1449,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1449,33,1449,37
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1458,24,1458,28
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1458,36,1458,40
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1458,45,1458,49
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1467,25,1467,29
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1467,34,1467,38
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1476,23,1476,27
ffmpeg-wasi,0,foreign_functions,true,"src/avcodec.rs",1476,35,1476,39
