crate,test,error_type,error_text,error_subtext
plthook,tests::replace_atof,Undefined Behavior,Access out of bounds; cannot resolve metadata for pointer to address 139729231143184,NA
spdkit-nauty,test_nauty,Undefined Behavior,Access out of bounds; cannot resolve metadata for pointer to address 139980053579880,NA
plthook,tests::use_c_api,Undefined Behavior,Access out of bounds; cannot resolve metadata for pointer to address 140311110172944,NA
spdkit,fingerprint::test_reorder_by_connect,Undefined Behavior,Access out of bounds; cannot resolve metadata for pointer to address 140603143317608,NA
clf,tests::it_works_2,LLI Internal Error,Code generator does not support intrinsic function 'llvm.clear_cache'!,NA
byztime,tests::addition_is_associative,LLI Internal Error,Code generator does not support intrinsic function 'llvm.sadd.with.overflow.i64'!,NA
byztime,tests::scale_neg_one,LLI Internal Error,Code generator does not support intrinsic function 'llvm.smul.with.overflow.i64'!,NA
byztime,tests::subtraction_is_negated_addition,LLI Internal Error,Code generator does not support intrinsic function 'llvm.ssub.with.overflow.i64'!,NA
umash,tests::test_another_case_with_separate_params_as_write,LLI Internal Error,Code generator does not support intrinsic function 'llvm.uadd.with.overflow.i64'!,NA
aegis,tests::test_aegis_in_place,LLI Internal Error,Code generator does not support intrinsic function 'llvm.x86.aesni.aesenc'!,NA
crypto_pimitives,aesni_test::aesni_256_key_expansion_test,LLI Internal Error,Code generator does not support intrinsic function 'llvm.x86.aesni.aeskeygenassist'!,NA
libargon2-sys,tests::direct_call,LLI Internal Error,Code generator does not support intrinsic function 'llvm.x86.sse2.psrli.q'!,NA
picohttpparser-sys,partial,LLI Internal Error,Code generator does not support intrinsic function 'llvm.x86.sse42.pcmpestri128'!,NA
special-fun,cephes_double::gamma,Unsupported Operation,"Expected 1 arguments, but got 2.",NA
firewood-libaio,simple2,Unsupported Operation,"Expected 1 arguments, but got 3.",NA
pqcrypto-threebears,ffi::test_papabear_clean::test_ffi,Unsupported Operation,"Expected 1 arguments, but got 4.",NA
xch,test_success,Unsupported Operation,"Expected 1 arguments, but got 6.",NA
h3ron,cell::tests::test_string_to_h3,Unsupported Operation,"Expected 2 arguments, but got 3.",NA
ssdeep,hash_accepts_str_as_bytes,Unsupported Operation,"Expected 3 arguments, but got 4.",NA
h3ron,directed_edge::tests::boundary_linestring,LLI Internal Error,Fmuladd intrinsic only supports float and double,NA
lexlib,color::colorf::gray,Unsupported Operation,"Incorrect number of arguments to lexlibColorFGray, LLVM expects 2 but Rust provided 1",NA
archiv,compress_opts_lifetime,LLI Internal Error,LLI does not support inline assembly.,NA
a2kit,lang::integer::tokenize_test::control_tests::binary_ascii_collisions,Unsupported Operation,Mismatched number of fields; LLVM Actual (0) vs Rust(1),NA
dfp-number,decimal128::decimal128_display::decimal128_new_0002,Unsupported Operation,Mismatched number of fields; LLVM Actual (2) vs Rust(1),NA
lexlib,color::color8::gray,Undefined Behavior,Unable to resolve NULL pointer.,NA
llama,tests::for_loop,Unsupported Operation,Unsupported function call,LLVMInitializeAArch64TargetInfo
llama-wasm,tests::test_for_loop,Unsupported Operation,Unsupported function call,LLVMInitializeX86TargetInfo
authenticode-parser,conformance::pe_file,Unsupported Operation,Unsupported function call,OBJ_create
adbutils,client::test::test_path,Unsupported Operation,Unsupported function call,OPENSSL_init_ssl
dilithium-raw,dilithium2::tests::test_invalid_modified_signature,Unsupported Operation,Unsupported function call,PQCLEAN_DILITHIUM2_CLEAN_polyvec_matrix_expand
pqcrypto-hqc,ffi::test_hqcrmrs192_clean::test_ffi,Unsupported Operation,Unsupported function call,PQCLEAN_HQCRMRS192_CLEAN_hqc_pke_keygen
pqcrypto-newhope,ffi::test_newhope512cca_clean::test_ffi,Unsupported Operation,Unsupported function call,PQCLEAN_NEWHOPE512CCA_CLEAN_cpapke_keypair
ate,dio::test::test_dio,Unsupported Operation,Unsupported function call,PQCRYPTO_RUST_randombytes
depdive,cratesio::tests::test_cratesio_stats_for_libc,Unsupported Operation,Unsupported function call,TLS_method
libmdbx,test_begin_txn,Unsupported Operation,Unsupported function call,__assert_fail
mseed,record::tests::test_detect,Unsupported Operation,Unsupported function call,__ctype_b_loc
dec,test_ordered_decimal128,Unsupported Operation,Unsupported function call,abs
eureka,program_access::tests::test_program_access__get_if_available__success,Unsupported Operation,Unsupported function call,access
bellperson-sha512,uint64::test::test_uint64_addmany_constants,Unsupported Operation,Unsupported function call,add_mod_256
atms,multi_sig::tests::serde_pk,Unsupported Operation,Unsupported function call,add_mod_384
qurs,state_calc,Unsupported Operation,Unsupported function call,cabs
x42ltc,tests::encoder_reinitialization_fails_if_internal_buffer_is_too_small,Unsupported Operation,Unsupported function call,ceil
bls_bulletproofs,inner_product_proof::tests::test_inner_product,Unsupported Operation,Unsupported function call,check_mod_256
git2,cred::test::credential_helper4,Unsupported Operation,Unsupported function call,chmod
bellperson-sha512,sha512::test::test_full_block,Unsupported Operation,Unsupported function call,cneg_mod_256
fft4r,real::tests::basic_test,Unsupported Operation,Unsupported function call,cos
knetrs,knet::tests::test_accept_failed,Unsupported Operation,Unsupported function call,epoll_create
argon2-kdf,hasher::tests::test_hash_auth_string_argon2d,Unsupported Operation,Unsupported function call,explicit_bzero
rsofa,tests::test_a2tf,Unsupported Operation,Unsupported function call,floor
rsofa,tests::test_anp,Unsupported Operation,Unsupported function call,fmod
rpi_ws281x-sys,should_detect_rpi_version,Unsupported Operation,Unsupported function call,fopen
bls_bulletproofs,range_proof::tests::create_and_verify_n_32_m_1,Unsupported Operation,Unsupported function call,fromx_mont_384
adbutils,client::test::test_devices,Unsupported Operation,Unsupported function call,getaddrinfo
reef,usage,Unsupported Operation,Unsupported function call,geteuid
cargo-cache,date::libtests::parse_dates_panic1,Unsupported Operation,Unsupported function call,localtime_r
cat_solver,tests::solver,Unsupported Operation,Unsupported function call,log10
brotli2,raw::tests::compress_smoke,Unsupported Operation,Unsupported function call,log2
quick-js,tests::context_reset,Unsupported Operation,Unsupported function call,malloc_usable_size
blsful,aggegratesigs_work::case_1_g1,Unsupported Operation,Unsupported function call,mulx_mont_sparse_256
rebound-sys,tests::test_integrate_particle,Unsupported Operation,Unsupported function call,nan
rust-locale,ctype::tests::is_space_i18n,Unsupported Operation,Unsupported function call,newlocale
speex-safe,mode::encoder::test::encodes_frame_without_segfault,Unsupported Operation,Unsupported function call,pow
aubio,filterbank::test::test_filterbank_do,Unsupported Operation,Unsupported function call,powf
zopfli-rs,round_trip_gzip,Unsupported Operation,Unsupported function call,qsort
cargo-blinc,blinc::test::test_tasks_are_executed,Unsupported Operation,Unsupported function call,readdir
fap,parse_03e70113,Unsupported Operation,Unsupported function call,regcomp
icasadi,tests::tst_call_casadi_grad,Unsupported Operation,Unsupported function call,sin
algorithm-problem-client,aoj::client::tests::test_find_user,Unsupported Operation,Unsupported function call,socket
molconv,trajectory::tests::test_trajectory_num_atoms,Unsupported Operation,Unsupported function call,sprintf
qurs,test_ccnot_gate,Unsupported Operation,Unsupported function call,sqrt
blst,p1_multi_scalar::test_mult,Unsupported Operation,Unsupported function call,sqrx_mont_384
blst,p2_multi_scalar::test_mult,Unsupported Operation,Unsupported function call,sqrx_mont_384x
qurs,init_state,Unsupported Operation,Unsupported function call,srand
lmdb-master3-sys,test_simple_64,Unsupported Operation,Unsupported function call,stat
alcro,test_bind_async,Unsupported Operation,Unsupported function call,strchr
aubio,pvoc::test::test,Unsupported Operation,Unsupported function call,strcmp
bibutils-sys,tests::bibtex_to_ris,Unsupported Operation,Unsupported function call,strdup
distill-downstream-lmdb-rkv,error::test::test_description,Unsupported Operation,Unsupported function call,strerror
argon2-sys,argon2i_v10::case_10,Unsupported Operation,Unsupported function call,strncmp
capstone,test::test_arch_arm64,Unsupported Operation,Unsupported function call,strncpy
csvs_convert,converters::tests::test_large_xlsx,Unsupported Operation,Unsupported function call,strpbrk
spine-sys,skeleton::tests::load_skeleton,Unsupported Operation,Unsupported function call,strrchr
actix-lua,builder::tests::build_script_error,Unsupported Operation,Unsupported function call,time
os-timer,timer::posix::tests::init_plain_fn,Unsupported Operation,Unsupported function call,timer_create
faster-beamer,tree_traversal::tests::test_get_scope_nodes,Unsupported Operation,Unsupported function call,ts_record_calloc
webusb,tests::test_device_blink,Unsupported Operation,Unsupported function call,uname
aubio,onset::test::test_wrong_params,Unsupported Operation,Unsupported function call,vsnprintf
bc-components,sealed_message::tests::test_sealed_message,Undefined Behavior,`copy_nonoverlapping` called on overlapping ranges,NA
fastcrypto,bls12381_group_tests::test_gt_arithmetic,Unsupported Operation,`extern` static `blst,NA
crew-rs,writer_can_entrust_secret_info_to_content_secret,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required",NA
rabbitizer,tests::test_get_operand_type,Undefined Behavior,"accessing memory with alignment 2, but alignment 4 is required",NA
twmap,tile_flags_ddnet_test,memory leaked,"alloc1609152 (Allocated for interop between LLI and Miri, size","0, align"
alloca,tests::test_write,memory leaked,"alloc24820 (Allocated for interop between LLI and Miri, size","0, align"
bchlib,tests::test_decode_err,memory leaked,"alloc25072 (Allocated in heap by LLVM, size","64, align"
bchlib,tests::test_sync_codeword,memory leaked,"alloc25095 (Allocated in heap by LLVM, size","24, align"
smalloca,tests::memsafety_test_clone,memory leaked,"alloc25300 (Allocated for interop between LLI and Miri, size","0, align"
smalloca,tests::return_test,memory leaked,"alloc25347 (Allocated for interop between LLI and Miri, size","0, align"
smalloca,tests::inner_fucntion_call_test,memory leaked,"alloc25369 (Allocated for interop between LLI and Miri, size","0, align"
smalloca,tests::memsafety_test_default,memory leaked,"alloc25370 (Allocated for interop between LLI and Miri, size","0, align"
mindus,data::schematic::test::block_iter,memory leaked,"alloc256299 (Allocated for interop between LLI and Miri, size","0, align"
c-closures,tests::fn_once,memory leaked,"alloc25738 (Allocated for interop between LLI and Miri, size","0, align"
c-closures,tests::fn_not_mut,memory leaked,"alloc25752 (Allocated for interop between LLI and Miri, size","0, align"
c-closures,tests::fn_drop_test,memory leaked,"alloc25800 (Allocated for interop between LLI and Miri, size","0, align"
c-closures,tests::fn_mut,memory leaked,"alloc25822 (Allocated for interop between LLI and Miri, size","0, align"
c-closures,tests::fn_cstring,memory leaked,"alloc26292 (Allocated for interop between LLI and Miri, size","0, align"
