crate_name,defn_disabled,decl_disabled
wascc-s3,false,false
noosphere,false,false
xcb,false,false
rusfuse,false,false
kcp-rust-native,false,false
solana-system-program,false,false
geoip-sys,false,false
libfuzzer-sys,false,false
ffmpeg-wasi,false,true
lonlat_bng,false,false
head-empty,false,false
wascc-httpsrv,false,false
nnsdk,false,false
safecoin-vest-program,false,false
solana-lualoader,false,false
gurobi-sys,false,true
usb,false,false
libtar-sys,false,false
mongors,false,false
consistenttime,false,false
soroban-env-guest,false,false
nvml-rs,false,false
nature_demo_executor,false,false
solana-noop,false,false
onnxruntime-sys,false,true
varnish-sys,false,true
node_api_system,false,true
bing-rs,false,false
thorin,false,true
solana-geyser-plugin-postgres,false,false
starlane-core,false,false
t_bang,false,false
emacs_module_bindings,false,false
rustpak,false,false
flu,false,false
cpp_regexp,false,false
x11,false,true
asn1_der,false,false
vk-rs,false,false
wascc-httpclient,false,false
GSL-sys,false,true
pngquant,false,false
icu_capi,false,false
rustgym-testcpp,false,false
jitterentropy-sys,false,true
cursed,false,false
wascc-fs,false,false
luasocket,false,false
wasmer-runtime-core-near,false,false
base-coroutine,false,false
krust,false,false
flite-sys,false,false
roxido,false,false
mouse_automation,false,false
wasmcloud-nats-kvcache,false,false
freefare-sys,false,false
glpk-sys,false,false
fmod,false,true
reax,false,false
caldera-bindings,true,true
quickjs-sys,false,false
batrachia,false,false
wasmcloud-telnet,false,false
safecoin-exchange-program,false,false
drm-rs,false,false
socket,false,false
protobuf-native,false,false
guile-sys,false,false
rust-corosync,false,false
wascc-nats,false,false
perfrecord-mach-ipc-rendezvous,false,false
duckdb-extension-framework,false,false
syrette,false,false
libxml,false,false
clhash-sys,false,true
compiler_builtins,true,true
mono-rs,false,false
cult,false,false
rxscreen,false,false
wow-rs,false,false
stable-swap-fuzz,false,false
mech-stats,false,false
iredismodule,false,false
oasis-test,false,false
wasmcloud-s3,false,false
chip,false,false
virt,false,true
solana-geyser-plugin-scaffold,false,false
nfc-sys,false,false
axe_fx_midi,false,false
ndless-sys,false,false
libvips,false,true
numpress,false,false
solana-budget-program,false,false
wasmcloud-nats,false,false
packed_simd_2,true,false
wasmcloud-fs,false,false
nfc,false,false
mesh-portal-versions,false,false
truncnorm,false,false
lua52-sys,false,true
fluidsynth,false,false
mpc,false,false
libsweep,false,false
vigem-sys,false,false
ark-api-ffi,false,false
eosio_cdt_sys,false,true
blis-sys,false,false
cl-sys,false,false
lucet-runtime-internals,false,false
solana-accountsdb-plugin-postgres,false,false
gaborator-sys,false,false
sapp-linux,true,true
lapacke-sys,false,false
rsasl,false,false
euphrates_x64,false,false
ladspa_noisecoring,false,false
libduckdb-sys,false,true
fuchsia_backtrace,false,false
encoding_c_mem,false,false
onnxruntime-sys-patch,false,true
psp,false,false
companion-service,false,false
duku,false,false
grb-sys2,false,true
skyline,false,false
oasis-std,false,false
wasmcloud-httpclient,false,false
inmemory-keyvalue,false,false
ort,false,false
confium,false,false
ladspa,false,false
minimp4-sys,false,false
solana-vest-program,false,false
libiio-sys,false,true
dittolive-ditto-sys,false,false
agora-rtm,false,false
mechtron,true,true
irssi-sys,true,true
mp4decrypt,false,true
pen-ffi,false,false
tectonic_engine_bibtex,false,false
elfo-core,false,false
cosmic-macros,true,true
applevisor-sys,false,true
rcap,false,false
wasmer-runtime-core-fl,false,false
vplugin,true,false
obs-sys,false,true
tmux_plugin,false,false
td_clua,false,true
linkbot,false,false
cosmic-space,true,true
libpostal-sys,false,true
externc-libm,false,false
cuda-oxide,false,false
skia-bindings,false,false
croaring-sys-mw,false,false
openldap,false,false
mcai-onnxruntime-sys,false,true
rax,false,false
pbf-reader,false,false
x11nas,false,true
clockkit,false,false
luacjson,false,false
rnet,false,false
solana-noop-program,false,false
dittolive-ditto,false,false
nature_demo_converter,false,false
monotron-app,false,false
sidh,false,false
lava,false,false
ecdh,false,false
abi_stable,true,true
wasmcloud-redis,false,false
hactool-sys,false,true
gary-plugin-docker,false,false
libyang2-sys,false,true
onload,true,true
libpcap,true,true
wascc-telnet,false,false
wascc-logging,false,false
open-cl-sys,false,true
ffmpeg-dev,false,false
multicast_dns,false,false
tea-keyvalue-provider,false,false
pxtone-sys,false,true
xiapi-sys,false,false
rust-mio,false,false
remote-trait-object,false,false
range-encoding,false,false
cognitive-services-speech-sdk-rs,false,false
rust-sqlite,false,false
qurs,false,false
cxx-demo,false,false
jsonnet,false,false
nature-demo,false,false
coco-sys,false,true
wasmcloud-logging,false,false
plerkle,false,false
sgx_types,false,true
cloudabi,false,false
nobs-vk,false,false
gnulightning-sys,false,false
td_clua_ext,false,false
mysqlbinlog,false,false
clips-sys,false,false
rusty_libimobiledevice,false,false
rustchord,false,false
uring-sys2,false,false
spooles_ffi,false,false
nature_integrate_test_converter,false,false
wasmtime-runtime,false,false
solana-exchange-program,false,false
solana-failure-program,false,false
mech-math,false,false
redis-cell,false,false
nature_integrate_test_executor,false,false
trezor-crypto-sys,false,false
flac-sys,false,false
czmq-sys,false,false
palombe,false,false
hacl-star-sys,false,false
agora-rtm-sdk,false,false
intertrait,false,false
virtualization-rs,false,true
mtbl-sys,false,true
