error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_tree_borrows,num_occurrences
3,aigc_secp256k1zkp,0.7.12,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
4,aigc_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
5,aigc_secp256k1zkp,0.7.12,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
6,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,53
7,arcdps-imgui,0.8.0,context::test_set_ini_filename,Undefined Behavior,"attempting a read access using <120109> at alloc40422[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE,2
8,archive-lp,0.2.3,xz_tar_extract_a_file,Test Failed,NA,"test failed, to rerun pass `--test xztar`",FALSE,2
9,argonautica,0.2.0,backend::rust::encode::tests::test_encode_against_c,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
25,bchlib,0.2.1,tests::test_decode,memory leaked,"alloc25095 (C heap, size","memory leaked: alloc (C heap, size: 16, align: 16), allocated here:",FALSE,2
26,bchlib,0.2.1,tests::test_decode_err,memory leaked,"alloc25219 (C heap, size","memory leaked: alloc (C heap, size: 24, align: 16), allocated here:",FALSE,1
27,bchlib-sys,0.2.1,tests::it_works,memory leaked,"alloc25205 (C heap, size","memory leaked: alloc (C heap, size: 4, align: 4), allocated here:",FALSE,1
28,bdflib,0.4.4,tests::it_writes_compressed,deadlock,the evaluated program deadlocked,deadlock: the evaluated program deadlocked,TRUE,1
31,blake2_c,0.3.3,test::test_all_parameters_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,11
32,blitsort-sys,0.1.0,sort::test_sorted,Undefined Behavior,"attempting a write access using <95893> at alloc24707[0x4], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x4], but that tag only grants SharedReadOnly permission for this location",FALSE,1
33,blosc-src,0.2.1,roundtrip,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
34,blosc2-src,0.1.1,floats_roundtrip,LLI interoperation error,Unsupported LLVM Type,LLI interoperation error: Unsupported LLVM Type: <16 x i8>,FALSE,1
35,boreal,0.3.0,elf::test_coverage_elf32_mips,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE,15
41,btreec,0.3.0,tests::ascend_descend,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,4
54,cat_solver,0.1.0,tests::bad_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,5
55,cesride,0.6.1,core::creder::test::sanity,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE,13
57,chmlib-sys,1.0.0,open_example_file,Test Failed,NA,"test failed, to rerun pass `--test smoke_test`",FALSE,1
58,cifar_10_loader,0.2.0,test::test_cifar_10_loader_rs,Undefined Behavior,"trying to retag from <9717569> for Unique permission at alloc1773071[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: trying to retag from <> for Unique permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE,1
59,cita-snappy,0.1.5,tests::valid,Undefined Behavior,"attempting a write access using <98035> at alloc25352[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE,1
60,cita-snappy,0.1.5,tests::decompress_error,Undefined Behavior,"attempting a write access using <98310> at alloc25419[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE,1
61,cita-snappy,0.1.5,tests::compress_and_decompress,Undefined Behavior,"attempting a write access using <98264> at alloc25424[0x3], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x3], but that tag does not exist in the borrow stack for this location",FALSE,1
62,clickhouse-driver-lz4,0.1.0,test::test_decompression,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
63,clickhouse-driver-lz4,0.1.0,test::test_compression,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,1
67,cpp_std,0.1.1,vector_push_pop_slice,Undefined Behavior,"attempting a read access using <97109> at alloc25101[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE,1
68,cpp_std,0.1.1,vector_as_mut_slice,Undefined Behavior,"attempting a read access using <97133> at alloc25121[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE,1
69,cpp_std,0.1.1,vector_from_slice,Undefined Behavior,"attempting a read access using <97196> at alloc25093[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE,1
70,crew-rs,0.1.0,admin_can_entrust_secret_info_to_content_secret,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 4 is required",FALSE,2
71,crypto_pimitives,0.1.1,aesni_test::aesni_192_key_expansion_test,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 24, so pointer to 8 bytes starting at offset 24 is out-of-bounds",FALSE,1
72,ctaes-sys,0.1.0,tests::aes_gcm_decrypt_test_vectors,Undefined Behavior,constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0],"Undefined Behavior: constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0]: encountered uninitialized memory, but expected an integer",FALSE,2
74,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_mixed_order_projection::case_4,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,9
83,dec,0.4.8,decnum_raw_parts,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE,5
88,dec-number-sys,0.0.25,test_dec_double_zero,LLI interoperation error,LLVM field count mismatch,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",FALSE,4
89,dec-number-sys,0.0.25,test_dec_quad_get_coefficient,Undefined Behavior,"attempting a write access using <116641> at alloc30212[0x0], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",FALSE,1
90,dec-number-sys,0.0.25,test_dec_double_add,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
91,dec-number-sys,0.0.25,test_dec_quad_divide_fma,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
92,dec-number-sys,0.0.25,test_dec_quad_remainder,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
93,dec-number-sys,0.0.25,test_dec_quad_get_exponent,Test Failed,NA,"test failed, to rerun pass `--test dec_quad`",FALSE,1
94,decnumber-sys,0.1.5,simple_addition,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE,1
104,ecma_regex,0.0.2,supports_look_ahead,Undefined Behavior,"deallocating alloc26331, which is C heap memory, using Rust heap deallocation operation","Undefined Behavior: deallocating alloc, which is C heap memory, using Rust heap deallocation operation",FALSE,1
105,ellipsis,0.1.0,test_config_command,Test Failed,NA,"test failed, to rerun pass `--test integration_tests`",FALSE,1
106,emd,0.1.1,tests::test_distance,memory leaked,"alloc30452 (Rust heap, size","memory leaked: alloc (Rust heap, size: 16, align: 8), allocated here:",FALSE,1
108,ep-capstone,0.2.0,arch::arm::test::arm_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 14, so pointer to 1 byte starting at offset 14 is out-of-bounds",FALSE,5
109,ep-capstone,0.2.0,arch::m68k::test::m68k_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 15, so pointer to 1 byte starting at offset 15 is out-of-bounds",FALSE,4
110,ep-capstone,0.2.0,arch::arm64::test::arm64_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 16, so pointer to 1 byte starting at offset 16 is out-of-bounds",FALSE,4
111,ep-capstone,0.2.0,insn::test::detail_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 17, so pointer to 1 byte starting at offset 17 is out-of-bounds",FALSE,1
112,ep-capstone,0.2.0,arch::mos65xx::test::mos65xx_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 18, so pointer to 1 byte starting at offset 18 is out-of-bounds",FALSE,1
113,ep-capstone,0.2.0,arch::tms320c64x::test::tms320c64x_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 21, so pointer to 1 byte starting at offset 21 is out-of-bounds",FALSE,1
115,eth-secp256k1,0.5.7,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
116,eth-secp256k1,0.5.7,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
117,eth-secp256k1,0.5.7,ecdh::tests::ecdh,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,33
118,everrs,0.2.1,chacha20poly1305::tests::seal_test_inplace,Undefined Behavior,"attempting a read access using <254085> at alloc65358[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE,1
119,everrs,0.2.1,x25519::tests::diffie_hellman_test,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
125,flate2-crc,0.1.2,tests::random_small,the main thread terminated without waiting for all remaining threads,NA,the main thread terminated without waiting for all remaining threads,FALSE,1
126,flips,0.2.1,linear::test_create_apply,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,1
127,flips,0.2.1,delta::test_create_apply,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,3
128,flips,0.2.1,test_create_identical,memory leaked,"alloc25636 (C heap, size","memory leaked: alloc (C heap, size: 4096, align: 16), allocated here:",FALSE,1
129,flips,0.2.1,test_study_apply_to_output,memory leaked,"alloc25704 (C heap, size","memory leaked: alloc (C heap, size: 65536, align: 16), allocated here:",FALSE,1
130,flips-sys,0.2.1,bps::tests::check_create_linear_and_apply,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 4096, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,1
131,flips-sys,0.2.1,bps::tests::check_create_delta_and_apply,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
132,fluidlite,0.2.1,settings::test::settings_ref,memory leaked,"alloc27600 (C heap, size","memory leaked: alloc (C heap, size: 56, align: 16), allocated here:",FALSE,1
136,gmod-lzma,1.0.1,test_compress,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
137,grebedb,1.0.0,a::rand_operation_10000_fast,Undefined Behavior,"accessing memory with alignment 1, but alignment 8 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 8 is required",FALSE,48
139,grin_secp256k1zkp,0.7.12,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
140,grin_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
141,grin_secp256k1zkp,0.7.12,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
142,grin_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,53
158,h3o,0.4.0,h3::are_neighbor_cells::exhaustive_res0,Test Failed,NA,"test failed, to rerun pass `--test integration_tests`",FALSE,59
167,http-muncher,0.3.2,tests::test_version,LLI interoperation error,LLVM field width mismatch,"LLI interoperation error: LLVM field width mismatch: cannot convert an LLVM field of width 8 to a Rust field of type u32, which has width 4",FALSE,1
168,imgui,0.11.0,context::test_set_ini_filename,Undefined Behavior,"attempting a read access using <122144> at alloc42486[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE,2
169,jh-rs,0.1.0,tests::large,Undefined Behavior,constructing invalid value,Undefined Behavior: constructing invalid value: encountered an unaligned reference (required 8 byte alignment but found 1),FALSE,5
170,kg-js,0.8.4,de::tests::deserialize_nan,Undefined Behavior,"trying to retag from <103968> for SharedReadWrite permission at alloc28299[0x8], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: trying to retag from <> for SharedReadWrite permission at alloc[0x8], but that tag only grants SharedReadOnly permission for this location",FALSE,18
171,kissat,0.1.0,tests::miter_buggy_mux2,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,4
176,lexlib,2.0.1,color::colorf::gray,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type `color::ColorF` to an LLVM value of type `<2 x float>`.,FALSE,1
177,libargon2-sys,0.2.0,tests::api_call,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
178,libcmark-sys,0.1.0,test::basic_api,memory leaked,"alloc26379 (C heap, size","memory leaked: alloc (C heap, size: 64, align: 16), allocated here:",FALSE,1
180,librsync,0.2.3,test::integration,Undefined Behavior,"trying to retag from <104152> for SharedReadOnly permission at alloc27889[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: trying to retag from <> for SharedReadOnly permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE,5
181,librsync,0.2.3,test::delta,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
183,libtz,0.1.1,timezone::tests::basics,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,3
184,libtz-sys,0.2.2,tests::localtime_rz_test,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
185,libudis86-sys,0.2.1,tests::it_works,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f9138897870[noalloc] is a dangling pointer (it has no provenance),FALSE,1
186,libusb-src,1.26.2,test::test_get_device_list,Undefined Behavior,scalar size mismatch,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 1 bytes instead,FALSE,2
187,libusb1-sys,0.6.4,test_get_device_list,Undefined Behavior,scalar size mismatch,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 1 bytes instead,FALSE,2
193,lmdb-master-sys,0.1.0,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
195,lmdb-rkv-sys,0.11.2,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
196,lmdb-sys2,0.11.2,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
197,lsmlite-rs,0.1.0,tests::can_work_with_compressed_db_with_background_checkpointer,Undefined Behavior,"attempting a write access using <245208> at alloc78339[0x0], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",FALSE,27
