error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
3,aigc_secp256k1zkp,0.7.12,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
4,aigc_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
5,aigc_secp256k1zkp,0.7.12,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
6,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,53
7,apriltag-image,0.1.0,image_buf::tests::convert_image_buffer_vs_image,Stack Overflow,NA,4:fatal runtime error: stack overflow,TRUE,1
8,archive-lp,0.2.3,xz_tar_extract_a_file,Test Failed,NA,"test failed, to rerun pass `--test xztar`",FALSE,2
9,argonautica,0.2.0,backend::rust::encode::tests::test_encode_against_c,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
23,bchlib,0.2.1,tests::test_decode,memory leaked,"alloc25030 (C heap, size","memory leaked: alloc (C heap, size: 16, align: 16), allocated here:",FALSE,1
24,bchlib,0.2.1,tests::test_sync_codeword,memory leaked,"alloc24920 (C heap, size","memory leaked: alloc (C heap, size: 24, align: 16), allocated here:",FALSE,1
25,bchlib,0.2.1,tests::test_decode_err,memory leaked,"alloc55674 (C heap, size","memory leaked: alloc (C heap, size: 5, align: 4), allocated here:",FALSE,1
26,bchlib-sys,0.2.1,tests::it_works,memory leaked,"alloc25140 (C heap, size","memory leaked: alloc (C heap, size: 24, align: 16), allocated here:",FALSE,1
29,blake2_c,0.3.3,test::test_all_parameters_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,11
30,blitsort-sys,0.1.0,sort::test_sorted,Undefined Behavior,write access through <90364> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
31,blosc-src,0.2.1,roundtrip,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
32,blosc2-src,0.1.1,floats_roundtrip,LLI interoperation error,Unsupported LLVM Type,LLI interoperation error: Unsupported LLVM Type: <16 x i8>,FALSE,1
33,boreal,0.3.0,elf::test_coverage_elf32_mips,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE,16
39,btreec,0.3.0,tests::ascend_descend,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,4
52,cat_solver,0.1.0,tests::bad_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,5
53,cesride,0.6.1,core::creder::test::sanity,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE,12
55,chmlib-sys,1.0.0,open_example_file,Test Failed,NA,"test failed, to rerun pass `--test smoke_test`",FALSE,1
56,cifar_10_loader,0.2.0,test::test_cifar_10_loader_rs,Stack Overflow,NA,266:fatal runtime error: stack overflow,FALSE,1
57,clickhouse-driver-lz4,0.1.0,test::test_decompression,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
61,crew-rs,0.1.0,admin_can_entrust_secret_info_to_content_secret,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 4 is required",FALSE,2
62,crymap,1.0.1,support::buffer::test::large_with_small_ops,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,1
63,crypto_pimitives,0.1.1,aesni_test::aesni_192_key_expansion_test,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 24, so pointer to 8 bytes starting at offset 24 is out-of-bounds",FALSE,1
64,ctaes-sys,0.1.0,tests::aes_gcm_decrypt_test_vectors,Undefined Behavior,constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0],"Undefined Behavior: constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0]: encountered uninitialized memory, but expected an integer",FALSE,2
65,cyme,1.5.0,test_list,Stack Overflow,NA,240:fatal runtime error: stack overflow,FALSE,1
67,datafusion,31.0.0,datasource::physical_plan::json::tests::nd_json_exec_file_mixed_order_projection::case_4,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,9
70,dec,0.4.8,decnum_raw_parts,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE,5
81,dec-number-sys,0.0.25,test_dec_double_zero,LLI interoperation error,LLVM field count mismatch,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",FALSE,4
82,dec-number-sys,0.0.25,test_dec_double_add,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
83,dec-number-sys,0.0.25,test_dec_quad_divide_fma,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
84,dec-number-sys,0.0.25,test_dec_quad_remainder,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
85,dec-number-sys,0.0.25,test_dec_quad_get_coefficient,Undefined Behavior,write access through <110882> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
86,dec-number-sys,0.0.25,test_dec_quad_get_exponent,Test Failed,NA,"test failed, to rerun pass `--test dec_quad`",FALSE,1
87,decnumber-sys,0.1.5,simple_addition,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE,1
92,download_sdl2,0.0.3,download_test,Test Failed,NA,"test failed, to rerun pass `--test integration_test`",FALSE,1
93,dply,0.2.0,group_by::summarize_list,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,1
99,ecma_regex,0.0.2,supports_look_ahead,Undefined Behavior,"deallocating alloc26098, which is C heap memory, using Rust heap deallocation operation","Undefined Behavior: deallocating alloc, which is C heap memory, using Rust heap deallocation operation",FALSE,1
100,electron_tasje,0.6.0,icons::tests::test_win,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,1
101,ellipsis,0.1.0,test_config_command,Test Failed,NA,"test failed, to rerun pass `--test integration_tests`",FALSE,1
102,emd,0.1.1,tests::test_distance,memory leaked,"alloc32751 (Rust heap, size","memory leaked: alloc (Rust heap, size: 32, align: 8), allocated here:",FALSE,1
104,ep-capstone,0.2.0,arch::arm::test::arm_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 14, so pointer to 1 byte starting at offset 14 is out-of-bounds",FALSE,5
105,ep-capstone,0.2.0,arch::m68k::test::m68k_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 15, so pointer to 1 byte starting at offset 15 is out-of-bounds",FALSE,4
106,ep-capstone,0.2.0,arch::arm64::test::arm64_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 16, so pointer to 1 byte starting at offset 16 is out-of-bounds",FALSE,4
107,ep-capstone,0.2.0,insn::test::detail_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 17, so pointer to 1 byte starting at offset 17 is out-of-bounds",FALSE,1
108,ep-capstone,0.2.0,arch::mos65xx::test::mos65xx_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 18, so pointer to 1 byte starting at offset 18 is out-of-bounds",FALSE,1
109,ep-capstone,0.2.0,arch::tms320c64x::test::tms320c64x_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 21, so pointer to 1 byte starting at offset 21 is out-of-bounds",FALSE,1
111,eth-secp256k1,0.5.7,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
112,eth-secp256k1,0.5.7,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
113,eth-secp256k1,0.5.7,ecdh::tests::ecdh,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,33
114,everrs,0.2.1,x25519::tests::diffie_hellman_test,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
120,flate2-crc,0.1.2,tests::random_small,the main thread terminated without waiting for all remaining threads,NA,the main thread terminated without waiting for all remaining threads,FALSE,1
121,flips,0.2.1,linear::test_create_apply,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,1
122,flips,0.2.1,delta::test_create_apply,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,3
123,flips,0.2.1,test_create_identical,memory leaked,"alloc25469 (C heap, size","memory leaked: alloc (C heap, size: 4096, align: 16), allocated here:",FALSE,1
124,flips,0.2.1,test_study_apply_to_output,memory leaked,"alloc25461 (C heap, size","memory leaked: alloc (C heap, size: 65536, align: 16), allocated here:",FALSE,1
125,flips-sys,0.2.1,bps::tests::check_create_linear_and_apply,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 4096, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,1
126,flips-sys,0.2.1,bps::tests::check_create_delta_and_apply,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
127,fluidlite,0.2.1,settings::test::settings_ref,memory leaked,"alloc27222 (C heap, size","memory leaked: alloc (C heap, size: 3, align: 2), allocated here:",FALSE,1
131,gmod-lzma,1.0.1,test_compress,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
132,grebedb,1.0.0,a::rand_operation_10000_fast,Undefined Behavior,"accessing memory with alignment 1, but alignment 8 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 8 is required",FALSE,48
134,grin_secp256k1zkp,0.7.12,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
135,grin_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
136,grin_secp256k1zkp,0.7.12,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
137,grin_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,53
153,h3o,0.4.0,h3::are_neighbor_cells::exhaustive_res0,Test Failed,NA,"test failed, to rerun pass `--test integration_tests`",FALSE,59
162,http-muncher,0.3.2,tests::test_version,LLI interoperation error,LLVM field width mismatch,"LLI interoperation error: LLVM field width mismatch: cannot convert an LLVM field of width 8 to a Rust field of type u32, which has width 4",FALSE,1
163,jh-rs,0.1.0,tests::large,Undefined Behavior,constructing invalid value,Undefined Behavior: constructing invalid value: encountered an unaligned reference (required 8 byte alignment but found 1),FALSE,5
164,kg-js,0.8.4,tests::interop::call_rust_function,Undefined Behavior,dereferencing pointer failed,Undefined Behavior: dereferencing pointer failed: 0xe7558[noalloc] is a dangling pointer (it has no provenance),FALSE,1
165,kg-js,0.8.4,de::tests::deserialize_nan,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE,17
166,kissat,0.1.0,tests::miter_buggy_mux2,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,4
170,lexlib,2.0.1,color::colorf::gray,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type `color::ColorF` to an LLVM value of type `<2 x float>`.,FALSE,1
171,libargon2-sys,0.2.0,tests::api_call,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
172,libcmark-sys,0.1.0,test::basic_api,memory leaked,"alloc26099 (C heap, size","memory leaked: alloc (C heap, size: 64, align: 16), allocated here:",FALSE,1
174,libpicnic-sys,0.1.0+3.0.18,kats_picnic3_l1,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,9
175,librsync,0.2.3,test::send_patch,Undefined Behavior,deallocation through <95901> is forbidden,Undefined Behavior: deallocation through <> is forbidden,FALSE,1
176,librsync,0.2.3,test::delta,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
178,libtz,0.1.1,timezone::tests::basics,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,3
179,libtz-sys,0.2.2,tests::localtime_rz_test,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
180,libudis86-sys,0.2.1,tests::it_works,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fef504de870[noalloc] is a dangling pointer (it has no provenance),FALSE,1
181,libusb-src,1.26.2,test::test_get_device_list,Undefined Behavior,scalar size mismatch,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 1 bytes instead,FALSE,2
182,libusb1-sys,0.6.4,test_get_device_list,Undefined Behavior,scalar size mismatch,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 1 bytes instead,FALSE,2
185,lmdb-master-sys,0.1.0,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
187,lmdb-rkv-sys,0.11.2,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
188,lmdb-sys2,0.11.2,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
189,lsmlite-rs,0.1.0,tests::can_work_with_compressed_db_with_background_checkpointer,Undefined Behavior,write access through <232583> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,30
192,lucet-runtime-internals,0.6.1,context::tests::c_child::call_child,Undefined Behavior,constructing invalid value at .value.__val[0],"Undefined Behavior: constructing invalid value at .value.__val[0]: encountered uninitialized memory, but expected an integer",FALSE,13
197,lzokay-native,0.1.0,tests::check_lzo_decompress_compatibility,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,1
198,lzzzz,1.0.4,lz4f::dictionary::tests::create_dictionary,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,1
202,mikktspace-sys,0.1.1,cube_tangents_should_equal_reference_values,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
203,milagro-crypto,0.1.14,ff::tests::test_ff_sqr,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 80, so pointer to 8 bytes starting at offset 80 is out-of-bounds",FALSE,1
204,milagro-crypto,0.1.14,ff::tests::test_ff_modulus,Undefined Behavior,write access through <133187> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
205,milagro-crypto,0.1.14,ff::tests::test_ff_randomN,Undefined Behavior,write access through <673247> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,2
206,milagro-crypto,0.1.14,ff::tests::test_ff_pow,Undefined Behavior,write access through <145130> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
207,milagro-crypto,0.1.14,big::tests::test_bytes,Undefined Behavior,write access through <109776> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
208,milagro-crypto,0.1.14,big::tests::test_big_hex_io,Undefined Behavior,write access through <129248> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,27
209,milagro-crypto,0.1.14,ff::tests::test_ff_is_prime,Undefined Behavior,write access through <694985> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
211,minilzo-rs,0.6.0,tests::test_lzo_cmpress,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,1
