error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_tree_borrows
6,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_exchange,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_fuzz,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_multisig,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_single,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,ecdh::tests::ecdh,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::invalid_secret_key,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::keypair_slice_round_trip,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::pubkey_from_slice,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::pubkey_hash,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::skey_clear_on_drop,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::skey_from_slice,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_add_exp_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_addition,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
4,aigc_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
4,aigc_secp256k1zkp,0.7.12,key::test::test_bad_serde_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_debug_output,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_inverse,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_multiplication,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_negate,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_out_of_range,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_pk_combination,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_pubkey_from_bad_slice,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
5,aigc_secp256k1zkp,0.7.12,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_pubkey_serialize,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_serialize,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,key::test::test_serialize_serde,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::commit_parse_ser,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::rewind_empty_message,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::rewind_message,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_blind_commit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_bullet_proof_multisig,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_bullet_proof_single,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_bullet_proof_verify_multi,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_commit_sum,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_from_pubkey,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_range_proof,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_sign_with_pubkey_from_commitment,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_to_pubkey,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_verify_commit_sum_one_keys,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_verify_commit_sum_random_keys,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_verify_commit_sum_random_keys_switch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,pedersen::tests::test_verify_commit_sum_zero_keys,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::bad_recovery,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::capabilities,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::invalid_pubkey,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::sign,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::sign_and_verify,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::sign_and_verify_extreme,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::sign_and_verify_fail,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::sign_with_recovery,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
3,aigc_secp256k1zkp,0.7.12,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::signature_serialize_roundtrip,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::test_bad_slice,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::test_debug_output,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::test_low_s,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
6,aigc_secp256k1zkp,0.7.12,tests::test_recov_sig_serialize_compact,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
7,arcdps-imgui,0.8.0,context::test_set_ini_filename,Undefined Behavior,"attempting a read access using <120109> at alloc40422[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE
7,arcdps-imgui,0.8.0,context::test_set_log_filename,Undefined Behavior,"attempting a read access using <120108> at alloc40421[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE
8,archive-lp,0.2.3,xz_tar_extract_a_file,Test Failed,NA,"test failed, to rerun pass `--test xztar`",FALSE
8,archive-lp,0.2.3,xz_tar_extract_a_file_1,Test Failed,NA,"test failed, to rerun pass `--test xztar`",FALSE
9,argonautica,0.2.0,backend::rust::encode::tests::test_encode_against_c,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
9,argonautica,0.2.0,hasher::tests::test_hasher_fast_but_insecure,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
25,bchlib,0.2.1,tests::test_decode,memory leaked,"alloc25095 (C heap, size","memory leaked: alloc (C heap, size: 16, align: 16), allocated here:",FALSE
26,bchlib,0.2.1,tests::test_decode_err,memory leaked,"alloc25219 (C heap, size","memory leaked: alloc (C heap, size: 24, align: 16), allocated here:",FALSE
25,bchlib,0.2.1,tests::test_sync_codeword,memory leaked,"alloc25188 (C heap, size","memory leaked: alloc (C heap, size: 16, align: 16), allocated here:",FALSE
27,bchlib-sys,0.2.1,tests::it_works,memory leaked,"alloc25205 (C heap, size","memory leaked: alloc (C heap, size: 4, align: 4), allocated here:",FALSE
28,bdflib,0.4.4,tests::it_writes_compressed,deadlock,the evaluated program deadlocked,deadlock: the evaluated program deadlocked,TRUE
31,blake2_c,0.3.3,test::test_all_parameters_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_all_parameters_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_empty_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_empty_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_finalize_twice_panics_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_finalize_twice_panics_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_foo_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_foo_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_large_input_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_large_input_blake2s,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
31,blake2_c,0.3.3,test::test_one_off_functions,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE
32,blitsort-sys,0.1.0,sort::test_sorted,Undefined Behavior,"attempting a write access using <95893> at alloc24707[0x4], but that tag only grants SharedReadOnly permission for this location","Undefined Behavior: attempting a write access using <> at alloc[0x4], but that tag only grants SharedReadOnly permission for this location",FALSE
33,blosc-src,0.2.1,roundtrip,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
34,blosc2-src,0.1.1,floats_roundtrip,LLI interoperation error,Unsupported LLVM Type,LLI interoperation error: Unsupported LLVM Type: <16 x i8>,FALSE
35,boreal,0.3.0,elf::test_coverage_elf32_mips,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,elf::test_coverage_elf_x64_file,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_1561_32_align_40,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_1561_32_section1,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_1561_align_40,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_1561_std,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_079a472d,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_ca21e1c32,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_mtxex,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_mtxex_modified,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_pe_imports,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_pe_mingw,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_tiny,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_libyara_tiny_overlay,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
35,boreal,0.3.0,pe::test_coverage_pe_ord_and_delay,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
41,btreec,0.3.0,tests::ascend_descend,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
41,btreec,0.3.0,tests::basic,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
41,btreec,0.3.0,tests::db_item,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
41,btreec,0.3.0,tests::min_max_pop,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE
54,cat_solver,0.1.0,tests::bad_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
54,cat_solver,0.1.0,tests::conflict_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
54,cat_solver,0.1.0,tests::decision_limit,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
54,cat_solver,0.1.0,tests::moving,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
54,cat_solver,0.1.0,tests::solver,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
55,cesride,0.6.1,core::creder::test::sanity,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::pather::test::tail,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::prefixer::test::python_interop,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::sadder::test::new,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::sadder::test::new_unhappy_paths,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::sadder::test::populate_from_kind_and_self,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::sadder::test::populate_from_kind_and_self_unhappy_paths,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::sadder::test::pretty,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::saider::test::keri,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::serder::test::convenience,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::serder::test::creation,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::serder::test::inception,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
55,cesride,0.6.1,core::serder::test::python_interop,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE
57,chmlib-sys,1.0.0,open_example_file,Test Failed,NA,"test failed, to rerun pass `--test smoke_test`",FALSE
58,cifar_10_loader,0.2.0,test::test_cifar_10_loader_rs,Undefined Behavior,"trying to retag from <9717569> for Unique permission at alloc1773071[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: trying to retag from <> for Unique permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE
61,cita-snappy,0.1.5,tests::compress_and_decompress,Undefined Behavior,"attempting a write access using <98264> at alloc25424[0x3], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x3], but that tag does not exist in the borrow stack for this location",FALSE
60,cita-snappy,0.1.5,tests::decompress_error,Undefined Behavior,"attempting a write access using <98310> at alloc25419[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE
59,cita-snappy,0.1.5,tests::valid,Undefined Behavior,"attempting a write access using <98035> at alloc25352[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a write access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",FALSE
63,clickhouse-driver-lz4,0.1.0,test::test_compression,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE
62,clickhouse-driver-lz4,0.1.0,test::test_decompression,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
68,cpp_std,0.1.1,vector_as_mut_slice,Undefined Behavior,"attempting a read access using <97133> at alloc25121[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE
69,cpp_std,0.1.1,vector_from_slice,Undefined Behavior,"attempting a read access using <97196> at alloc25093[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE
67,cpp_std,0.1.1,vector_push_pop_slice,Undefined Behavior,"attempting a read access using <97109> at alloc25101[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE
70,crew-rs,0.1.0,admin_can_entrust_secret_info_to_content_secret,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 4 is required",FALSE
70,crew-rs,0.1.0,writer_can_not_entrust_secret_info_to_participation_secret,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 4 is required",FALSE
71,crypto_pimitives,0.1.1,aesni_test::aesni_192_key_expansion_test,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 24, so pointer to 8 bytes starting at offset 24 is out-of-bounds",FALSE
