crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,error_text_stack,error_text_tree,error_root_stack,error_root_tree,action_stack,action_tree,kind_stack,kind_tree,subkind_stack,subkind_tree,actual_failure_stack,actual_failure_tree,exit_signal_no_stack,exit_signal_no_tree,num_duplicates
spdkit,0.1.0,fingerprint::test_reorder_by_connect,0,1,101,Undefined Behavior,Stack Overflow,memory access failed: 0x7ff284699868[noalloc] is a dangling pointer (it has no provenance),fatal runtime error: stack overflow,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/nauty.c:393:49,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/naugraph.c:660:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/wrapper.c:59:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/src/nauty.rs:88:21: 95:14",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,6,1
paq,1.0.1,it_hashes_directory_with_ignored_file,0,1,101,Undefined Behavior,Test Failed,deallocating while item [SharedReadOnly for <>] is strongly protected by call <>,"test failed, to rerun pass `--test functional`",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rayon-core-1.9.3/src/registry.rs:479:9,NA,deallocating,NA,OutOfBounds,NA,NA,NA,FALSE,TRUE,NA,NA,1
tinylj,0.1.3,test_lua_fn,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,test_push_lua_function,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,do_bad_file,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,do_file,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,load_file,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,do_invalid_string,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,do_valid_string,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,test_double_sentinel,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
tinylj,0.1.3,test_new_struct,0,101,101,ICE,ICE,the compiler unexpectedly panicked. this is a bug.,the compiler unexpectedly panicked. this is a bug.,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
cesride,0.6.1,core::diger::test::conversions::_code_1_matter__Codex__Blake3_256::_ser_1_b__abcdefghijklmnopqrstuvwxyz0123456789__::control_1_Diger__new_Some__ser__Some__code__None_None_None_None__unwrap__::diger_1_Diger__new_None_Some__code__Some__control_raw____None_None_None_,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
cesride,0.6.1,core::diger::test::conversions::_code_1_matter__Codex__Blake3_256::_ser_1_b__abcdefghijklmnopqrstuvwxyz0123456789__::control_1_Diger__new_Some__ser__Some__code__None_None_None_None__unwrap__::diger_2_Diger__new_None_None_None_Some__control_qb64b___unwrap____None_N,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
cesride,0.6.1,core::diger::test::conversions::_code_1_matter__Codex__Blake3_256::_ser_1_b__abcdefghijklmnopqrstuvwxyz0123456789__::control_1_Diger__new_Some__ser__Some__code__None_None_None_None__unwrap__::diger_3_Diger__new_None_None_None_None_Some__control_qb64___unwrap____No,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
cesride,0.6.1,core::diger::test::conversions::_code_1_matter__Codex__Blake3_256::_ser_1_b__abcdefghijklmnopqrstuvwxyz0123456789__::control_1_Diger__new_Some__ser__Some__code__None_None_None_None__unwrap__::diger_4_Diger__new_None_None_None_None_None_Some__control_qb2___unwrap__,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
strawboat,0.2.6,io::test_basic,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
strawboat,0.2.6,io::test_list,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
strawboat,0.2.6,io::test_list_list,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
strawboat,0.2.6,io::test_list_map,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
strawboat,0.2.6,io::test_list_struct,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
strawboat,0.2.6,io::test_map,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
strawboat,0.2.6,io::test_struct,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
strawboat,0.2.6,read_meta::test_read_meta,0,1,1,unknown unstable option,unknown unstable option,`miri-llvm-log`,`miri-llvm-log`,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
boreal,0.3.0,elf::test_coverage_elf32_mips,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","accessing memory with alignment 1, but alignment 16 is required",/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,13
boreal,0.3.0,elf::test_coverage_elf32_sharedobj,0,1,1,Unsupported Operation,Undefined Behavior,unsupported operation: can't call foreign function `srand` on OS `linux`,"accessing memory with alignment 1, but alignment 16 is required","/usr/src/ffickle/extracted/target/debug/build/yara-sys-4bb89d27df4011bc/out/yara/libyara/libyara.c:247:3,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/yara-0.19.0/src/internals/mod.rs:42:27: 42:52",/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
boreal,0.3.0,pe::test_coverage_pe_1561_32_section1,101,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","accessing memory with alignment 1, but alignment 16 is required",/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2
cesride,0.6.1,core::creder::test::sanity,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","accessing memory with alignment 1, but alignment 16 is required",/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,12
cesride,0.6.1,core::sadder::test::populate_from_kind_and_self_unhappy_paths,0,1,1,Undefined Behavior,Unsupported Operation,"accessing memory with alignment 1, but alignment 16 is required",unsupported operation: can't call foreign function `blake3_compress_in_place_sse2` on OS `linux`,/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blake3-1.5.0/src/ffi_sse2.rs:11:5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
flips,0.2.1,linear::test_create_apply,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds","memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds","/usr/src/ffickle/extracted/target/debug/build/flips-sys-19d651168ceafd7b/out/flips/libbps.cpp:326:6,/usr/src/ffickle/extracted/src/bps.rs:170:13: 175:14","/usr/src/ffickle/extracted/target/debug/build/flips-sys-19d651168ceafd7b/out/flips/libbps.cpp:326:6,/usr/src/ffickle/extracted/src/bps.rs:170:13: 175:14",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
