crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,error_text_stack,error_text_tree,error_root_stack,error_root_tree,action_stack,action_tree,kind_stack,kind_tree,subkind_stack,subkind_tree,actual_failure_stack,actual_failure_tree,exit_signal_no_stack,exit_signal_no_tree,num_duplicates
spdkit,0.1.0,fingerprint::test_reorder_by_connect,0,1,101,Undefined Behavior,Stack Overflow,memory access failed: 0x7f7a3c886868[noalloc] is a dangling pointer (it has no provenance),fatal runtime error: stack overflow,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/nauty.c:393:49,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/naugraph.c:660:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/wrapper.c:59:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/src/nauty.rs:88:21: 95:14",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,6,1
blosc2-src,0.1.1,floats_roundtrip,0,1,1,LLI interoperation error,LLI interoperation error,LLVM Type `<16 x i8>` is not supported for use in shims.,LLVM Type `<16 x i8>` is not supported for use in shims.,"/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:176:9,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:238:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:378:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:462:19,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1203:16,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1952:18,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2133:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2436:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2553:12,tests/test.rs:73:13: 79:14","/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:176:9,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:238:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:378:10,/usr/src/ffickle/extracted/c-blosc2/blosc/blosclz.c:462:19,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1203:16,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:1952:18,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2133:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2436:15,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:2553:12,tests/test.rs:73:13: 79:14",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
boreal,0.3.0,elf::test_coverage_elf32_sharedobj,0,1,1,Unsupported Operation,Undefined Behavior,unsupported operation: can't call foreign function `srand` on OS `linux`,"accessing memory with alignment 1, but alignment 16 is required","/usr/src/ffickle/extracted/target/debug/build/yara-sys-36fe37d26a400144/out/yara/libyara/libyara.c:247:3,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/yara-0.19.0/src/internals/mod.rs:42:27: 42:52",/usr/src/ffickle/rust/library/core/src/../../stdarch/crates/core_arch/src/x86/sse2.rs:1212:5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
cifar_10_loader,0.2.0,test::test_cifar_10_loader_rs,0,1,0,Undefined Behavior,Passed/Timeout,"trying to retag from <> for Unique permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",fatal runtime error: stack overflow,/usr/src/ffickle/rust/library/core/src/slice/raw.rs:147:9,NA,retag,NA,OutOfBounds,NA,NA,NA,FALSE,FALSE,NA,NA,1
clickhouse-driver-lz4,0.1.0,test::test_decompression,0,1,1,Undefined Behavior,Undefined Behavior,"reading memory at alloc[0x0..0x258], but memory is uninitialized at [0x1..0x96], and this operation requires initialized memory","reading memory at alloc[0x0..0x258], but memory is uninitialized at [0x1..0x96], and this operation requires initialized memory",/usr/src/ffickle/rust/library/core/src/slice/cmp.rs:82:13,/usr/src/ffickle/rust/library/core/src/slice/cmp.rs:82:13,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
everrs,0.2.1,chacha20poly1305::tests::seal_test_inplace,0,1,0,Undefined Behavior,Passed/Timeout,"attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",NA,"/usr/src/ffickle/extracted/src/hacl/kremlin/include/kremlin/lowstar_endianness.h:167:3,/usr/src/ffickle/extracted/src/hacl/c89-compatible/Hacl_Chacha20.c:233:42,/usr/src/ffickle/extracted/src/hacl/c89-compatible/Hacl_Chacha20.c:283:7,/usr/src/ffickle/extracted/src/hacl/c89-compatible/Hacl_Chacha20.c:311:3,/usr/src/ffickle/extracted/src/hacl/c89-compatible/Hacl_Chacha20Poly1305_32.c:751:3,/usr/src/ffickle/extracted/src/hacl/c89-compatible/EverCrypt_Chacha20Poly1305.c:55:3,src/chacha20poly1305.rs:187:9: 196:10",NA,read,NA,InvalidatedByUniqueRetag,NA,NA,NA,FALSE,FALSE,NA,NA,1
libhydrogen,0.4.1,utils::tests::test_utils,0,1,1,Memory Leaked,Memory Leaked,"memory leaked: alloc (Rust heap, size: 2, align: 1), allocated here:","memory leaked: alloc (Rust heap, size: 2, align: 1), allocated here:",/usr/src/ffickle/rust/library/alloc/src/alloc.rs:98:9,/usr/src/ffickle/rust/library/alloc/src/alloc.rs:98:9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
libudis86-sys,0.2.1,tests::it_works,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fbc01642870[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f5c8b1e0870[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/libudis86/udis86.c:52:24,src/lib.rs:30:13: 30:33","/usr/src/ffickle/extracted/libudis86/udis86.c:52:24,src/lib.rs:30:13: 30:33",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
milagro-crypto,0.1.14,big::tests::test_random_mod_order,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",write access through <> is forbidden,"/usr/src/ffickle/extracted/milagro-crypto-c/src/rand.c:112:33,/usr/src/ffickle/extracted/milagro-crypto-c/src/randapi.c:8:5,src/randapi/mod.rs:20:13: 20:44","/usr/src/ffickle/extracted/milagro-crypto-c/src/big.c:900:13,/usr/src/ffickle/extracted/milagro-crypto-c/src/big.c:959:5,src/big/mod.rs:126:19: 126:31",read,write,OutOfBounds,FrozenWrite,NA,Indirect,FALSE,FALSE,NA,NA,1
p256k1,5.4.1,point::tests::test_bip_340,0,1,0,Undefined Behavior,Passed/Timeout,"attempting a write access using <> at alloc[0x2], but that tag does not exist in the borrow stack for this location",NA,"/usr/src/ffickle/extracted/_secp256k1/src/field_5x52_impl.h:362:10,src/point.rs:183:13: 183:56",NA,write,NA,OutOfBounds,NA,NA,NA,FALSE,FALSE,NA,NA,1
