crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,num_duplicates
pkgcraft-tools,0.0.11,dep::compare::args,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `pipe2` on OS `linux`,4:fatal runtime error: stack overflow,1
pqcrypto-qtesla,0.1.1,qteslapi::test::test_sign,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincsshake256256frobust::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincsshake256128frobust::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
satisfactory-save-file,0.2.0,tests::parse,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-mqdss,0.3.0,mqdss48::test::test_sign,0,101,1,Test Failed,Undefined Behavior,"test failed, to rerun pass `--lib`","incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",1
pqcrypto-sphincsplus,0.6.4,sphincsharaka128ssimple::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincssha256256ssimple::test::test_sign_detached,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-sphincsplus,0.6.4,sphincsharaka192srobust::test::test_sign,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
parquet,46.0.0,compression::tests::test_codec_lz4_raw,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-mqdss,0.3.0,mqdss64::test::test_sign_detached,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
