crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,error_root_stack,error_root_tree,num_duplicates
fluidlite,0.2.1,settings::test::settings_ref,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 56, align: 16), allocated here:","alloc (C heap, size: 3, align: 2), allocated here:",NA,NA,1
libpicnic-sys,0.1.0+3.0.18,kats_picnic_l3_fs,0,124,101,Timeout,Stack Overflow,2:LLVM ERROR: Inline assembly instruction not supported:,4:fatal runtime error: stack overflow,NA,NA,1
h3o,0.4.0,h3::child_pos_to_cell::exhaustive_res0,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--test integration_tests`",NA,NA,NA,1
libcmark-sys,0.1.0,test::basic_api,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 64, align: 16), allocated here:","alloc (C heap, size: 64, align: 16), allocated here:",NA,NA,1
trussed,0.1.0,tests::dummy,0,1,101,Undefined Behavior,Test Failed,"attempting a write access using <> at alloc[0x108], but that tag does not exist in the borrow stack for this location","test failed, to rerun pass `--lib`","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/littlefs2-sys-0.1.7/littlefs/lfs.c:23:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/littlefs2-sys-0.1.7/littlefs/lfs.c:3515:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/littlefs2-sys-0.1.7/littlefs/lfs.c:3606:15",NA,1
digibyte,0.27.3,util::bip32::tests::test_vector_3,101,1,101,Undefined Behavior,Test Failed,"attempting a read access using <> at alloc[0x2c], but that tag does not exist in the borrow stack for this location","test failed, to rerun pass `--lib`","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/scalar_4x64_impl.h:122:168,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/scalar_impl.h:64:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/secp256k1.c:526:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/secp256k1.c:544:11",NA,1
etch,0.4.2,example,0,101,101,Test Failed,Stack Overflow,"test failed, to rerun pass `--lib`",25:fatal runtime error: stack overflow,NA,NA,1
libpicnic-sys,0.1.0+3.0.18,kats_picnic_l1_fs,0,124,101,Timeout,Stack Overflow,2:LLVM ERROR: Inline assembly instruction not supported:,4:fatal runtime error: stack overflow,NA,NA,1
libpicnic-sys,0.1.0+3.0.18,kats_picnic_l3_full,0,124,101,Timeout,Stack Overflow,2:LLVM ERROR: Inline assembly instruction not supported:,4:fatal runtime error: stack overflow,NA,NA,1
x42ltc-sys,0.0.5,ltc_decode_timecode_dot_raw,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 408, align: 16), allocated here:","alloc (C heap, size: 11776, align: 16), allocated here:",NA,NA,1
