crate_name,version,error_id,test_name,error_type,full_error_text,error_root,error_text,passed_in_tree_borrows
aigc_secp256k1zkp,0.7.12,6,aggsig::tests::test_aggsig_batch,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,aggsig::tests::test_aggsig_exchange,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,aggsig::tests::test_aggsig_fuzz,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,aggsig::tests::test_aggsig_multisig,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,aggsig::tests::test_aggsig_single,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,ecdh::tests::ecdh,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,key::test::invalid_secret_key,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,key::test::keypair_slice_round_trip,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,key::test::pubkey_from_slice,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
aigc_secp256k1zkp,0.7.12,6,key::test::pubkey_hash,Undefined Behavior,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory","/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:501:20,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/field_10x26_impl.h:1073:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/group_impl.h:438:5,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/ecmult_gen_impl.h:62:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:139:9,/usr/src/ffickle/extracted/depend/secp256k1-zkp/src/secp256k1.c:151:10","using uninitialized data, but this operation requires initialized memory",FALSE
