error_type,n
Internal Compiler Error (ICE),63                // fixed
LLI Internal Error,1534                         // unsupported op
LLI interoperation error,249                    // incorrect bindings
Memory Leak,9                                   
Miri Internal Error,8                           // fixed
Test Failed,26                                  // all pass now
Test Passed,916                                      
Timeout,333             
Undefined Behavior,2036
Unknown Error,10                                //fixed
Unsupported Operation,9151
the main thread terminated without waiting for all remaining threads,1
unknown unstable option,7
