crate_name,test_name,exit_code,native_exit_code,error_type,error_text,error_subtext
libargon2-sys,tests::api_call,101,0,NA,NA,NA
libargon2-sys,tests::direct_call,101,0,NA,NA,NA
libccp,tests::basic,101,0,NA,NA,NA
libccp,tests::primitives,101,0,NA,NA,NA
libccp,tests::primitives_multiple,101,0,NA,NA,NA
libceed,tests::test_ceed_t501,1,0,NA,NA,NA
lexlib,image::image_compat,101,101,NA,NA,NA
libaio-futures,simple1,1,0,NA,NA,NA
libaio-futures,simple2,1,0,NA,NA,NA
libcmark-sys,test::basic_api,1,0,NA,NA,NA
