crate_name,test_name,full_error_text,error_type,error_text,error_subtext,error_root
actix-lua,actor::tests::lua_actor_syntax_error,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/rlua-0.16.3/lua/lstate.c:83:36
apriltag-image,image_buf::tests::convert_image_buffer_vs_image,4:fatal runtime error: stack overflow,Stack Overflow,NA,NA,NA
archive-lp,xz_tar_extract_a_file,"test failed, to rerun pass `--test xztar`",Test Failed,NA,NA,NA
ast-grep-tree-sitter-c-sharp,tests::can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
authoscope,ctx::tests::verify_basic_auth_correct,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance),/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lua52-sys-0.1.2/lua/src/lstate.c:91:36
bad64,testcases,"Undefined Behavior: memory access failed: alloc has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds",Undefined Behavior,memory access failed,"alloc4637 has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode_scratchpad.c:10581:23
bchlib,tests::test_sync_codeword,"memory leaked: alloc (Allocated in heap by LLVM, size: 24, align: 16), allocated here:",memory leaked,"alloc25363 (Allocated in heap by LLVM, size","24, align",NA
bchlib,tests::test_decode,"memory leaked: alloc (Allocated in heap by LLVM, size: 36, align: 16), allocated here:",memory leaked,"alloc25329 (Allocated in heap by LLVM, size","36, align",NA
bchlib,tests::test_decode_err,"memory leaked: alloc (Allocated in heap by LLVM, size: 4, align: 4), allocated here:",memory leaked,"alloc25315 (Allocated in heap by LLVM, size","4, align",NA
bchlib-sys,tests::it_works,"memory leaked: alloc (Allocated in heap by LLVM, size: 4, align: 4), allocated here:",memory leaked,"alloc25487 (Allocated in heap by LLVM, size","4, align",NA
bdflib,tests::it_writes_compressed,deadlock: the evaluated program deadlocked,deadlock,the evaluated program deadlocked,NA,NA
blake2_c,test::test_all_parameters_blake2b,"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value[0],"encountered uninitialized memory, but expected an integer",NA
blitsort-sys,sort::test_sorted,Undefined Behavior: write access through <> is forbidden,Undefined Behavior,write access through <90860> is forbidden,NA,/usr/src/ffickle/extracted/blitsort/blitsort.c:81:92
blosc-src,roundtrip,"Undefined Behavior: deallocating alloc, which is C heap memory, using Allocated in heap by LLVM deallocation operation",Undefined Behavior,"deallocating alloc25036, which is C heap memory, using Allocated in heap by LLVM deallocation operation",NA,/usr/src/ffickle/extracted/c-blosc/blosc/blosc.c:237:5
blosc2-src,roundtrip,"Undefined Behavior: deallocating alloc, which is C heap memory, using Allocated in heap by LLVM deallocation operation",Undefined Behavior,"deallocating alloc25757, which is C heap memory, using Allocated in heap by LLVM deallocation operation",NA,/usr/src/ffickle/extracted/c-blosc2/blosc/blosc2.c:205:3
brioche-ducc,tests::array::elements,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",Undefined Behavior,memory access failed,"alloc46587 has been freed, so this pointer is dangling",:807:53
brotli2,drop_writer_incomplete_input_no_loop,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/brotli-sys-0.3.2/brotli/dec/state.c:87:24
