error_text,n
can't call foreign function `llvm.x86.subborrow.64` on OS `linux`,1131
can't call foreign function `pipe2` on OS `linux`,750
can't call foreign function `rocksdb_options_create` on OS `linux`,640
can't call foreign function `OPENSSL_init_ssl` on OS `linux`,605
can't call foreign function `fegetround` on OS `linux`,561
can't call foreign function `blake3_compress_in_place_sse2` on OS `linux`,513
can't call foreign function `iswspace` on OS `linux`,422
can't call foreign function `socket` on OS `linux`,285
can't call foreign function `strdup` on OS `linux`,270
can't call foreign function `mlock` on OS `linux`,268
can't call foreign function `TLS_method` on OS `linux`,191
can't call foreign function `blake3_compress_xof_sse2` on OS `linux`,180
can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,159
can't call foreign function `rust_psm_stack_pointer` on OS `linux`,135
can't call foreign function `atg_zeros` on OS `linux`,133
can't call foreign function `flock` on OS `linux`,124
can't call foreign function `getrlimit` on OS `linux`,121
can't call foreign function `atg_empty` on OS `linux`,120
can't call foreign function `sigemptyset` on OS `linux`,115
can't call foreign function `malloc_usable_size` on OS `linux`,96
can't call foreign function `getaddrinfo` on OS `linux`,95
can't call foreign function `getifaddrs` on OS `linux`,86
can't call foreign function `check_mod_256` on OS `linux`,80
can't call foreign function `atg_ones` on OS `linux`,74
can't call foreign function `at_tensor_of_data` on OS `linux`,61
can't call foreign function `atc_cuda_is_available` on OS `linux`,59
can't call foreign function `_Unwind_Backtrace` on OS `linux`,52
can't call foreign function `explicit_bzero` on OS `linux`,52
can't call foreign function `abs` on OS `linux`,51
can't call foreign function `u_strFromUTF8_72` on OS `linux`,51
can't call foreign function `gnu_get_libc_version` on OS `linux`,49
can't call foreign function `Slvs_MakeQuaternion` on OS `linux`,46
can't call foreign function `chmod` on OS `linux`,46
can't call foreign function `linkat` on OS `linux`,45
can't call foreign function `strcmp` on OS `linux`,45
can't call foreign function `tree_sitter_python_external_scanner_create` on OS `linux`,44
can't call foreign function `localtime_r` on OS `linux`,43
can't call foreign function `wabt_new_features` on OS `linux`,42
can't call foreign function `cos` on OS `linux`,41
can't call foreign function `strncmp` on OS `linux`,39
can't call foreign function `regcomp` on OS `linux`,36
can't call foreign function `mulx_mont_sparse_256` on OS `linux`,35
can't call foreign function `uloc_canonicalize_72` on OS `linux`,33
can't call foreign function `vsnprintf` on OS `linux`,32
can't call foreign function `llvm.x86.sse2.psad.bw` on OS `linux`,31
can't call foreign function `__assert_fail` on OS `linux`,29
can't call foreign function `sprintf` on OS `linux`,29
can't execute syscall with ID 425,29
can't call foreign function `setlocale` on OS `linux`,26
can't call foreign function `crypto_box_curve25519xsalsa20poly1305_keypair` on OS `linux`,25
can't call foreign function `dlopen` on OS `linux`,23
can't call foreign function `crypto_scalarmult_base` on OS `linux`,22
can't call foreign function `XXH64_createState` on OS `linux`,21
can't call foreign function `epoll_create` on OS `linux`,19
can't call foreign function `faccessat` on OS `linux`,19
can't call foreign function `minisat_new` on OS `linux`,18
can't call foreign function `nice` on OS `linux`,18
can't call foreign function `tree_sitter_bash_external_scanner_create` on OS `linux`,17
