error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
1,advocat,3.0.0,fetch::credentials::test::credentials_build_form_test,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
2,aflak_imgui-sys,0.18.1,test_default_style,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 4 is required",FALSE,1
3,aigc_keychain,5.1.2,extkey_bip32::tests::test_vector_1,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,6
4,aigc_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,26
5,aigc_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
6,apriltag-image,0.1.0,image_buf::tests::convert_image_buffer_vs_image,Stack Overflow,NA,4:fatal runtime error: stack overflow,TRUE,1
7,archive-lp,0.2.3,xz_tar_extract_a_file,Test Failed,NA,"test failed, to rerun pass `--test xztar`",FALSE,2
8,arkiv,0.5.0,tar_bz2_archive,Undefined Behavior,read access through <110372> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
14,bad64,0.6.0,testcases,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds",FALSE,1
15,bchlib,0.2.1,tests::test_decode,memory leaked,"alloc25030 (C heap, size","memory leaked: alloc (C heap, size: 16, align: 16), allocated here:",FALSE,1
16,bchlib,0.2.1,tests::test_sync_codeword,memory leaked,"alloc24920 (C heap, size","memory leaked: alloc (C heap, size: 24, align: 16), allocated here:",FALSE,1
17,bchlib,0.2.1,tests::test_decode_err,memory leaked,"alloc55674 (C heap, size","memory leaked: alloc (C heap, size: 5, align: 4), allocated here:",FALSE,1
18,bchlib-sys,0.2.1,tests::it_works,memory leaked,"alloc25140 (C heap, size","memory leaked: alloc (C heap, size: 24, align: 16), allocated here:",FALSE,1
19,bip351,0.4.0,tests::notifications_and_transacting,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,FALSE,1
20,bip47,0.3.0,tests::test_payment_address_alice_side,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,FALSE,1
21,blake2_c,0.3.3,test::test_all_parameters_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,11
22,blitsort-sys,0.1.0,sort::test_sorted,Undefined Behavior,write access through <90364> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
23,blosc2-src,0.1.1,floats_roundtrip,LLI interoperation error,Unsupported LLVM Type,LLI interoperation error: Unsupported LLVM Type: <16 x i8>,FALSE,1
24,boreal,0.3.0,elf::test_coverage_elf32_sharedobj,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE,1
25,brioche-ducc,0.1.2-brioche,tests::array::elements,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE,40
27,btreec,0.3.0,tests::ascend_descend,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,4
28,bzip2,0.4.4,read::tests::empty,Undefined Behavior,read access through <96408> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,3
