crate_name,version
ipasir-sys,0.3.0
nodejs-sys,0.15.0
vivox_rs_sys,5.9.0
qt_charts,0.5.0
objrs_frameworks_foundation,0.0.2
z3-sys,0.7.1
libgpg-error-sys,0.6.0
kmod-sys,0.2.0
ffishim,0.1.2
dittolive-ditto,4.1.0
lapacke-sys,0.1.4
cassandra-cpp,2.0.0
libstrophe-sys-bindgen,5.0.0
odbc-sys,0.21.4
cntr-fuse-sys,0.4.1
pigpio-sys,0.1.1
libui-ng-sys,0.7.0
miniz-sys,0.1.12
mozjpeg-sys,1.0.6
qt_qml,0.5.0
rkrga-sys,0.1.1
substreams-database-change,1.0.0
cbindgen,0.24.3
readpassphrase-sys,0.1.0
clockkit-sys,0.1.1
ebpf-support,0.1.0
clingo-sys,0.7.1
sensors-sys,0.2.5
getargv-sys,0.5.1
razor-libnvpair-sys,0.13.0
psa-crypto,0.10.0
mlnx-ofed-libmlx4-sys,0.0.10
ntapi,0.4.1
lc3tools-sys,1.0.6-alpha5
picnic-sys,3.0.20
implot-sys,0.6.0
mcp3208,0.1.0
transmission-sys,0.3.2
liquid-dsp-bindings,0.1.1
allegro-sys,0.0.44
lzma-sys,0.1.20
uvc-sys,0.2.0
libc,0.2.142
cpu-affinity,0.4.4
sentry-contrib-native-sys,0.3.1
jnix-macros,0.4.1
winfw,0.1.8
xz-sys,0.1.0
dart-sdk-sys,2.19.3
fm_plugin,0.1.17
pcan-basic-sys,3.0.2
sep-sys,1.2.0
viable-impl,0.2.1
fastly-sys,0.9.2
aubio-rs,0.2.0
lapack-sys,0.14.0
openssl-sys,0.9.87
powercap-sys,0.2.0
android_log-sys,0.3.0
rb-sys,0.9.75
bindgen,0.65.1
libnftnl-sys,1.1.2
clipper-sys,0.7.2
onig_sys,69.8.1
brotli-sys,0.3.2
dart-sys,4.0.2
qt_widgets,0.5.0
rquickjs-sys,0.1.7
substreams-ethereum-core,0.9.1
openxr-sys,0.9.3
usrsctp-sys,0.2.0
xgboost-rs,0.3.0
rocks,0.1.10
uhd-sys,0.1.2
openvino-sys,0.5.0
openvpn-plugin,0.4.2
plcnext,0.2.0
libktx-rs-sys,0.3.3+v4.0.0
libpd-sys,0.2.0
mscorlib-sys,0.1.11
libftdi1-sys,1.1.2
substreams-ethereum-abigen,0.9.1
fitsio-sys,0.5.2
c3,0.11.0
dpdk-ethernet,0.1.10
oriak,0.1.0
ttspico-sys,0.1.5
vulkan-bindings,1.3.238
angrylion-rdp-plus-sys,0.2.0
himipi-sys,0.1.7
creachadair-imath-sys,0.2.0
pardiso-sys,0.2.0
vimba-sys,0.2.0
libgcrypt-sys,0.7.0
dpdk-elastic-flow-distributor,0.1.7
libtls-sys,1.2.0
libcoap-sys,0.2.1+libcoap-4.3.1
csharp_binder,0.3.1
linuxcnc-hal-sys,0.3.0
perf-event-open-sys,4.0.0
pxtone-sys,0.2.0
jni-android-sys,0.0.10
jl-sys,0.20.1
nc,0.8.16
gaviota-sys,0.1.24
sfcgal-sys,0.6.0
gdbm-sys,0.3.0
libnfs,0.1.1
file-descriptors,0.9.1
mc-sgx-dcap-sys-types,0.6.0
crashpad-sys,0.1.2
rglua,3.0.0-beta2
rusty_ffmpeg,0.13.1+ffmpeg.6.0
fs4,0.6.4
allegro_primitives-sys,0.0.44
aya-rustc-llvm-proxy,0.5.0
libcec-sys,4.0.0
zfp-sys,0.1.11
yara-sys,0.19.0
sd-id128,1.0.1
libduckdb-sys,0.7.1
coremidi-sys,3.1.0
tinydtls-sys,0.1.2+tinydtls-c84e36f
antic-sys,0.3.5
libical-sys,0.1.3
jvm-rs,0.2.0
openimageio-sys,0.0.0
lvgl-sys,0.6.2
custos,0.7.0
lame-sys,0.1.2
dokan,0.3.1+dokan206
wasm4-sys,0.1.1
ms_speech_sys,0.2.1
llvm-sys,120.2.6
tm-sys,2020.11.6
gpgme-sys,0.11.0
substreams-entity-change,1.1.0
card10-sys,1.10.0
nginx,0.10.0
libnotcurses-sys,3.9.1
dart-bindgen,0.1.9-deprecated
librna-sys,0.1.5
hitde-sys,0.1.9
fdb-sys,0.3.1
runng-sys,1.2.4-rc.1
libkrb5-sys,0.0.3
cue-sdk-sys,0.0.5
netcorehost,0.13.1
asi_vulkan,0.9.0
openvr_sys,2.0.3
opentok,1.0.4
imgui-memory-editor-sys,0.3.0
allo-isolate,0.1.14
ctre-sys,5.4.0
libxlsxwriter-sys,1.1.5
newt-sys,0.1.9
gmp-mpfr-sys,1.5.2
gl33,0.2.1
cryptoki,0.3.1
libevent-sys,0.2.6
hifb-sys,0.1.11
mlnx-ofed-libmlx5-sys,0.0.7
libz-ng-sys,1.1.9
torch-sys,0.11.0
statx-sys,0.4.1
rocks-sys,0.1.10
aubio-sys,0.2.1
quickjs_android_suitable_sys,0.20220306.0
gexiv2-sys,1.4.0
judy-sys,0.0.4
libraw-rs-sys,0.0.4+libraw-0.20.1
opencl-sys,0.2.4
pcsc-sys,1.2.0
couchbase-sys,1.0.0-alpha.4
dpdk-virtual-devices,0.1.5
imgui-sys,0.11.0
gravity,0.1.3
fitsio-sys-bindgen,0.0.6
wolfram-library-link,0.2.9
cu-core,0.1.0
ubpf-sys,0.1.1
kirigami,0.1.0
emerald-rs,0.25.6
devicemapper-sys,0.1.5
ockam-ffi,0.72.0
riot-sys,0.7.9
skia-bindings,0.62.0
jpl-sys,0.0.2
tweetnacl-sys,0.1.5
sapiens-sys,0.2.0
web-extensions-sys,0.4.1
wll-sys,0.1.0
dos-like,0.3.1
allegro_ttf-sys,0.0.44
vowpalwabbit-sys,8.8.1+vw-v8.8.0
tauri-libappindicator-sys,0.1.2
cmark-gfm-sys,0.29.0
winfsp-sys,0.2.1+winfsp-2.0
webp,0.2.2
libobs-sys,0.1.0
ipp-sys,0.4.5
lldb-sys,0.0.29
librcl-sys,0.1.2
allegro_dialog-sys,0.0.44
libwavm-sys,0.1.4
quickjs-wasm-sys,0.1.2
link-cplusplus,1.0.8
objrs_frameworks_metal_kit,0.0.2
realsense-sys,2.47.0
lcms2-sys,4.0.1
libblkid-rs-sys,0.1.5
libcdio-sys,0.5.0
libvlc-sys,0.2.0
clib,0.2.4
out123-sys,0.5.0
xen-sys,0.0.0-pre2
mc-sgx-dcap-quoteverify-sys-types,0.6.0
psa-crypto-sys,0.10.0
qt_3d_logic,0.5.0
qt_3d_render,0.5.0
sqlite3-sys,0.14.0
libcryptsetup-rs-sys,0.2.4
c-ares-sys,5.4.1
tesseract-sys,0.5.15
input-event-codes,5.16.8
bass-sys,2.3.0
sleef-trig-sys,0.1.0
fpzip-sys,0.1.6
curl-sys,0.4.61+curl-8.0.1
rtss-sys,0.1.1
libflac-sys,0.3.0
windows-dll-codegen,0.4.0
dl_api,0.4.0
dpdk-packet-distributor,0.1.1
jpegxl-sys,0.8.2-alpha+libjxl-0.8.1
input,0.8.2
geos,8.2.0
zmq-sys,0.12.0
collectd-plugin,0.14.0
linuxtrack-sys,1.0.1
linux-raw-sys,0.3.7
ei-sys,0.8.1
odbc-ffi,0.2.4
rpmalloc-sys,0.2.3+b097fd0
libspnav-sys,0.1.0
malloc-bind,0.1.0
bzip2-sys,0.1.11+1.0.8
gmod,17.0.0
ucx-sys,0.1.3
autocxx-bindgen,0.62.1
tss-esapi,7.2.0
link-ippi,0.1.2
allegro_font-sys,0.0.44
leap-sys,0.2.0
russimp-sys,2.0.0
slurm-sys,0.1.3
dpdk-bus,0.1.5
pcre2-sys,0.2.5
gtk-layer-shell-sys,0.6.0
xwiimote-sys,0.1.4
russimp,2.0.4
rush-sys,0.0.2-alpha.2
gbm,0.12.0
wayland-sys,0.30.1
wepoll-sys,3.0.1
substreams-ethereum,0.9.1
mobi-sys,0.1.2
realsense-rust,1.1.0
sundials-sys,0.2.5
sudo_plugin-sys,1.2.1
objrs_frameworks_metal,0.0.2
bitwuzla-sys,0.2.0
swift-sys,0.0.0
moonalloy,0.3.4
nethost-sys,0.6.3
fasttext,0.7.6
exmod,0.3.3
libthemis-sys,0.14.0
python27-sys,0.7.0
libxlsxwriter-sys-cs,1.1.4-2
lmdb-master-sys,0.1.0
luis_sys,0.4.5
rdkafka-sys,4.3.0+1.9.2
emerald-core,0.10.1
nitrokey-sys,3.7.0
discord-rpc-sys,0.1.0
bsd_auth-sys,0.0.7
ptx-linker,0.9.1
windivert,0.5.5
ocl-interop,0.1.5
winapi-ui-automation,0.3.10
tinyspline-sys,0.2.0
hidapi-sys,0.1.4
dpdk-unix,0.3.0
qt_gui,0.5.0
mach,0.3.2
lmdb-rkv-sys,0.11.2
lzf-sys,0.1.0
harfbuzz-sys,0.5.0
qt_3d_input,0.5.0
kqueue-sys,1.0.3
decnumber-sys,0.1.5
rp-sys,0.28.1
rime_api-sys,0.3.1
libsqlcipher-sys,0.9.0
magic-sys,0.3.0
nanos-sdk-rs,0.2.0
rofuse,0.0.5
zathura-plugin-sys,0.2.0
wlroots,0.4.0
basis-universal-sys,0.2.0
rust-pigpio,0.2.0
yoga-sys,0.2.3
vks,0.21.0
sigar-sys,1.0.3
libunwind-sys,0.5.1
packetcrypt-sys,0.4.0
opencc-rust,1.1.15
winapi,0.3.9
cfasttext-sys,0.7.6
physx-sys,0.11.1
clips-sys,0.4.0
allegro_image-sys,0.0.44
distill-downstream-lmdb-sys,0.8.0-windows-fix
alpm-sys,2.1.2
kpathsea_sys,0.1.2
env-libvpx-sys,5.1.2
ecl-sys,0.1.0
harfbuzz_rs,2.0.1
dpdk-cyclic-redundancy-check,0.1.1
librpm-sys,0.1.1
opencl-heads,0.2.1
serde_rustler,0.1.0
mupen64plus-sys,0.1.0
nautilus-extension-sys,0.8.0
superlu-sys,0.3.2
mlnx-ofed-libibverbs-sys,0.0.6
serde-bindgen-core-derive,0.1.12
fermium,22605.0.0
nvml-sys,0.0.6
keyvi,0.5.6
jnix,0.5.0
grpcio-sys,0.12.1+1.46.5-patched
android-cpufeatures-sys,2.0.0
switchtec-user-sys,0.4.1
mujoco-sys,0.0.1
fprint-sys,0.1.3
wpilib-sys,0.4.0
wstp,0.2.7
clamav,0.4.0
tokio-linux-aio,0.1.11
flipper0-sys,0.2.14
wlc,2.0.1
laszip-sys,0.1.2
judy-wrap,0.0.7
mdbx-sys,0.12.4
ncursesw,0.6.4
cups-sys,0.1.4
asi_opengl,0.6.2
wolfram-library-link-sys,0.2.9
openbsd,0.1.2
nettle-sys,2.1.1
openexr-core-sys,0.0.0
rps-sys,0.4.0
ffishim_derive,0.1.2
absperf-minilzo-sys,2.10.0
fizzy,0.8.0
intel-seapi-sys,0.2.0
himpi-sys,0.1.21
objc-sys,0.3.0
xed-sys,0.4.0
objrs_frameworks_core_graphics,0.0.2
allegro_color-sys,0.0.44
mc-sgx-dcap-ql-sys,0.6.0
umash-sys,0.2.0
minimp3-sys,0.3.2
libnfs-sys,0.2.3
libmdb-sys,0.1.1
opensplice-sys,0.0.3
qt_3d_extras,0.5.0
tinyusb-sys,0.1.0
wpilib-hal,0.1.1
dos-like-sys,0.2.3
mc-sgx-capable-sys-types,0.6.0
pebble-rust,0.1.0
spglib-sys,1.16.1
horde3d-sys,0.1.1
gdiplus-sys2,0.1.1
v4l2-sys,1.1.0
binutils,0.1.1
superluminal-perf-sys,0.1.2
blas-sys,0.7.1
wireguard-control-sys,1.5.0
mongocrypt-sys,0.1.1+1.8.0-alpha0
vlfeat-sys,0.1.0
ao-sys,0.1.2
asciidoctor-web,0.1.1
evmc-sys,9.0.0
msdfgen-sys,0.2.1
unid,1.0.0
kconfig,0.1.0
monaco-editor-textmate-web,0.0.1
libxc-sys,0.1.1
xcb-imdkit-sys,0.1.0
rdk-sys,0.1.1
dpdk-hash-table,0.1.0
umiko,0.1.4
libostree-sys,0.2.0
libc-extra,0.3.2
faiss-sys,0.6.1
libquickjspp-sys,0.1.0
libcimgui-sys,1.88.0
lcm_gen,0.1.1
willhook,0.6.1
nvbit-build,0.0.24
rofisys,0.2.3
wepoll-ffi,0.1.2
hlocl,0.1.0
ggpo-sys,0.1.0
bibutils-sys,0.1.1
wlc-with_elogind,2.0.1
fts-sys,0.2.5
webm-sys,1.0.3
raw-syscall-base,0.8.2
cmacro,0.2.2
hunspell-sys,0.3.1
selinux-sys,0.6.4
alsactl-sys,0.4.0
perf-event-open-sys2,5.0.2
mc-sgx-dcap-quoteverify-sys,0.6.0
libuv-sys2,1.44.2
cntr-fuse-abi,0.4.1
derive-ocaml,0.1.3
caca-sys,0.1.0
lapacke-static,0.1.0
cargo-pebble-watch,0.1.0
libirecovery-sys,0.1.1
winbluetooth,0.1.0
mlnx-ofed-librdmacm-sys,0.0.6
mvsdk,0.1.1
qt_ui_tools,0.5.0
min-cl,0.2.0
xgboost-rs-sys,0.1.31
zstr,0.1.1
bear-lib-terminal-sys,1.3.0
milter-sys,0.2.3
mujoco-rs-sys,0.0.4
razor-libzfs-sys,0.12.0
lttng-ust,0.1.0
csbindgen,1.7.2
rustler_sys,2.2.0
ryg-rans-sys,1.0.7
memprocfs,5.6.0
mp3lame-encoder,0.1.1
enet-cs-sys,0.1.1
mc-sgx-tservice-sys,0.6.0
libpicnic-sys,0.1.0+3.0.18
openmp-sys,1.2.3
zwp-input-method,0.3.1
android_looper-sys,0.3.0
security-framework-sys,2.8.0
jni-sys-new,0.4.0
usbfs-sys,0.1.0
hostfxr-sys,0.5.0
lean-sys,0.0.3
openvdb-sys,0.0.1
libwebp-sys2,0.1.7
krb5-src,0.3.2+1.19.2
