crate_name,version
yall,0.5.0,0
tork,0.0.0,0
wick-interface-http,0.2.0,0
xlsx2json,0.0.2,0
webru,0.4.0,0
jsonpretty5er,0.1.0,0
xkpass,0.1.0,0
scoped_signal,0.1.2,0
simple-test-bbarekas,0.1.3,0
jmtree,0.0.0,0
toql_paths_macro,0.4.0,0
kadmium,0.6.0,0
tea-actorx-runtime,0.2.0-dev.22,0
sciviz,0.1.0,0
yacme-service,1.1.0,0
pinv,0.3.0,0
bookbinder_epub,0.1.1,0
longbridge-wscli,0.2.58,0
truck-geoderive,0.1.0,0
llel,0.0.0,0
test_rust_package,0.1.0,0
rust_keylock,0.14.0,0
which_problem,0.1.0,0
nozomi,1.0.2,0
jack-pet,0.1.0-beta.0.0.1,0
r2r,0.7.0,0
chiral-operator,0.1.2,0
tofuri-db,0.1.0,0
tz-search,0.1.1,0
lilac,0.1.0,0
miraland-config-program,1.14.17-rc4,0
redust-resp,0.2.5,0
saffron,0.1.0,0
smol,1.3.0,0
starbase_sandbox,0.1.1,0
recaptcha-service,0.3.0,0
rdb_core,0.0.0,0
inner-mem-cache,0.1.3,0
postgres_macros,0.1.13,0
caminos,0.5.4,0
pslink-app,0.4.1-beta.2,0
slab_typesafe,0.1.3,0
postgres-from-row-derive,0.5.1,0
rite,0.1.0,0
winrt-notification,0.5.1,0
srcconsole,0.2.0,0
rod,0.2.4,0
intro-rs,0.1.0,0
transform,0.1.0,0
frugalos,1.2.0,0
ryzenadj-rs,0.1.0,0
mshowrgb,0.1.1,0
netlistdb,0.3.0,0
malvolio_codegen,0.1.0,0
mcai-license,0.1.0,0
rulex-bin,0.4.5,0
hnspool-stratum-types,0.4.0,0
rust-macios-app-kit-proc-macros,0.2.3,0
format-sys,0.0.1,0
signcryption,0.1.1,0
minigrepr,0.1.3,0
mc-sgx-tservice-sys-types,0.6.0,0
timbre,0.3.0,0
fui_system,0.12.0,0
luna,0.0.1,0
ergo-node-interface,0.4.0,0
json_typegen_cli,0.7.0,0
new-stow,0.1.5,0
update-informer,0.6.0,0
wasmer-c-api,3.3.0,0
cowrc,0.0.4,0
stdtr-sys,0.1.0,0
protocols,0.0.1,0
webthing,0.15.2,0
sd-sys,1.0.0,0
rusted-timer,1.1.4,0
reactor-trait,1.1.0,0
gnore,0.1.0,0
to-html,0.1.4,0
mkw41z-hal,0.1.1,0
partial-application-rs,0.1.0,0
rants,0.6.0,0
r2d2_postgres,0.18.1,0
libmake,0.1.5,0
unicode-bom,2.0.2,0
timed_cache,0.1.1,0
white-balance,0.1.0,0
aorist_constraint,0.0.14,0
ts-bindgen-build-support,0.5.0,0
tmux-menu,0.1.5,0
robot-traits,0.1.0,0
colm,0.1.0,0
py-bip39-bindings,0.1.6,0
yttrium_std_hasrole,0.1.0,0
serde_qs,0.12.0,0
quantities,0.11.1,0
ws-async,0.1.0,0
vapor_archive,0.1.0,0
qpml,0.13.0,0
stainless_script,0.1.1,0
tinyparse_macro,0.3.3,0
twilight-command-parser,0.9.0,0
rusty-blitzcrank,0.2.0,0
stdto,0.14.0,0
pwgn,0.1.0,0
rsdice,1.0.2,0
type-freak,0.2.0,0
kmac,0.0.0,0
nyar_valkyrie,0.0.8,0
reusable_lexer,0.1.0,0
texture-synthesis-cli,0.8.3,0
qiniu-credential,0.2.2,0
dpdk-elastic-flow-distributor,0.1.7,0
jatsl,0.2.0,0
nar,0.0.8,0
pliron,0.1.4,0
pnets_tina,0.1.1,0
lttng-ust-generate,0.1.1,0
lingua-tamil-language-model,1.0.1,0
spl-token-upgrade-cli,0.1.0,0
tg-test-utils,0.17.1,0
nosleep-nix,0.2.1,0
fmod-core-sys,0.0.0,0
xylosip,0.1.0,0
thermostat,0.0.2,0
stateroom,0.2.8,0
wincredentials-bindings,0.1.0,0
tensorflow-internal-macros,0.0.3,0
neli-wifi,0.5.1,0
o5m-stream,2.0.0,0
tree-sitter-wgsl,0.0.6,0
pki,0.1.2,0
metrictools,0.1.0,0
lenient_bool,0.1.1,0
packs-proc,0.2.0,0
olm-rs,2.2.0,0
jiqi-cli,0.1.2,0
person,0.0.0,0
rehashinghashmap,0.1.2,0
number_traits,0.2.4,0
range-lock,0.2.3,0
txml,0.1.0,0
ykoath,0.1.1,0
normalize-url-rs,0.1.1,0
codgenhelp,0.0.1,0
vala,0.1.0,0
simple-femto-text-rendering,0.2.0,0
sun-times,0.2.0,0
nom-trace,0.2.1,0
euphony-player,0.1.0,0
hubcaps-ex,0.6.2,0
simple-fcl,0.0.5,0
uhlc,0.5.2,0
xous-api-log-server,0.1.2,0
gpc,0.1.0,0
ppproxy,0.2.2,0
reh,0.0.0,0
loco-protocol,5.4.0,0
zigbee2mqtt_types_vendor_jasco_products,0.0.1,0
oriak,0.1.0,0
mz_rusoto_cloudhsm,0.46.0,0
tempergb,0.1.2,0
well-known,0.1.0,0
rime-tui,0.1.1,0
thespis_remote,0.0.0,0
rlite,0.0.1,0
yolol_number,0.9.0,0
uritemplate-next,0.2.0,0
kylin,0.1.0,0
poem-extensions-macro,0.6.0,0
jdwp,0.0.0,0
simplecc,0.2.2,0
audio-processor-standalone,3.0.0,0
shipyard,0.6.2,0
tappet-derive,0.3.2,0
rut-lib,0.1.2,0
matrix-appservice-rs,0.4.0,0
lark-query-system,0.1.0,0
to-directory,0.1.0,0
sputnikvm-network-expanse,0.11.0-beta.0,0
random-wheel,0.3.1,0
xrpl-hooks,0.3.1,0
serde-value,0.7.0,0
yaxpeax-msp430,0.1.1,0
matlabblas-src,0.1.0,0
ringbuffer-spsc,0.1.9,0
shipyard_hierarchy,0.6.0,0
marine-macro-testing-utils,0.1.0,0
max32660-hal,0.2.0,0
aquatic_ws_load_test,0.8.0,0
target-cpu-fetch,0.1.3,0
uu_seq,0.0.18,0
schnose_gsi,0.4.0,0
lithium_gfx,0.0.0,0
russh-agent,0.2.1,0
safecoin-bucket-map,1.14.17,0
quickjspp,0.1.0,0
wigner-3nj-symbols,0.2.0,0
betsy,0.1.3,0
variant_access,0.4.1,0
whenever,0.0.0,0
saltwater,0.11.0,0
twetch-sdk,0.0.1,0
verilization-lang-typescript,0.1.0,0
vergen-pretty,0.1.2,0
iot-plaything,0.1.0,0
memfd,0.6.3,0
rcf,0.1.2,0
subtle-ml,2.5.0,0
pep-508,0.3.0,0
rsexp,0.2.3,0
wlambda,0.8.1,0
plurid_delog,0.0.0,0
testpublish,0.1.0,0
trezor-crypto-lib,0.1.1,0
translation_provider,0.2.0,0
tokio-tungstenite,0.18.0,0
newt,0.6.8,0
ross-http,1.8.0,0
ytdlp-gui,0.2.0,0
siredir,0.1.3,0
unicorn-engine,2.0.1,0
trello-rs,1.23.0,0
msc_test_crate,0.1.0,0
analyticord,0.1.2,0
wasm-worker,0.0.0-reserve,0
pkcs10,0.0.0,0
vride-gui,0.1.0,0
offences,0.0.0,0
wasmtime-cranelift-shared,8.0.1,0
termite,0.1.0-alpha,0
pnets_pnml,0.1.0,0
testando-oh-boy,4.0.0,0
usbd-hid-macros,0.6.0,0
tle5012,0.1.0,0
piston-texture,0.9.0,0
udbg,0.2.1,0
prose-rs,1.0.0,0
brash,0.1.0,0
quake_wasm,0.4.0,0
sort-path-length,0.3.1,0
skidscan,2.0.1,0
lending-cell,0.1.1,0
nomi,0.0.2,0
database_exporter,0.1.4,0
plr,0.3.1,0
gemachain-poh,1.8.0,0
json_schema_test_suite_test_case,0.3.0,0
optix,0.2.0,0
serde-wit,0.1.0,0
metrics,0.21.0,0
ppcp,0.1.0,0
jumprope,1.1.1,0
bincode2,2.0.1,0
pgnparse,0.1.15,0
rotenv_codegen,0.15.0,0
rust-lang-chapter14-tutorial,0.1.0,0
allegro_dialog,0.0.44,0
tls-api-openssl,0.9.0,0
buzzy,0.2.1,0
vulk-gen,0.1.17,0
libproc,0.13.0,0
nash-mpc,1.2.4,0
iota-editor,0.1.0,0
pipe-op,0.0.1,0
jsonbin,0.1.0,0
rup,0.3.0,0
noct,0.1.0,0
namer,0.1.1,0
serde_shims,0.2.2,0
cluLamansh,0.1.4,0
webassembly-test-runner,0.1.0,0
podmod,0.4.3,0
world-count,0.1.4,0
liutongshuo_decoding_macros,0.0.1,0
read-write-store,0.2.0,0
podlib,0.1.0,0
vmw_backdoor,0.2.3,0
installed,0.1.0,0
zc-derive,0.4.0,0
yalskv,0.1.0,0
tracing-web,0.1.2,0
xmpp-jid,0.6.1,0
snowchains_core,0.13.2,0
merle,0.0.0,0
mqttbytes,0.6.0,0
frnsc-liveregistry-rs,0.2.0,0
vigil-reporter,1.3.0,0
m_lexer,0.0.4,0
dinput8-sys,0.0.1,0
simplog,1.6.0,0
rstat,0.6.0,0
kube-leader-election,0.22.0,0
prusti-contracts,0.1.6,0
lmbd,0.1.4,0
trin-utils,0.1.1-alpha.1,0
stdx,0.0.1,0
logic-lang,0.0.2,0
typeables,2.3.0,0
lithe,0.0.3,0
rtlsdr_iq,0.1.0,0
transporter,0.1.1,0
storm,0.11.0,0
rocker,0.1.0,0
loop-rs,0.6.1,0
caffe2op-lpnorm,0.1.5-alpha.0,0
myriam,0.0.10,0
libsvm-sys,3.24.0,0
reproto-path-parser,0.3.36,0
masala,0.2.1,0
solana-install,1.14.17,0
limelight-primitives,0.1.3,0
ws-actix-web,0.2.0,0
shank_macro,0.0.12,0
wasm_macro,0.1.19,0
syntaxdot,0.5.0,0
inexor-rgf-model-git,0.9.1,0
nu-glob,0.79.0,0
aliyundrive-fuse,0.1.14,0
vecmap,0.1.0,0
rustlibsecp256k1,0.1.0,0
libimagerror,0.10.1,0
etclient,0.3.0,0
mbrman---bitvec-1-0,0.0.1,0
ppppp,0.1.4,0
wlvm,0.4.0,0
extemp,0.1.1,0
twasm-test,0.0.0,0
swarm-ssh,0.1.2,0
inotify-sys,0.1.5,0
kodiak-taxonomy,0.2.0,0
ircv3,0.0.1,0
nNye_user_business,0.1.4,0
strp_macros,3.1.0,0
sauron,0.52.0,0
mountpoint-s3-crt,0.0.1,0
rpls,0.1.2,0
ya6502,0.1.0,0
pshell,1.0.9,0
sticker2,0.5.1,0
procedural-masquarade,0.2.0,0
opentalk-mail-worker-protocol,0.0.0,0
motor,0.0.0,0
scryer-prolog,0.9.1,0
pq-kem,0.5.0,0
typed-index-collections,3.1.0,0
ssam,0.2.0,0
wecapi-sys,0.0.1,0
pikav,0.15.2,0
minigrep_linqi,0.1.0,0
aap,0.3.2,0
try_or,0.2.0,0
servant-macro,0.1.0,0
rust_sls,0.1.1,0
veles,0.1.0,0
publishing_to_crates_io,0.1.0,0
karton,2.0.1,0
nymph,0.1.2,0
test_cargo,0.1.0,0
wub,0.0.1,0
tree-sitter-turbowave,1.7.1,0
libp2p-observed-address,0.12.0,0
mathite,0.1.0,0
rnix,0.11.0,0
wasm-mt,0.1.3,0
makeit-derive,0.1.1,0
webui,0.6.2,0
sn_testnet,0.1.4,0
lib3h_protocol,0.0.42,0
smol-rgb,0.3.0,0
thiserror_core2-impl,2.0.0,0
kinto_http,0.1.0,0
toolbelt,0.0.6,0
sentry-slog,0.31.0,0
rust-mpfr,0.1.7,0
photo_organizer,0.3.0,0
yada,0.5.0,0
rustji99,0.1.0,0
require_unsafe_in_body,0.3.2,0
tantivy-ik,0.3.3,0
str-cat,0.2.0,0
syllabize-es,0.5.1,0
jira_api,0.0.0,0
sento,0.1.1,0
nom5_locate,0.1.1,0
torn-key-pool,0.5.7,0
piet-common,0.6.2,0
wedpr_l_crypto_ecies_secp256k1,1.1.0,0
linera-node,0.0.1,0
tcc,0.1.0,0
rwlock2,0.2.5,0
orca-config-api-parser,0.1.0,0
spinup,0.1.0,0
nom-leb128,0.2.0,0
vale-derive,0.0.0,0
webview-sys,0.6.2,0
sp-weights,19.0.0,0
wooting-analog-sdk-sys,0.1.0,0
masm,0.0.0,0
luhn2,0.1.2,0
sentinel-tonic,0.1.0,0
tamer,0.1.0,0
test_zia,0.5.0,0
scour,0.1.0,0
mars-derive,0.1.0,0
mz_rusoto_ce,0.46.0,0
press-btn-continue,0.1.1,0
toffee,0.5.2,0
