name,abi,count
rust-libretro,Rust,1
ord-liblmdb-sys,C,1
nativeshell_core,C,2
fil-blst,C,156
proxy-wasm,C,37
libpg_query-sys,C,19
treelite,C,111
vimba-sys,C,1
android_looper-sys,C,1
d3dcsx-sys,system,1
pulsar-sys,C,204
hassle-rs,C,1
tree-sitter-bash,C,1
generator,C,1
filemagic,C,1
tree-sitter-dot,C,1
sep-sys,C,31
saxx,C,1
nj-sys,C,139
evr_vista-sys,system,1
wsbonline-sys,system,1
byteplug,system,1
mtx-sys,system,1
android_log-sys,C,1
secp256k1-test,C,1
psm,sysv64,1
wmip-sys,system,1
xdrk,C,1
wilton_rusty,system,1
hyperdex,C,5
tikv-jemalloc-sys,C,1
libsamplerate,C,4
megadrive-sys,C,1
webrtc-util,C,1
ioctl-rs,C,1
liburing-sys,C,18
rusty_v8,C,67
hypr,C,1
libtls-sys,C,90
corguids-sys,system,1
version-sys,system,1
format-sys,system,1
jieba,C,1
tspubplugincom-sys,system,1
lua-jit-sys,C,229
osrandom,C,2
thin_cstr,C,2
rcublas-sys,C,271
compstui-sys,system,1
mupdf-sys,C,1951
resolve,system,1
cashweb-secp256k1-sys,C,2
tun-tap-new,C,1
cocoa-colors,C,45
md6,C,1
wasix,C,1
distrs,C,1
syscalls,C,1
jsonnet-sys,C,1
plumber-rs,C,201
substrate-wasmtime-jit,C,1
wasmer-engine-jit-near,C,1
physx-sys,C,2
tree-sitter-ocaml,C,1
swift-rs,C,1
xcb,C,2
ld_preload,C,1
wintrust-sys,system,1
flips-sys,C,3
embree,C,99
rusfuse,C,1
libscripthookv-sys,C,1
solder,C,3
kcp-rust-native,C,120
robust-predicates,C,1
glu-sys,C,514
sem,C,1
melib,C,1
geoip-sys,C,1
posix-ipc,C,1
rust-optimal-transport,C,1
kg-js,C,1
eappcfg-sys,system,1
mosquitto-client-wrapper,C,107
wasm-rust-utils,C,1
tree-sitter-svelte,C,1
libfuzzer-sys,C,1
wsclient-sys,system,1
sealed_box,C,1
io-synesthesist,C,1
fhsvcctl-sys,system,1
pmdk-sys,C,3
mfuuid-sys,system,1
blake2b-rs,C,8
edgedb-tokio,C,1
persistent-buff,C,1
mspatchc-sys,system,1
winbio-sys,system,1
sunvox-sys,C,1
basis-universal-sys,C,80
evercrypt-sys,C,149
irprops-sys,system,1
btrfsutil-sys,C,43
evil-janet,C,401
libutp-sys,C,188
vssapi-sys,system,1
pqcrypto-sphincsplus,C,72
flipperzero-rt,Rust,1
rot26-rs,C,1
ffmpeg-wasi,C,3461
odbc-sys,system,1
odbcbcp-sys,system,1
corosensei,C,1
ddraw-sys,system,1
porcupine-sys,C,8
iocuddle,C,1
websocket-sys,system,1
aux_ulib-sys,system,1
doomgeneric,C,2
libacpica,C,208
printf,C,1
icm32-sys,system,1
tess2-sys,C,1
lzip-sys,C,1
klee-rs,C,31
wrflib_glx_sys,C,996
common-crypto,C,10
fann-sys,C,1
sdl2_image,C,1
smart-contract,C,1
locale-settings,C,12
imgui-memory-editor-sys,C,3
core-foundation-sys,C,3
stuck,C,1
makepad-x11-sys,C,668
head-empty,C,1
exa,C,1
cudnn-sys,C,1
allegro_acodec-sys,C,1
ssh,C,3
posix-sys,C,1
simple_libc,C,3
lapack-sys,C,1316
pqcrypto-falcon,C,4
whereami,C,1
libfmod,C,2
inkview-sys,C,434
owasm-kit,C,1
grin_secp256k1zkp,C,1
tree-sitter-erlang,C,1
win-variant,system,2
psx,C,2
psx,Rust,1
libaio,C,1
plotters-conrod,C,1
dsuiext-sys,system,1
mediacodec,C,5
jni-sys,system,1
libafl_frida,C,105
libindy-sys,C,126
iprop-sys,system,1
gain,C,1
error-code,C,1
sigmap,C,1
nnsdk,C,369
tuifw-screen-ncurses,C,2
krb5-sys,C,33
ehstorguids-sys,system,1
ondemandconnroutehelper-sys,system,1
assemblylift-iomod-http-guest,C,1
oppai-rs,C,1
mips-mcu,C,8
allegro_image-sys,C,1
frounding,C,1
opencl-heads,system,1
linux-personality,system,1
min-sqlite3-sys,C,1
opus-sys,C,2
rquickjs-sys,C,176
audiomediatypecrt-sys,system,1
http-muncher,C,1
uname-rs,C,1
pre_hf,C,1
os-timer,C,2
sas-sys,system,1
bc4py_hash,C,3
iris-ng,C,53
plamo,C,14
ifaces,C,1
pqcrypto-falcon-wasi,C,4
fluidlite-sys,C,140
kanshi-rs,C,1
tw4f,C,1
csfml-graphics-sys,C,466
feclient-sys,system,1
tree-sitter-elisp,C,1
catboost2-sys,C,36
solo5-sys,C,56
errno-no-std,C,1
xrpl-hooks,C,69
wasmer-runtime-core,C,2
mprapi-sys,system,1
freertos-sys2,C,1
libscmp,C,1
thunk32-sys,system,1
gurobi-sys,C,15
tree-sitter-sourcepawn,C,1
ax25,C,1
wecapi-sys,system,1
civet,C,1
epicinium_lib,C,1
riscv-minimal-rt,Rust,1
riscv-minimal-rt,C,2
ioctl-sys,C,1
libftd2xx-ffi,C,94
secp256k1-sys,C,2
kanameshiki-sys,C,5
bbhash-sys,C,1
catboost-sys,C,36
voxelizer,C,1
mongors,C,1340
winsatapi-sys,system,1
class_group,C,12
ao_rs,C,1
wavy,C,1
tree-sitter-qmljs,C,1
spdlog-rs,C,1
msdasc-sys,system,1
soroban-env-guest,C,13
fiftyonedegrees,C,1105
tao-core-video-sys,C,7
elikar,C,1
cortex-m-funnel,Rust,2
nx,C,1
libseccomp-sys,C,1
libdw-sys,C,219
tree-sitter-beancount,C,1
photoacquireuid-sys,system,1
kdb_c_api,C,1
louis-sys,C,30
cmsis-rtos2,C,89
patchwiz-sys,system,1
deno-libffi-sys,C,1
ntstc_libcmt-sys,system,1
ncurses-lite,C,1
onig_sys,C,196
onnxruntime-sys,C,182
varnish-sys,C,925
klein-sys,C,22
assemblylift-iomod-s3-guest,C,1
kqueue-sys,C,1
dxva2-sys,system,1
gdbm_compat,C,1
authz-sys,system,1
sharify,C,1
exacl,C,43
