crate_name,version
syntex_syntax2,0.0.2
rust_sodium-sys,0.10.4
px8_plugin_lua,0.0.11
glutin_cocoa,0.1.6
qjs-sys,0.1.2
gdk4-sys,0.6.3
libcmark-sys,0.1.0
fil-ocl,0.19.6
rust-hdfs,0.1.0
yamlate,0.1.1
rust_hawktracer_sys,0.4.2
sharedlib,7.0.0
mrb,0.1.2
ipc-rs,0.4.2
lucet-runtime-tests,0.6.1
pnet_datalink_bandwhich_fork,0.23.1
zaplib_x11_sys,0.0.3
thread_tryjoin,0.3.0
libsignal-protocol,0.1.0
safecoin-ledger,1.6.16
pink-sidevm-env,0.1.7
rust-mpfr,0.1.7
rust-jni-generator,0.1.0
jex,0.2.0
distinst,0.3.2
dav1d-sys,0.7.1
gvr-sys,0.7.2
linux-api-math,0.0.1
gstreamer-webrtc,0.20.4
rusty-saber,1.0.0
rust-assimp,0.0.23
linux-api-sys,0.0.1
chez-sys,0.1.0
wordcutw,0.1.0
lonlat_bng,0.3.8
osm-gps-map-sys,0.2.5
nvml-rs,0.1.0
ezc,0.2.0
wasm-opt,0.112.0
mcpat-sys,0.8.0
rust-aes-proofs,0.2.0
cov,0.0.5
vmap,0.5.1
pqcrypto-mqdss,0.3.0
cargo-semverver,0.34.0
rs-secp256k1,0.5.7
rs-rocksdb,0.5.0
rportaudio,0.1.1
tracers-libelf-sys,0.1.0
libsox-sys,0.1.1
icasadi_test,0.0.2
recast-detour-sys,0.1.1
zui-core,0.0.3
tensorflow,0.20.0
carp,0.1.0
pafe-sys,0.1.0
libiw,0.1.0
xen-sys,0.0.0-pre2
sandbox-ipc,0.4.0
russell_stat,0.4.1
sapp-kms,0.1.1
russell_lab,0.4.1
hgdirectffi,0.1.0
flic,0.1.6
rexrocksdb,0.3.2
merkle_light,0.4.0
objectid,0.2.0
devp2p-secp256k1,0.5.6
nvfbc-sys,0.1.0
tegra_swizzle,0.3.1
librocksdbsys,0.1.2
winflip,0.1.0
zcfg,0.2.0
zenroom,0.3.3
nuki-sys,4.6.1
bitcoinconsensus,0.20.2-0.5.0
zbox,0.9.2
zaplib_glx_sys,0.0.3
yang2,0.5.0
rust-rsm,0.3.2
zaplib_objc_sys,0.0.3
xpc-sys,0.4.0
hyperscan-sys,0.3.2
hooky,0.2.0
mtbl-sys,0.2.0
cryptsetup,0.2.0
gstreamer-controller,0.20.0
winspawn,0.1.1
jp2k,0.3.1
winwrap,0.1.1
wavpack,0.2.5
wlc-with_elogind,2.0.1
tracers-libstapsdt-sys,0.1.0
my-test-app-bergwolf,1.4.0
vertigo-browserdriver,0.1.0-beta.3
vfxpreopenexr-sys,0.0.6
spawn-task-port,0.1.1
ux-animate,0.1.5
c_macros,0.1.1
pfring-sys,0.0.1
icasadi,0.1.1
uclicious,0.1.8
uclcli,0.1.0
tvis,0.15.3
tss-sapi,0.0.4
tvm-graph-rt,0.1.0-alpha
libnanomsg,0.1.0
webkit2gtk5-sys,0.3.0
winrt-core-app,0.4.0
wasmer-asml-fork,2.0.0
mrb-sys,0.1.2
pinar-napi-sys,0.1.0
trezor-crypto-sys,0.1.2
rustler_sys,2.2.0
solana,0.17.2
tokio-periodic,0.1.1
s3wf2,0.3.0
text-transliterate,2.0.0
tess2-sys,0.0.1
fuser,0.12.0
wavm,0.1.0
sunshine-identity-ffi,0.2.3
nosleep-mac-sys,0.2.1
nauty-Traces-sys,0.5.0
default_kwargs,0.1.0
inthrustwetrust,0.1.0
stepflow-wasm,0.0.7
socketstat,0.1.0
ux-components,0.1.3
noise_search_deps_librocksdb-sys,0.1.0
staticinit,1.0.0
stemmer,0.3.2
lewton,0.10.2
spine-sys,0.1.1
mol-core,0.3.0
citrus,0.8.0
throne,0.4.1
rust_icu_unorm2,4.0.0
tp-tasks,2.0.1
sarek,0.1.0
libssh,0.0.1
pnet_datalink,0.33.0
dlopen2,0.4.1
sit-core,0.4.1
nsvg,0.5.1
classgroup,0.1.0
wasmer-c-api-near,1.0.1
buffett-core,0.1.1
lilv-sys,0.2.1
selecta_score,0.0.3
janus-plugin,0.13.0
unveil,0.3.2
cityhash-sys,1.0.5
ipopt,0.5.4
naia-shared,0.21.0
industrial-io,0.5.2
rustwlc,0.7.0
rustpak,0.1.0
rustml,0.0.7
rustc-demangle-capi,0.1.0
unicorn-rs,0.1.0
safe_launcher,0.2.0
matchit,0.7.0
rustphidgets,0.1.0
elliptic-sys,0.3.0
posix-ipc,0.0.3
libudis86-sys,0.2.1
rustpostal,0.3.0
rust_motr,0.1.0
rust-mio,0.2.0
rust_asio,0.6.0
datadot,0.0.1
rust-lzo,0.6.2
mextk-sys,0.1.0
veneer,0.1.1
fuse,0.3.1
rlapack,0.0.5
std_detect,0.1.5
react-rs,1.0.0-alpha.8
wasmer-singlepass-backend-fl,0.17.0
stm32l0xx-hal,0.10.0
bliss-audio-aubio-rs,0.2.1
ethash-sys,0.1.3
rbothal,0.0.2
usbredirparser-sys,0.0.1
rapier3d-f64,0.17.2
quantmath,0.1.0
jansson-sys,0.1.0
r3_port_arm,0.2.3
pty-shell,0.2.0
wasmedge_process_interface,0.2.1
ghost,0.1.9
rl-sys,0.5.2
msdfgen-lib,0.1.0
usbredirparser,0.0.1
fst-sys,0.2.0
SLSR,0.0.1
freetypegl,0.4.0
rustfmt-core,0.4.0
gdbm-sys,0.3.0
gccjit,1.0.0
voicemeeter,0.1.1
rusty-cheddar,0.3.3
vpp-api-transport,0.1.5
opus-sys2,0.1.0
wasmedge_storage_interface,0.2.0
opcalc,0.2.1
vte-sys,0.2.2
libsystemd-sys,0.9.3
steamworks-sys,0.10.0
vignette,0.1.0
memmapix,0.7.3
nnnoiseless,0.5.1
ncursesw,0.6.4
arnold-rs,0.1.0
nite2-sys,0.2.0
lc3_vm,0.1.0
uhyve,0.2.2
vrust,0.0.1
leveldb-rs,0.0.7
mmtk,0.18.0
oasis-game-core,0.9.0
kibi,0.2.2
libnet-sys,0.1.0
oasis-game-client-proxy,0.9.0
yarf-sys,0.0.2
wasm-nm,0.2.1
oasis-game-core-derive,0.9.1
machina,0.6.1
frodobuf,0.1.2
vips,0.1.0-alpha.2
libtcc,0.2.0
libbfio-rs,0.2.5
crypto-ops,0.1.1
unrest_tmp_syn,0.1.0
lzf-sys,0.1.0
linxal,0.6.0
libpapi_sys,0.1.7
libmf,0.2.2
susy-rocksdb-sys,0.5.5
sgx_tstd,1.1.1
rsfmt,1.60.0
web-log,1.0.1
czmq,0.1.0
voxelizer,1.0.0
ostn02_phf,0.1.13
libcgroup_rs,0.1.0
arc_lib,0.1.3
noise_search_deps_rocksdb,0.1.1
lsl-sys,0.1.1
zmq-pw,0.9.8
grokj2k-sys,0.1.1
libftd2xx-ffi,0.8.6
mimalloc-sys,0.1.6-dev
monosodium,0.1.0-pre.1
unid,1.0.0
susydev-rocksdb,0.5.0
rsnappy,0.1.0
kissat,0.1.0
fuchsia_backtrace,0.1.0
softfloat-sys-riscv,0.1.0
fringe,1.2.1
frawk,0.4.8
rsperftools,0.3.3
whirlpool-asm,0.6.0
makepad-x11-sys,0.1.0
rust-spoa,0.2.4
makepad-objc-sys,0.3.0
flexible-locks,0.1.0
foundationdb,0.7.0
makepad-glx-sys,0.1.0
vterm-sys,0.1.0
mammoth-macro,0.0.1
ytnef,0.2.0
ffmpeg-next-crossfix,4.3.4
fluidlite,0.2.1
UWUWUW,0.13.4
matrix-creator-hal-sys,0.1.0
drogue-ffi-compat,0.1.0
libsvm-sys2,4.0.0
shuttle-codegen,0.15.0
libopenlipc-sys,0.1.3
hwloc2,2.2.0
pqcrypto-threebears,0.2.0
wolfram-app-discovery,0.4.4
ffi_wrapper_nounwind,0.1.1
harfbuzz_rs,2.0.1
mtbl,0.2.1
vkcargo,0.45.1
libduckdb-sys,0.7.1
clear-coat,0.0.3
rtmidi,0.2.0
fgen,0.1.0
thin_main_loop,0.2.0
nice,0.1.9
urandom,0.1.1
safer-ffi,0.1.0-rc1
starship-battery,0.8.0
farmhash-ffi,0.1.0
firma,0.20.0
font-rs,0.1.3
rubrail,0.9.1
sha2-asm,0.6.2
rttrust,0.1.3
llvmint,0.0.3
evmc-vm,9.0.0
portaudio-rs,0.3.2
rtlsdr-rs,0.1.0
uptown_funk,0.1.3
fat_type,0.3.0
rtreec,0.1.0
faster_kvs,0.1.0
rtea,0.2.0
wstp,0.2.7
faster_path,0.0.2
keystone,0.9.0
cogl-rs,0.1.4
duku,0.2.1
libp2prs-noise,0.3.0
faster-rs,0.11.0
libpanel-sys,0.2.0
libnm-sys,0.2.0
famous-last-words,0.1.1
ethercat-soem-ctx,0.2.0
gweather-sys,4.2.0
rips,0.3.0
event_rust,0.1.1
libmtp-sys,1.1.17-5
libelf-sys,0.1.0
libesedb-sys,0.1.2
libcoap-sys,0.2.1+libcoap-4.3.1
erpc-rs,0.2.0
stringmap,0.1.0
fair-baccarat,0.2.0
fasthash-sys-fork,0.4.2
susy-rocksdb,0.5.0
malloc_freq,0.1.2
nice-gst-meet-sys,0.2.0
eosio-client-keys,0.1.0
yara-sys,0.19.0
lpsolve,0.1.0
discord-cassandra-cpp,0.16.6
rsmpeg,0.14.1+ffmpeg.6.0
rpi-pico-sdk-sys,0.0.2
yatima-rustyline,0.2.0
libappindicator-sys,0.8.0
rpi-pico-sdk,0.0.1
enclave,0.1.4
