requiem-http,1.0.1-r1
near-vm-logic,0.17.0
simavr-sys,1.5.9
fathom_web3,1.1.0
nanopass,0.1.8
job_scheduler,1.2.1
peerlink,0.6.0
igrepper,1.3.4
sequoia-openpgp,1.8.1
sn_sdkg,3.1.4
lightning-background-processor,0.0.116
lightning-rapid-gossip-sync,0.0.116
lightning-custom-message,0.0.116
lightning-net-tokio,0.0.116
lightning-persister,0.0.116
lightning-transaction-sync,0.0.116
blend2d,0.3.0
ckandex,0.6.3
out123-sys,0.5.0
lace_cc,0.1.3
lace_metadata,0.1.3
ucd-data,0.1.0
rayso,0.1.1
lace,0.2.0
gitcc-core,0.5.0
igrep,1.1.0
drift-oktogen,0.1.0
fclones,0.32.1
neuromorphic-drivers,0.5.0
origen_metal,0.5.0
wasmtime-wiggle,0.26.1
ela,0.1.0
phat_js,0.1.1
secure-survey,0.1.2
litcoinlib,0.29.4
roqoqo-quest,0.11.1
lua,0.0.10
qoqo-quest,0.11.1
wasmer-runtime-core-l1x,0.18.0
bitcoin-merkle,0.1.16-alpha.0
tlpt,0.8.0
causal-hub,0.1.2
yahtzee,0.3.0
dbn,0.8.0
rust_icu_unumberformatter,4.0.0
punchcard,0.10.1
blake2b256-balloon,0.1.0
fastq-count,0.1.0
fuel-block-importer,0.15.3
easycurses,0.13.0
tide-handlebars,0.9.0
tezos-smart-rollup-mock,0.2.0
tezos-smart-rollup-storage,0.2.0
tezos-smart-rollup-installer,0.2.0
sqlite2parquet,0.10.1
bitcoin-sha3,0.1.16-alpha.0
bitcoin-primitives,0.1.16-alpha.0
gemlab,0.5.0
bitcoin-compat,0.1.16-alpha.0
tectonic,0.14.1
bitcoin-secp256k1,0.1.16-alpha.0
bitcoin-sha256,0.1.16-alpha.0
bitcoin-time,0.1.16-alpha.0
spl-math,0.2.0
temex,0.10.0
nyx-space,2.0.0-alpha.2
detour,0.8.1
triton-profiler,0.30.0
suffix_array,0.5.0
vrsc-rpc-json,0.1.7
scuttle,0.1.0
ockam,0.90.0
snarkvm-circuit-program,0.14.6
actix-web-jsonschema,1.1.2
miniboosts,0.2.2
openbrush_contracts,2.2.0
hacl-star-sys,0.1.0
tdn_types,0.10.0
pqcrypto-falcon,0.2.10
fastq,0.6.0
aotuv_lancer_vorbis_sys,0.1.1
ducc,0.1.5
sugar-cli,2.4.1
hop-cli,0.2.52
usc,1.20230716.84541
