libnghttp2-sys,0.1.7+1.45.0
libnixstore-sys,0.1.0
libnspire,0.2.3
liboj-seccomp,0.1.0
libopencm3_sys,0.0.3
liboxen,0.7.5
libp2p-nat,0.3.0
libpapi_sys,0.1.7
libpaprika,0.4.1
libpci-sys,0.1.0
libpcre-sys,0.2.2
libperl-sys,0.2.0
libpg_query-sys,0.3.1
libpg_query2-sys,0.3.0
libphonenumber-sys,0.1.1
libpicnic-sys,0.1.0+3.0.18
libpijul,1.0.0-beta.6
libplacebo-sys,0.1.0
libplist,0.1.0
libpna,0.1.0
libpng-sys,1.1.9
libprosic,0.7.3
libptp,0.6.5
libqueued,0.10.0
libquickjs-dtp-sys,0.9.0
libquickjs-sys,0.10.0
libquickjspp-sys,0.1.0
librashader-cache,0.1.4
librcl-sys,0.1.2
librealsense2-sys,0.2.0
librelic,0.0.14
libreplex_inscriptions,0.1.9
libreplex_metadata,0.10.0
librepology,0.1.0-alpha.1
libretranslate,0.5.1
librgbmatrix-sys,0.9.0
librocksdbsys,0.1.2
librpm-sys,0.1.1
librpmbuild-sys,0.1.1
librpmsign-sys,0.1.1
librsync,0.2.3
librsync-sys,0.1.2
librtlsdr-sys,0.1.0
libsbxf,0.1.0
libscoop,0.1.0-alpha.1
libsel4-sys,0.5.2
libsex,0.1.2
libsfasta,0.3.4
libsignal-protocol,0.1.0
libsmacker,0.1.1
libsmacker-sys,0.1.0
libsodium-ffi,0.2.2
libsox-sys,0.1.1
libspnav,0.1.0
libspnav-sys,0.1.0
libsql-wasmtime-bindings,0.2.2
libssh-rs-sys,0.2.0
