release,0.8.1
release-me,0.1.0
release-plz,0.3.15
release_plz_core,0.12.2
releasr,0.1.0
remodel,0.10.0
remotefs-ssh,0.2.1
rendr,0.3.2
rendy,0.5.1
renegades_sqlite,0.1.3
replicante_agent,0.5.0
repo-cli,0.1.3
repofetch,0.3.3
reposite,0.1.1
repub,0.4.1
requiem,0.9.0
requiem-http,1.0.1-r1
requiem-web,2.0.0-r2
resctl-bench,2.2.3
resctl-demo,2.2.3
resfetch,1.0.2
respk,0.1.2
restricted-sparse-merkle-tree,0.4.0-rc2
retour,0.3.1
revault_tx,0.5.0
revaultd,0.4.0
revm-precompile,2.0.3
rexpaint,0.1.1
rexrocksdb,0.3.2
rf-fetch,1.0.0
rftp,0.1.7
rgb-core,0.10.5
rgb-lib,0.2.0-alpha.2
rgb-lightning,0.0.1
rgb-std,0.10.3
rgb-wallet,0.10.3
rhdxmr-publish-test,0.2.8
rhdxmr-publish-test2,0.1.3
rhdxmr-publish-test3,0.1.0
rhex,0.1.0
rhis,0.10.1
ribir_core,0.0.1-alpha.5
rich-sdl2-net-rust,0.5.0
rich-sdl2-rust-sys,0.2.7
ridl,0.7.0
riji,0.1.11
rimcol,0.1.1
rinex-cli,0.6.0
ringbahn,0.0.0-experimental.3
rio-rs,0.1.0
ripasso,0.6.5
ripgrep_all,0.9.6
rips,0.3.0
risc0-build,0.16.1
risq,0.4.1
rl-sys,0.5.2
rl_localtime,0.1.2
