nuklear-sys,4.0.5
num-bigfloat,1.6.2
num-bigint,0.4.3
num-bigint-dig,0.8.2
num-complex,0.4.3
num-dual,0.6.0
num-format,0.4.4
num-modular,0.5.1
num-prime,0.4.3
num-primes,0.3.0
num-rug-adapter,0.1.5
num-shaman,0.1.0
num_cpus,1.15.0
num_parser,1.0.2
num_threads,0.1.6
numbagoup,0.9.0
numbat,1.0.0
number_easing,0.1.1
number_traits,0.2.4
numberplace-core,0.1.1-1
numconverter,1.1.0
numeric,0.1.4
numopt,0.2.1
numpress,1.1.0
numpy,0.18.0
nut,0.1.1
nutmeg,0.1.2
nuts-rs,0.4.1
nv-card,0.1.2
nvapi_sys_new,0.1.5
nvfbc-sys,0.1.0
nvidia-video-codec-sys,0.1.0
nvim-api,0.2.0
nvim-types,0.2.0
nvml-binding,0.1.0
nvml-rs,0.1.0
nvml-wrapper,0.9.0
nvpair,0.5.0
nvpair-rs,0.3.0
nvpair-sys,0.4.0
nvptx,0.2.3
nvrtc,0.1.3
nvtt_rs,0.10.1
nvtt_sys,0.5.2
nyantec-cert-auth,0.1.1
nyar-number,0.2.4
nydus-api,0.2.2
nydus-app,0.3.2
nydus-blobfs,0.2.0
nydus-error,0.2.3
nydus-rafs,0.2.2
nydus-rs,2.2.0
nydus-service,0.2.0
nydus-storage,0.6.2
nydus-utils,0.4.1
nylisp_eval,0.2.6
nylon,0.1.0
nym,0.1.0
nym-crypto,0.3.0
nymph,0.1.2
nyoom,0.0.1
nyx-space,1.1.2
o2lsh,0.1.0
oal-sys,0.0.2
oars,3.0.1
oasis-game-client-proxy,0.9.0
oasis-game-contract,0.9.1
oasis-game-core,0.9.0
oasis-std,0.4.1
oatbar,0.0.14
oats,0.1.0
oauth-1a,0.1.1
oauth-client,0.8.0
oauth-client-async,0.4.0
oauth-client-fix,0.1.5
oauth1-header,0.1.0
oauth1-request,0.6.0
oauth2,4.3.0
oauth2-client,0.2.0
oauth2-noserver-rs,0.1.0
oauth2_noserver,0.1.2
oauthcli,2.0.0-beta-2
oberon,2.1.0
obex,0.2.0
obfustring,0.5.0
obj-rs,0.7.1
objc,0.2.7
objc-foundation,0.1.1
objc-macros,0.1.0
objc-sys,0.3.0
objc2,0.3.0-beta.3.patch-leaks.3
objc2-foundation,0.2.0-alpha.6
objc_id,0.1.1
object,0.31.0
object-alloc-test,0.1.0
object_store,0.5.6
objectid,0.2.0
objrs,0.0.2
objrs_macros,0.0.2
odoh-rs,1.0.1
oblivc,0.1.2
oblivious-transfer,0.0.1
obnam,0.8.0
obnth,0.1.1
oboe-sys,0.5.0
obstack,0.1.4
oca-rs,0.2.29
oca-rust,0.2.23
occlum-pal,0.1.5
oci-image-spec,0.1.0
oci_rs,0.8.0
ockam,0.86.0
ockam_abac,0.20.0
ockam_api,0.29.0
ockam_command,0.86.0
ockam_core,0.80.0
ockam_entity,0.35.0
ockam_identity,0.74.0
ockam_multiaddr,0.20.0
ockam_transport_tcp,0.81.0
ockam_transport_udp,0.20.0
ockam_vault,0.76.0
ocl,0.19.4
ocl-algebra,0.1.0
ocl-convolution,0.3.0
ocl-core,0.11.3
ocl-interop,0.1.5
ocl-stream,0.3.5
octane,0.1.2
octarine,0.3.3
octavo,0.1.1
octavo-crypto,0.1.1
octorust,0.3.2
oculante,0.6.63
oculussdk-sys,0.1.0
ocypod,0.8.0
odbc,0.17.0
odbc-api,0.57.0
odbc-ffi,0.2.4
odbc-futures,0.2.2
odbc-safe,0.6.0
odbc-sys,0.21.4
ode_integrate,0.0.2
odht,0.3.1
odin,0.1.0
odoh-client-rs,0.1.9
odoo-api,0.2.5
odoors,0.3.0
ofdb-entities,0.12.0
offline_license_rs,0.1.0
offscreen_gl_context,0.25.1
offstage,0.1.1
offwall,1.1.0
ofiles,0.2.0
ofps,0.1.0
ofx,0.3.0
og-libwebp-sys,0.1.2
og_image_writer,0.11.0
ogg,0.9.0
ogg-opus,0.1.2
ogg_next_sys,0.1.2
ohsl,0.7.6
ohttp,0.3.1
oic,0.1.0
oid2,0.1.0
ointers,4.0.0
ojcmp,0.4.0
ojichat,0.1.3
okta,0.4.0
okvs,0.2.0
old-http,0.1.1-pre
olio,1.4.0
olm,0.1.2
olm-rs,2.2.0
olm-sys,1.3.2
om-fork-ep-miniaudio-sys,2.6.0
omegaupload-common,0.2.0
omikuji,0.5.0
oml-game,0.37.0-alpha
ommui_frontend_gtk,0.3.19
omn-sprites,0.1.0
omnipaxos,0.1.0
omnitigs,2.2.0
omst,2.0.0
on-off-sequence-output,0.2.0
one-d-six,0.5.0
one-of-many-proofs,0.1.0
one-time,0.1.0
one-time-signatures-cry4,0.1.1
one_err,0.0.8
one_way_slot_map,0.4.2
onednn-sys,0.0.1
onefetch,2.17.1
oneshot,0.1.5
onetime-cli,0.3.0
onetun,0.3.4
onft,0.1.0-beta.2
oni-comb-parser-rs,0.0.87
oni-comb-uri-rs,0.2.72
oni_simulator,0.1.2
onig,6.4.0
onig_sys,69.8.1
onigmo,0.0.1
oniguruma,0.3.0
onionpipe,0.3.2
onionsalt,0.4.2
onlinecode,0.1.1
onlinematching,0.3.1
onload,0.2.0
onnx-shape-inference,1.1.0
onnxruntime,0.0.14
onnxruntime-sys,0.0.14
onnxruntime-sys-patch,0.0.14
ontio-std,0.5.0
oo-bindgen,0.8.3
oo7,0.1.2
oolisp,0.1.9
ooxml,0.2.6
oozz,0.4.1
opa,0.9.0
opaque-ke,3.0.0-pre.2
opaquebind,0.2.1
opc,0.3.0
opcalc,0.2.1
opcua,0.11.0
opcua-crypto,0.9.1
open-block-ei-open-roles-near-core,0.1.0
open-cl-core,0.2.1
open-cl-low-level,0.2.1
open-coroutine,0.2.0
open-coroutine-core,0.2.0
open-metrics-client,0.14.0
open189,0.1.1
open_ai,0.1.1
open_creator_protocol,0.3.5
open_in_editor,0.2.0
open_ttt_lib,0.2.2
openalgebra,0.0.1
openapitor,0.0.5
openat,0.1.21
openat-ext,0.2.3
openat2,0.1.2
openat_ct,0.2.0-pre10
openbabel,0.5.3
openbabel-sys,0.5.3+openbabel-3.1.1
openbanking,0.1.0
openblas-src,0.10.8
openbook_dex,0.5.6
opencc,0.3.0
opencc-rs,0.3.0
opencl-api,0.1.2
opencl-sys,0.2.4
opencl3,0.9.2
opencloudtiles,0.1.11
opencv,0.81.0
opendal,0.33.2
opendp,0.6.2
opendp-ffi,0.4.0
opendrive,0.1.0+1.7.0
openfair,0.1.1
openfare,0.6.2
openfare-lib,0.6.2
opengauss-protocol,0.1.0
openh264,0.4.0
openh264-sys,1.0.3
openh264-sys2,0.4.0
openidconnect,3.0.0
openjpeg-sys,1.0.9
openldap,1.2.2
openmls,0.4.1
openmls_evercrypt,0.1.0
openmp-sys,1.2.3
openmpt,0.3.1
openmpt-sys,0.2.0
openpgp,0.2.0
openpgp-ca-lib,0.13.0-alpha.1
openpol,0.3.0
openqasm,0.1.2
openraft,0.7.6
openrr-apps,0.1.0
openrr-gui,0.1.0
openrr-planner,0.1.0
opensc,0.0.0
opensensor,0.4.0
opensimplex,0.2.0
openslide,0.2.0
opensrdk-linear-algebra,0.9.3
opensrdk-optimization,0.1.4
opensrdk-probability,0.8.9
opensrv-clickhouse,0.4.0
openssh,0.9.9
openssl,0.10.52
openssl-errors,0.2.0
openssl-hkdf,0.2.0
openssl-kdf,0.4.1
openssl-magic-public-key,0.1.0
openssl-rehash,0.1.1
openssl-verify,0.2.0
openssl_enc,0.1.0
openssl_to_rfc,0.4.0
opensubdiv-petite-sys,0.2.0
opentelemetry-application-insights,0.25.0
opentelemetry-dynatrace,0.3.0
opentelemetry-jaeger,0.18.0
opentelemetry-otlp,0.12.0
opentelemetry-proto,0.2.0
opentelemetry-spanprocessor-any,0.17.0
opentelemetry_sdk,0.19.0
openthread-sys,0.1.4
opentls,0.2.1
opentok,1.0.4
opentok-server,0.1.3
opentracingrust,0.4.0
opentracingrust_zipkin,0.3.1
openvdb-sys,0.0.1
openvino-sys,0.5.0
openvr,0.6.0
openweathermap,0.2.4
openzwave,0.1.1
openzwave-sys,0.1.1
oper,0.5.0
operational-transform,0.6.1
operator_advisor,0.1.8
ophelia-bls-amcl,0.3.1
ophelia-blst,0.3.1
ophelia-ed25519,0.3.2
oping,0.4.0
oppai-rs,0.2.3
oppgave,0.1.0
optic,2.0.1
optimath,0.3.1
optimization,0.2.0
optimization_engine,0.7.7
optimum,0.0.4
optimus,0.2.1
optivorbis,0.1.3
optix,0.2.0
optlib,0.4.0
optrs,0.1.0
opus,0.3.0
opus-sys2,0.1.0
opusfile-rs,0.1.4
oqs,0.7.2
oracle,0.5.7
oramfs,1.0.0
orbclient,0.3.45
orbtk-api,0.3.1-alpha3
orbtk-core,0.3.1-alpha4
orchard,0.4.0
orcs,0.0.8
ord,0.5.2
ord-lmdb-rs,0.7.7
ord-lmdb-zero,0.4.5
ordbog,0.1.0
order-stat,0.1.3
ordered-float,3.7.0
ordered-varint,2.0.0
ordermap,0.4.2
ordist,0.2.0
ordslice,0.3.0
ore-rs,0.7.0
orgize,0.9.0
origen,2.0.0-dev.5
origen_metal,0.5.0
orkhon,0.2.3
orogene,0.3.23
ors,0.0.12
ors-sys,0.0.8
orset,0.2.0
ort,1.14.6
ort-core,0.2.0
ort_custom_op,0.2.0
os-core,0.2.0
os-id,3.0.1
os-sync,0.3.3
os-thread-local,0.1.3
os-timer,1.0.10
os_clock,0.3.1
os_pipe,1.1.4
os_socketaddr,0.2.4
os_stat,0.1.0
os_utils,0.0.1
oscen,0.1.4
osintui,0.1.1
oskr,1.0.0-rc.5
osm-gps-map-sys,0.2.5
osm-tile-downloader,0.2.5
osm_pbf2json,0.2.2
osmgpsmap-sys,0.2.16
osmgraphing,1.1.1
osmnodecache,0.8.0
osmo-bindings-test,0.5.1
osmo-reflect,0.5.1
osmojit-sys,0.4.0
osmosis-test-tube,15.1.0
osmosis-testing,0.13.2
osoy,0.5.1
osqp,0.6.2
osqp-rust,0.6.2
osqp-sys,0.6.2
osrandom,0.1.0
osrs-cli,2.0.0
osshkeys,0.6.2
ossuary,0.5.1
ostn02_phf,0.1.13
ostree-ext,0.10.7
ostree-sys,0.13.0
osutils,0.1.0
ot-rs,0.1.0
otopr,0.4.0
otp_generator,0.1.0
otter,1.2.1
ouch,0.4.1
ouou_dictation,0.1.0
oura,2.0.0-alpha.2
oursh,0.4.4
out,8.0.0
outagefs,0.1.0
outils,0.3.0
outmove-common,0.1.0
outoforderfs,0.1.1
over-there,0.1.0-alpha.2
overclock,0.1.13
overlord,0.4.2
ovr-mobile-sys,0.4.0
ovr-ruc,1.0.8
ovr-sys,0.3.0
ovr-vsdb,0.34.3
ovr_overlay,0.0.0
owa4x-sys,0.1.7
owa5x-sys,0.1.0
owasm,0.1.10
owasm-abi,0.3.0
owasm-kit,0.3.0
owasm-vm,0.2.2
owasm2,0.1.8
owcrypt,0.0.3
owl-crypto,0.1.4
owl_midi,0.4.5
owlchess,0.3.2
owlish,0.25.0
owlz,0.1.1
owned-fd,0.1.0
ownserver_lib,0.5.1
owoify,0.1.5
owoify_rs,1.0.0
oxcable,0.5.1
oxhttp,0.1.6
oxi-api,0.3.0
oxi-types,0.3.0
oxide-auth,0.5.3
oxidebpf,0.2.7
oxidux,0.4.0
oxigraph,0.3.16
oxigraph_server,0.3.16
oxineat,0.3.2
oxineat-nn,0.1.1
oxisynth,0.0.3
oxrdf,0.1.5
oxyd,0.1.0
oxygengine-ha-renderer,0.30.0
oxygengine-procedural,0.30.0
oxygraph,0.1.6
oxymcts,0.1.0
ozelot,0.9.0
ozone,0.1.0
p0w,0.2.2
p256-cortex-m4-sys,0.1.0
p256k1,4.0.1
p2p,0.6.0
p2p2,0.0.1
p2panda-rs,0.7.0
p8n-types,2.0.1
p_rust,0.1.0
pabitell-lib,0.4.0
pacdef_core,1.0.0-beta.16
pachinko,0.7.0
pacifist-chess-simulation,0.1.2
pack-it,0.2.2
pack_2048,0.4.4
packagekit-sys,0.1.0
packed-vec,0.0.1-alpha.12
packed_integer_array,0.2.0
packed_simd,0.3.8
packed_simd_2,0.3.8
packedtime-rs,0.2.5
packedvec,1.2.4
packer_plugin_updater,0.1.2
packet_rs,0.4.0
packet_snooper,1.0.2
packetcrypt,0.3.1
packetcrypt-sys,0.4.0
packman,0.1.2
pacman-repo-builder,0.0.0-rc.64
pact-plugin-driver,0.4.2
pact-proxy-rs,0.0.1
pact-stub-server,0.5.3
pact_consumer,0.10.8
pact_ffi,0.4.4
pact_matching,1.0.8
pact_mock_server,1.0.2
pact_mock_server_cli,1.0.0
pact_mock_server_ffi,0.1.1
pact_models,1.0.13
pact_verifier,0.15.3
pact_verifier_ffi,0.0.6
paddle,0.1.0-beta.1
paddle-sys,0.1.2
paddle_inference,0.4.0
pafe-sys,0.1.0
page-lock,3.1.0
page_size,0.5.0
pagecache,0.19.4
pagemap,0.1.0
pager,0.16.1
pagerduty-rs,0.1.6
pagetop,0.0.36
pagurus_game_std,0.5.0
paho-mqtt,0.12.1
paillier,0.2.0
paillier-common,0.2.0
paillier-lsc,0.1.3
paillier-rs,0.2.3
paired,0.22.0
pairing-plus,0.19.0
pairing_ce,0.28.5
pak,0.0.3
pako-core,0.1.2
pakr-mio-afpacket,0.2.0
pakr-rawata,1.0.0
pakr-signals,1.0.0
pal-sys,0.1.0
palaver,0.3.0-alpha.3
palc,3.1.6
palette,0.7.1
pallas-crypto,0.18.1
pallas-multiplexer,0.18.1
pallas-network,0.19.0-alpha.0
pallet-contracts,20.0.0
pallet-election-provider-multi-phase,20.0.0
pallet-message-queue,24.0.0
palmer,0.1.1
palombe,0.5.1
pam-client,0.5.0
pam_groupmap,0.1.3
panamax,1.0.12
pancake-db-client,0.2.0
pancakes,0.1.0
pancurses,0.17.0
panda-re,0.46.0
pandora-os,0.1.0
pango,0.17.4
pango-sys,0.17.0
pangocairo,0.17.0
panic-handler,2.1.2
panik,0.2.0
panopticon-tui,0.2.0
panrelease,0.10.0
pantheon,0.1.2
papaleguas,0.0.5
paperclip,0.8.0
papi,0.1.0
papi-bindings,0.5.1
papi-sys,0.1.1
papito_codegen,0.1.1
papito_dom,0.1.1
papyrus,0.17.2
parallel-disk-usage,0.9.0
parallel-processor,0.1.7
parallel_image_crop,0.1.0
parallel_vec,0.2.4
parametrizer,1.2.0
