crate_name,version
morphius,1.0.0
morphorm,0.3.0
mortal,0.2.4
morton,0.3.0
morton-encoding,2.0.1
morton-index,0.2.0
mos-hardware,0.2.0
mosquitto-client-wrapper,0.3.1
mosquitto-io,0.1.1
mosquitto-jwt-auth,0.2.0
mosquitto-plugin,2.1.3
mosquitto-rs,0.4.0
mosquitto-sys,0.1.0
motif_finder,0.9.1
motivator,0.7.1
mouce,0.2.42
mount-api,0.1.1
mount-ctrl,1.0.0
mountpoints,0.2.1
mouse-rs,0.4.2
mousse,0.1.1
move-core-types,0.0.3
moveit,0.5.1
movine,0.11.3
mozim,0.2.2
mozjpeg,0.9.4
mozjpeg-sys,1.0.6
mozjs,0.10.1
mozjs_sys,0.67.1
mozwire,0.8.1
mpack,0.1.2
mpad,0.1.0
mpart-async,0.6.1
mpc,0.1.10
mpc_valet,0.3.8
mpd_info_screen,0.4.5
mpdpopm,0.3.0
mpesa,0.4.2
mpg123,0.1.2
mpi,0.6.0
mpi-fork-fnsp,0.6.0
mpi-sys,0.2.0
mpid_messaging,0.1.0
mpl-auction-house,1.4.1
mpl-auction-house-unofficial,1.1.6
mpl-candy-machine,4.5.1
mpl-candy-machine-core,1.0.4
mpl-hydra,0.4.0
mpl-token-entangler,0.2.0
mpl-token-metadata,1.11.0
mpl-trifle,0.5.1
mpl-utils,0.2.0
mpl_token_metadata_extended_uri,0.1.7
mplex,0.27.0
mprober,0.11.0-beta.12
mprocs-pty,0.1.0
mpstthree,0.1.16
mpvsock,0.2.0
mpvss-rs,0.2.7
mqf,1.0.0
mqrstt,0.2.0
mqtt,0.1.4
mqtt4bytes,0.4.0
mqtt_vault,1.0.0
mqttbytes,0.6.0
mqttc,0.1.4
mqttest,0.2.0
mquad,0.1.1
mraa,0.0.1
mrb-sys,0.1.2
mrecordlog,0.3.0
mrf,0.1.1
mrflagly,0.2.5
mri-sys,0.2.6
mrklt,0.1.0
mrml,2.0.0-rc2
mruby-eval,0.1.0
mruby-sys,0.2.0
