lexpr,0.2.7
lf-queue,0.1.0
lfa,0.15.0
lfchring,0.1.3
lfest,0.33.5
lfs-core,0.11.1
lhapdf,0.2.2
li-http-types,2.12.0
liao-generator,0.1.2
lib-bn,0.4.4
lib-did,0.1.0
lib-hyper-organizator,0.2.1
lib-mal,0.5.1
lib-poki-launcher,0.5.0
lib-ruby-parser,4.0.4+ruby-3.1.1
lib-rv32-mcu,0.2.1
lib-sokoban,0.3.1
lib-wc,0.2.0
lib2048,0.0.2
lib3h,0.0.42
lib3h_crypto_api,0.0.42
lib3h_protocol,0.0.42
lib3h_sodium,0.0.42
lib3h_zombie_actor,0.0.42
libR-sys,0.4.0
libXNVCtrl-sys,1.29.2
lib_dice,0.1.0
lib_opnfi,0.0.1
lib_sens,0.1.4
lib_vminfo,1.1.3
lib_xalg,0.3.1
liba,0.1.1-rc3
libabieos-sys,0.3.7
libadwaita-sys,0.4.1
libaeron-sys,1.0.0+1.40.0
libaeron_driver-sys,1.0.0+1.40.0
libafl,0.10.0
libafl_frida,0.9.0
libaio,0.0.1
libaio-futures,0.2.3
libal,0.1.0
libalpm,0.1.2
libalpm-fork,0.1.4
libappindicator-sys,0.8.0
libarc,0.1.0
libarc2,0.2.0
libarchive,0.1.1
libargon2-sys,0.2.0
libargs,0.1.2
libaster,1.2.1
libastro,0.1.4
libasuran,0.0.3
libatasmart,0.3.1
libaudioverse,0.1.0
libaudioverse-sys,0.1.0
libawm,0.1.0
libblas-sys,0.1.0
libblkid-rs,0.3.0
libblkid-sys,0.1.0
libbluetooth,0.1.0
libbpf-rs,0.20.1
libbpf-sys,1.1.1+v1.1.0
libbtrfs,0.0.12
libbtrfsutil,0.5.2
libc-print,0.1.21
libc-strftime,0.2.0
libc_tools,0.1.3
libccp,1.1.1
libcec-sys,4.0.0
libceed,0.11.0
libcgroup,0.3.0
libcgroup-sys,0.3.0
libcgroup_rs,0.1.0
libcgroups,0.0.5
libcmark-sys,0.1.0
libcoap-rs,0.2.1
libcoap-sys,0.2.1+libcoap-4.3.1
libcoinche,0.4.0
libcontainer,0.0.5
libcorn,0.6.1
libcprover_rust,5.82.0
libcqdb,0.3.2
libcrux,0.0.1-dev.3
libcrypt-rs,0.1.2
libcryptsetup-rs,0.7.0
libcwiid-sys,0.1.18
libcwtch,0.4.2
libcypher-parser-sys,0.6.1-1
libdav,0.1.1
libdazzle-sys,0.3.0
libdb,0.1.1
libdeflate-sys,0.13.0
libdeflater,0.13.0
libdivsufsort-rs,0.1.2
libdlt-sys,0.1.1
libdpkg-sys,0.1.1+1.19
libdrm,0.0.2
libduckdb-sys,0.7.1
libduckdb-sys-queryscript,0.7.4
libdw,0.1.0
libdw-sys,0.1.0
libdwelf,0.1.0
libecc,0.2.2
libecdsautil,0.2.1
libecdsautil-sys,0.1.0
libecvrf,1.0.1
libedgegrid,0.1.1
libefi-sys,0.1.0
libelf-sys,0.1.0
libenigma,1.0.1
liberasurecode,1.0.3
libes,0.9.1
libesedb,0.2.0
libesedb-sys,0.1.2
libevent-sys,0.2.6
libeyelink-sys,0.1.4
libfastdl,0.2.0
libfdisk,0.1.5
libffi,3.2.0
libffi-sys,2.3.0
libffm,0.1.0
libfirm-sys,0.2.0
libflac-sys,0.3.0
libflatpak-sys,0.3.0
libfmod,2.2.607
libfortress,2.1.0
libfranka-rs,0.9.0
libftd2xx,0.32.2
libftd2xx-ffi,0.8.6
libftdi1-sys,1.1.2
libgitbox,0.1.0
libgitdit,0.4.0
libgo,0.4.0
libh3-sys,0.1.3
libhandy,0.10.0
libhandy-sys,0.10.0
libhaystack,1.0.10
libhdf5-lib,0.2.0
libhdf5-sys,0.2.0
libhdfs3-sys,0.2.0
libheif,0.1.1
libheif-rs,0.19.2
libheif-sys,1.14.2
libhoney-rust,0.1.6
libhydrogen,0.4.1
libhydrogen-sys,0.9.1
libicmp,0.1.2
libicsneo-rs,0.1.5
libicsneo-sys,0.1.17
libimagentrymarkdown,0.10.1
