clone_and_list,souko,0.2.0
rule_tests::filter_early_return::filter_early_return_with_dense_generator::conditional_nested_return,darklua,0.10.2
rule_tests::remove_compound_assignment::remove_compound_assignment_with_token_based_generator::nested_field_expressions,darklua,0.10.2
helpers::epoch_challenge::bytes::tests::test_bytes,snarkvm-ledger-coinbase,0.14.6
f64::tests::f64_mul,softfloat-wrapper,0.3.4
key::test::test_inverse,aigc_secp256k1zkp,0.7.12
f16::tests::f16_div,softfloat-wrapper,0.3.4
compare::tests::test_public_is_less_than_constant,snarkvm-circuit-types-scalar,0.14.6
rule_tests::rename_variables::rename_variables_with_token_based_generator::local_function_name_parameters,darklua,0.10.2
iter::tests::rev_range_iter_last,smolheed,0.1.0
rules::bundle::expression_serializer::test::serializes_100_as_f32_number_value,darklua,0.10.2
intervals::cp_solver::tests::case_2_f32::seed_03_2::greater_op_1_Operator__Gt::less_op_1_Operator__Lt,datafusion-physical-expr,31.0.0
apply_default_config_in_place,darklua,0.10.2
generator::token_based::test::declare_two_variables,darklua,0.10.2
tests::gen_uplc::pass_constr_as_function,aiken-project,1.0.16-alpha
intervals::cp_solver::tests::case_1_f32::seed_03_2::greater_op_1_Operator__Gt::less_op_2_Operator__LtEq,datafusion-physical-expr,31.0.0
rule_tests::filter_early_return::filter_early_return_with_readable_generator::conditional_nested_return,darklua,0.10.2
logic::instruction::operation::test_sub_wrapped::test_sub_wrapped_i64_i64_into_i64,snarkvm-synthesizer-program,0.14.6
rule_tests::inject_value::inject_global_false_with_dense_generator::inject_false_from_global_table,darklua,0.10.2
logic::instruction::operation::test_bitxor::test_bitxor_u32_u32_into_u32,snarkvm-synthesizer-program,0.14.6
add::tests::test_scalar_constant_plus_private,snarkvm-circuit-types-scalar,0.14.6
tests::gen_uplc::acceptance_test_5_direct_head,aiken-project,1.0.16-alpha
rule_tests::remove_call_parens::two_strings,darklua,0.10.2
logic::instruction::operation::test_bitxor::test_bitxor_fails_on_invalid_operands,snarkvm-synthesizer-program,0.14.6
codeforces::client::tests::test_fetch_submissions,algorithm-problem-client,0.6.0
parser::test::return_call_index_chain_empty,darklua,0.10.2
f32::tests::f32_div,softfloat-wrapper-riscv,0.1.0
overwrite,soliddb,0.1.0
rules::bundle::expression_serializer::test::serializes_tuple_with_bool,darklua,0.10.2
