verify::test::test_reported,ast-grep,0.12.1
integration_test::test_take_pod_class_by_value,autocxx-integration-tests,0.26.0
integration_test::test_generate_typedef_to_ulong,autocxx-integration-tests,0.26.0
integration_test::test_typedef_to_std,autocxx-integration-tests,0.26.0
integration_test::test_ignore_move_constructor,autocxx-integration-tests,0.26.0
integration_test::test_protected_inner_class,autocxx-integration-tests,0.26.0
integration_test::test_cycle_string_by_mut_ref,autocxx-integration-tests,0.26.0
mp::bignat::tests::big_nat_can_decompose,bellperson-nonnative,0.4.0
dylint_driver_path,cargo-dylint,2.4.0
with_all_targets,cargo-udeps,0.1.42
solvers::maximal_range_semantics_solvers::tests::test_stage_skeptical_acceptance_after_arg_removal_exp,crustabri,1.0.0
test_ideal_ds_2,crustabri,1.0.0
solvers::preferred_semantics_solver::tests::test_enumerate_extensions_with_autoattack_exp,crustabri,1.0.0
solvers::stable_semantics_solver::tests::test_acceptance_1,crustabri,1.0.0
generator::test::token_based::snapshots::function_statement::empty_with_field,darklua,0.10.2
rule_tests::compute_expression::compute_expression_with_dense_generator::binary_false_or_call,darklua,0.10.2
generator::test::readable::snapshots::index::identifier_prefix_with_identifier_value,darklua,0.10.2
rule_tests::remove_empty_do::remove_empty_do_with_dense_generator::empty_do_statement_in_numeric_for,darklua,0.10.2
parser::test::parse_with_tokens::call_with_empty_table_argument,darklua,0.10.2
generator::test::dense::snapshots::function_statement::empty_with_field,darklua,0.10.2
rule_tests::remove_nil_declaration::remove_nil_declaration_with_token_based_generator::assign_field_expression_and_nil,darklua,0.10.2
generator::test::dense::snapshots::table::mixed_table,darklua,0.10.2
rule_tests::rename_variables::rename_variables_and_functions_with_token_based_generator::repeat_condition_is_from_block,darklua,0.10.2
rule_tests::inject_value::inject_global_false_with_dense_generator::inject_false_from_global_table,darklua,0.10.2
rule_tests::compute_expression::compute_expression_with_token_based_generator::if_expression_always_true_with_dead_branch_has_side_effects,darklua,0.10.2
rule_tests::convert_index_to_field::table_key_is_repeat_keyword,darklua,0.10.2
rule_tests::rename_variables::rename_variables_and_functions_with_readable_generator::local_assign_reference,darklua,0.10.2
