test_name,crate_name,version
fetch::credentials::test::credentials_build_form_test,advocat,3.0.0
extkey_bip32::tests::test_vector_1,aigc_keychain,5.1.2
extkey_bip32::tests::test_vector_2,aigc_keychain,5.1.2
extkey_bip32::tests::test_vector_3,aigc_keychain,5.1.2
keychain::test::secret_key_addition,aigc_keychain,5.1.2
keychain::test::test_key_derivation,aigc_keychain,5.1.2
types::test::split_blinding_factor,aigc_keychain,5.1.2
types::test::zero_key_addition,aigc_keychain,5.1.2
aggsig::tests::test_aggsig_batch,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_exchange,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_fuzz,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_multisig,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_single,aigc_secp256k1zkp,0.7.12
ecdh::tests::ecdh,aigc_secp256k1zkp,0.7.12
key::test::invalid_secret_key,aigc_secp256k1zkp,0.7.12
key::test::keypair_slice_round_trip,aigc_secp256k1zkp,0.7.12
key::test::pubkey_from_slice,aigc_secp256k1zkp,0.7.12
key::test::pubkey_hash,aigc_secp256k1zkp,0.7.12
key::test::skey_clear_on_drop,aigc_secp256k1zkp,0.7.12
key::test::skey_from_slice,aigc_secp256k1zkp,0.7.12
key::test::test_add_exp_bad_context,aigc_secp256k1zkp,0.7.12
key::test::test_addition,aigc_secp256k1zkp,0.7.12
key::test::test_debug_output,aigc_secp256k1zkp,0.7.12
key::test::test_inverse,aigc_secp256k1zkp,0.7.12
key::test::test_multiplication,aigc_secp256k1zkp,0.7.12
key::test::test_negate,aigc_secp256k1zkp,0.7.12
key::test::test_out_of_range,aigc_secp256k1zkp,0.7.12
key::test::test_pk_combination,aigc_secp256k1zkp,0.7.12
key::test::test_pubkey_from_bad_slice,aigc_secp256k1zkp,0.7.12
key::test::test_pubkey_from_slice_bad_context,aigc_secp256k1zkp,0.7.12
key::test::test_pubkey_serialize,aigc_secp256k1zkp,0.7.12
key::test::test_serialize,aigc_secp256k1zkp,0.7.12
