crate_name,category,text,id,count
wascc-s3,rust_functions,"dyn codec::capabilities::CapabilityProvider",14,1
xcb,foreign_functions,"fn(*mut libc::c_void)",13,1
rusfuse,foreign_functions,"fuse::FuseSession",5,1
rusfuse,foreign_functions,"fn(*mut libc::c_void, *mut fuse::FuseConnInfo)",13,1
rusfuse,foreign_functions,"fuse::FuseReq",5,1
rusfuse,foreign_functions,"fuse::FuseBufFlags",5,1
kcp-rust-native,foreign_functions,"u128",3,1
solana-system-program,rust_functions,"[solana_sdk::account::KeyedAccount<'_>]",9,1
solana-system-program,rust_functions,"[u8]",9,1
solana-system-program,rust_functions,"std::result::Result<(), solana_sdk::native_program::ProgramError>",5,1
geoip-sys,foreign_functions,"[u8; 16]",8,1
libfuzzer-sys,foreign_functions,"[u8]",9,1
ffmpeg-wasi,foreign_functions,"u128",3,1
lonlat_bng,rust_functions,"(ffi::Array, ffi::Array)",19,1
head-empty,static_items,"Registration",5,1
wascc-httpsrv,rust_functions,"dyn codec::capabilities::CapabilityProvider",14,1
nnsdk,foreign_functions,"u128",3,1
safecoin-vest-program,rust_functions,"dyn solana_sdk::process_instruction::InvokeContext",14,1
safecoin-vest-program,rust_functions,"std::result::Result<(), solana_sdk::instruction::InstructionError>",5,1
safecoin-vest-program,rust_functions,"[solana_sdk::keyed_account::KeyedAccount<'_>]",9,1
safecoin-vest-program,rust_functions,"[u8]",9,1
solana-lualoader,rust_functions,"[solana_sdk::account::KeyedAccount<'_>]",9,1
solana-lualoader,rust_functions,"std::result::Result<(), solana_sdk::native_program::ProgramError>",5,1
solana-lualoader,rust_functions,"[u8]",9,1
gurobi-sys,foreign_functions,"GRBenv",5,1
gurobi-sys,foreign_functions,"GRBmodel",5,1
usb,foreign_functions,"libusb::libusb_context",5,1
usb,foreign_functions,"libusb::libusb_device",5,1
usb,foreign_functions,"libusb::libusb_device_handle",5,1
libtar-sys,foreign_functions,"char",1,1
mongors,foreign_functions,"u128",3,1
consistenttime,rust_functions,"[u8]",9,1
consistenttime,rust_functions,"[u16]",9,1
consistenttime,rust_functions,"[u32]",9,1
consistenttime,rust_functions,"[u64]",9,1
consistenttime,rust_functions,"[usize]",9,1
soroban-env-guest,foreign_functions,"soroban_env_common::Object",5,1
soroban-env-guest,foreign_functions,"soroban_env_common::Status",5,1
soroban-env-guest,foreign_functions,"soroban_env_common::Symbol",5,1
fiftyonedegrees,foreign_functions,"u128",3,1
nvml-rs,rust_functions,"std::result::Result<u64, std::string::String>",5,1
nature_demo_executor,rust_functions,"nature_common::ConverterReturned",5,1
nature_demo_executor,rust_functions,"std::result::Result<std::vec::Vec<nature_common::Instance>, nature_common::NatureError>",5,1
nature_demo_executor,rust_functions,"std::result::Result<nature_common::Instance, nature_common::NatureError>",5,1
solana-noop,rust_functions,"std::result::Result<(), solana_sdk::native_program::ProgramError>",5,1
solana-noop,rust_functions,"[solana_sdk::account::KeyedAccount<'_>]",9,1
solana-noop,rust_functions,"[u8]",9,1
onnxruntime-sys,foreign_functions,"u128",3,1
varnish-sys,foreign_functions,"u128",3,1
node_api_system,foreign_functions,"napi_env__",5,1
bing-rs,rust_functions,"fn()",13,1
thorin,foreign_functions,"std::collections::HashMap<std::string::String, DerivedType>",5,1
thorin,foreign_functions,"Scope",5,1
solana-geyser-plugin-postgres,rust_functions,"dyn solana_geyser_plugin_interface::geyser_plugin_interface::GeyserPlugin",14,1
starlane-core,rust_functions,"std::string::String",5,1
t_bang,rust_functions,"str",7,1
emacs_module_bindings,rust_functions,"str",7,1
emacs_module_bindings,rust_functions,"std::string::String",5,1
emacs_module_bindings,rust_functions,"[*mut emacs_gen::emacs_value_tag]",9,1
rustpak,rust_functions,"str",7,1
rustpak,rust_functions,"std::result::Result<lib::Pak<'_>, std::boxed::Box<dyn std::error::Error>>",5,1
rustpak,rust_functions,"std::string::String",5,1
rustpak,rust_functions,"std::result::Result<&mut lib::Pak<'_>, std::boxed::Box<dyn std::error::Error>>",5,1
rustpak,rust_functions,"std::result::Result<(), std::boxed::Box<dyn std::error::Error>>",5,1
flu,foreign_functions,"ffi::lua_State",5,1
cpp_regexp,foreign_functions,"std::vec::Vec<&str>",5,1
x11,foreign_functions,"xlib::_XcmsColorSpace",5,1
x11,foreign_functions,"xlib::_XcmsFunctionSet",5,1
x11,foreign_functions,"xlib::XcmsColor",5,1
x11,foreign_functions,"xlib::_XcmsCCC",5,1
x11,foreign_functions,"xlib::_XkbDeviceLedInfo",5,1
x11,foreign_functions,"xlib::_XkbDeviceInfo",5,1
x11,foreign_functions,"xlib::_XkbColor",5,1
x11,foreign_functions,"xlib::_XkbGeometry",5,1
x11,foreign_functions,"xlib::_XkbDoodad",5,1
x11,foreign_functions,"xlib::_XkbSection",5,1
x11,foreign_functions,"xlib::_XkbRow",5,1
x11,foreign_functions,"xlib::_XkbKey",5,1
x11,foreign_functions,"xlib::_XkbShape",5,1
x11,foreign_functions,"xlib::_XkbOutline",5,1
x11,foreign_functions,"xlib::_XkbOverlay",5,1
x11,foreign_functions,"xlib::_XkbOverlayRow",5,1
x11,foreign_functions,"xlib::_XkbOverlayKey",5,1
x11,foreign_functions,"xlib::_XkbProperty",5,1
x11,foreign_functions,"xlib::_XkbServerMapRec",5,1
x11,foreign_functions,"xlib::_XkbKeyType",5,1
x11,foreign_functions,"xlib::_XkbGeometrySizes",5,1
x11,foreign_functions,"xlib::_XkbChanges",5,1
x11,foreign_functions,"xlib::_XkbDeviceChanges",5,1
x11,foreign_functions,"xlib::_XkbMapChanges",5,1
x11,foreign_functions,"xlib::_XkbNameChanges",5,1
x11,foreign_functions,"xlib::_XkbBounds",5,1
x11,foreign_functions,"xlib::_XkbComponentList",5,1
x11,foreign_functions,"xlib::_XkbComponentNames",5,1
x11,foreign_functions,"xlib::_XkbIndicatorMapRec",5,1
x11,foreign_functions,"xlib::_XkbControlsNotify",5,1
x11,foreign_functions,"xlib::_XkbControlsChanges",5,1
x11,foreign_functions,"xlib::_XkbExtensionDeviceNotify",5,1
x11,foreign_functions,"xlib::_XkbNamesNotify",5,1
x11,foreign_functions,"xlib::_XkbAction",5,1
x11,foreign_functions,"glx::__GLXFBConfigRec",5,1
x11,foreign_functions,"glx::__GLXcontextRec",5,1
x11,foreign_functions,"xlib_xcb::XEventQueueOwner",5,1
x11,foreign_functions,"xt::_XtAppStruct",5,1
x11,foreign_functions,"xmu::_XmuSegment",5,1
x11,foreign_functions,"xmu::_XmuArea",5,1
x11,foreign_functions,"xt::_WidgetRec",5,1
x11,foreign_functions,"xmu::_XmuScanline",5,1
x11,foreign_functions,"xmu::_XmuDisplayQueue",5,1
