name,version
ord-liblmdb-sys,0.2.3
nativeshell_core,0.1.3
fil-blst,0.1.2
proxy-wasm,0.2.0
libpg_query-sys,0.2.1
treelite,0.1.3
vimba-sys,0.2.0
android_looper-sys,0.3.0
pulsar-sys,2.7.0
hassle-rs,0.9.0
tree-sitter-bash,0.19.0
generator,0.7.1
filemagic,0.12.3
tree-sitter-dot,0.1.6
sep-sys,1.2.0
saxx,0.1.2
nj-sys,3.0.0
android_log-sys,0.2.0
secp256k1-test,0.7.2
xdrk,1.0.0
hyperdex,1.1.0
tikv-jemalloc-sys,0.5.2+5.3.0-patched
libsamplerate,0.1.0
megadrive-sys,0.1.0
webrtc-util,0.6.0
ioctl-rs,0.2.0
liburing-sys,0.1.2
rusty_v8,0.32.1
hypr,0.0.1
libtls-sys,1.2.0
jieba,0.1.3
lua-jit-sys,2.0.50
osrandom,0.1.0
thin_cstr,0.1.1
rcublas-sys,0.5.0
mupdf-sys,0.4.1
cashweb-secp256k1-sys,0.3.1
tun-tap-new,0.1.0
cocoa-colors,0.1.2
md6,2.0.3
wasix,0.11.62
distrs,0.2.0
syscalls,0.6.7
jsonnet-sys,0.17.0
plumber-rs,0.1.2
substrate-wasmtime-jit,0.16.0-threadsafe.4
wasmer-engine-jit-near,1.0.1
physx-sys,0.8.0
tree-sitter-ocaml,0.19.0
swift-rs,0.3.0
xcb,1.2.0
ld_preload,0.1.2
flips-sys,0.2.1
embree,0.3.8
rusfuse,0.0.9
libscripthookv-sys,0.1.0
solder,0.1.6
kcp-rust-native,0.1.0
robust-predicates,0.1.4
glu-sys,0.1.4
sem,0.1.0
melib,0.7.2
geoip-sys,0.0.14
posix-ipc,0.0.3
rust-optimal-transport,0.2.0
kg-js,0.8.0
mosquitto-client-wrapper,0.3.1
wasm-rust-utils,0.2.1
tree-sitter-svelte,0.10.2
libfuzzer-sys,0.4.5
sealed_box,0.2.4
io-synesthesist,0.1.1
pmdk-sys,0.9.4
blake2b-rs,0.2.0
edgedb-tokio,0.3.0
persistent-buff,0.2.4
sunvox-sys,0.1.0
basis-universal-sys,0.2.0
evercrypt-sys,0.0.9
btrfsutil-sys,1.2.1
evil-janet,1.25.1
libutp-sys,0.1.4
pqcrypto-sphincsplus,0.6.4
rot26-rs,0.1.2
ffmpeg-wasi,0.1.12
corosensei,0.1.3
porcupine-sys,0.0.4
iocuddle,0.1.1
doomgeneric,0.3.0-beta.2
libacpica,0.0.8
printf,0.1.0
tess2-sys,0.0.1
lzip-sys,0.1.4+1.13
klee-rs,0.1.1
wrflib_glx_sys,0.0.3
common-crypto,0.3.0
fann-sys,0.1.7
sdl2_image,0.25.0
smart-contract,0.2.2
locale-settings,0.3.0
imgui-memory-editor-sys,0.3.0
core-foundation-sys,0.8.3
stuck,0.3.1
makepad-x11-sys,0.1.0
head-empty,0.1.0
exa,0.10.1
cudnn-sys,0.0.3
allegro_acodec-sys,0.0.44
ssh,0.1.4
posix-sys,0.0.1
simple_libc,0.5.0
lapack-sys,0.14.0
pqcrypto-falcon,0.2.10
whereami,1.1.1
libfmod,2.2.603
inkview-sys,0.1.2
owasm-kit,0.2.2
grin_secp256k1zkp,0.7.11
tree-sitter-erlang,0.0.1
psx,0.1.6
libaio,0.0.1
plotters-conrod,0.3.11
mediacodec,0.1.2
libafl_frida,0.8.2
libindy-sys,0.1.7-dev-0
gain,0.5.0
error-code,2.3.1
sigmap,0.1.0
nnsdk,0.2.0
tuifw-screen-ncurses,0.16.3
krb5-sys,0.3.0
assemblylift-iomod-http-guest,0.3.1
oppai-rs,0.2.3
mips-mcu,0.2.0
allegro_image-sys,0.0.44
frounding,0.0.4
min-sqlite3-sys,1.3.2
opus-sys,0.2.1
rquickjs-sys,0.1.7
http-muncher,0.3.2
uname-rs,0.1.1
pre_hf,0.0.1
os-timer,1.0.10
bc4py_hash,0.1.3
iris-ng,0.1.2
plamo,0.3.0
ifaces,0.1.0
pqcrypto-falcon-wasi,0.2.14
fluidlite-sys,0.2.1
kanshi-rs,0.1.0
tw4f,0.1.0
csfml-graphics-sys,0.6.0
tree-sitter-elisp,1.2.0
catboost2-sys,0.1.1+catboost.1.0.5
solo5-sys,0.1.0
errno-no-std,0.1.5
xrpl-hooks,0.3.1
wasmer-runtime-core,0.17.1
freertos-sys2,0.2.0
libscmp,0.2.0
gurobi-sys,0.3.0
tree-sitter-sourcepawn,0.5.0
ax25,0.2.0
civet,0.12.0-alpha.5
epicinium_lib,1.1.0
riscv-minimal-rt,0.5.0
ioctl-sys,0.8.0
libftd2xx-ffi,0.8.5
secp256k1-sys,0.6.1
kanameshiki-sys,0.1.0
bbhash-sys,0.1.0
catboost-sys,0.1.6
voxelizer,1.0.0
mongors,0.3.0-alpha.1
class_group,0.6.0
ao_rs,0.1.5
wavy,0.9.1
tree-sitter-qmljs,0.1.2
spdlog-rs,0.3.2
soroban-env-guest,0.0.9
fiftyonedegrees,0.2.17
tao-core-video-sys,0.2.0
elikar,0.1.9
nx,0.3.0
libseccomp-sys,0.2.1
libdw-sys,0.1.0
tree-sitter-beancount,2.1.1
kdb_c_api,0.1.6
louis-sys,0.6.1
cmsis-rtos2,0.1.1
deno-libffi-sys,0.0.7
ncurses-lite,0.1.1
onig_sys,69.8.1
onnxruntime-sys,0.0.14
varnish-sys,0.0.11
klein-sys,0.1.1
assemblylift-iomod-s3-guest,0.1.1
kqueue-sys,1.0.3
gdbm_compat,0.1.1
sharify,0.1.0
exacl,0.9.0
smartalloc-sys,0.2.0
devp2p-secp256k1,0.5.6
rlapack,0.0.5
wacom-sys,0.1.0
pudding-kernel,0.1.1
poly2tri,0.1.0
acl-sys,1.2.2
rust-locale,0.1.4
three_em,0.1.0
node_api_system,0.5.0
readpassphrase-sys,0.1.0
cuda_std,0.2.2
rpi-pico-sdk,0.0.1
tract-linalg,0.18.3
m2-ctrl_asm,0.1.0
libmpv-sys,3.1.0
wasm4-sys,0.1.1
lv2-sys,2.0.0
aflak_imgui-sys,0.18.1
yew_svg,0.2.1
smc,0.2.2
libinjection-rs,0.2.6
parasail-sys,0.2.5
dl-openvdb-query-sys,0.1.2
fastly-sys,0.8.9
mc-sgx-tcrypto-sys,0.3.0
panicdump,0.1.0
libflycapture2-sys,0.1.1
libssh2-sys-patched,0.3.0-p1
spiro-sys,0.1.1
minilibx,0.2.1
iceyee_random,1.0.3
rust-tdlib,0.4.1
hsa,0.1.0
dbus-rs,0.0.5
json-checker,0.1.1
kernaux-sys,0.4.0
v4l2-sys-mit,0.2.0
thunderbird,0.2.4
cadical,0.1.13
mips-rt,0.3.0
special-fun,0.2.0
blosc-sys,1.14.4
openbsd,0.1.2
liblmdb-sys,0.2.2
pmemlog-sys,0.0.1
tskit_rust,0.1.0
wasmedge_process_interface,0.2.1
dobby-sys,0.1.0
audir-sles,0.1.0
m1-ctrl,0.1.2
honestintervals,0.2.0
clear_screen,0.1.0
risc0-zkvm-circuit-sys,0.11.1
ytnef_sys,0.2.0
dont_panic,0.1.0
ryg-rans-sys,1.0.7
substrate-wasmtime-runtime,0.16.0-threadsafe.4
lookit,0.1.1
commoncrypto-sys,0.2.0
minimp4,0.1.0
sha2-asm,0.6.2
pqcrypto-frodo,0.4.11
sds,0.1.0
ssvm_tensorflow_interface,0.1.4
tree-sitter-html,0.19.0
wordexp,0.1.0
memfile,0.2.1
emacs_module_bindings,0.7.0
xkbcommon,0.5.0
lang-3bc-sys,0.1.3
freenectrs,0.1.0
trezor-crypto-lib,0.1.1
fswatch-sys,0.1.10
altv-sdk,0.2.0
mjs-sys,0.1.2
lame,0.1.3
objc-sys,0.2.0-beta.2
tls,0.0.3
near-sys,0.2.0
zstd-seekable,0.1.7
flu,0.0.2
cpp_regexp,0.6.1
tsf-sys,0.2.0
x11,2.20.0
rdkafka-sys,4.3.0+1.9.2
