testcases,bad64,0.6.0
tests::test_decode,bchlib,0.2.1
bufread::tests::bug_61,bzip2,0.4.4
test::test_decompression,clickhouse-driver-lz4,0.1.0
aesni_test::aesni_192_key_expansion_test,crypto_pimitives,0.1.1
test_decimal128_special_value_coefficient,dec,0.4.8
test_overloading,dec,0.4.8
test_dec_quad_divide_fma,dec-number-sys,0.0.25
test_dec_quad_get_coefficient,dec-number-sys,0.0.25
test_dec_quad_zero,dec-number-sys,0.0.25
x25519::tests::diffie_hellman_test,everrs,0.2.1
settings::test::settings_ref,fluidlite,0.2.1
test::smoke_test,klu-rs,0.4.0
test::basic_api,libcmark-sys,0.1.0
test::send_patch,librsync,0.2.3
main,littlefs2,0.4.0
tests::cannot_open_with_different_compression,lsmlite-rs,0.1.0
tests::set_index_and_mapping_opts,minimap2-sys,0.1.16+minimap2.2.26
open_dummy_cb,minimp3_ex-sys,0.1.1
tests::crc4,ms5837,0.2.1
test_regex,quickjs_regex,0.2.3
key::test::pubkey_combine,secp256k1,0.28.0
tests::test_negative_time_propagation,sgp4-rs,0.4.0
cephes_double::sici,special-fun,0.2.0
c_check::compare_arduino,spritz_cipher,0.1.0
c_api::xbuf::tests::test_grow,tectonic_engine_bibtex,0.2.1
tests::interpolation,tinyspline-sys,0.2.0
ltc_decode_timecode_dot_raw,x42ltc-sys,0.0.5
tests::test_build_hasher,xxhrs,2.0.0
test_z85,zmq,0.10.0
sort::test_sorted,blitsort-sys,0.1.0
